row_label_raw,row_label_full,Chi phí chờ phân bổ theo doanh thu bất động sản,27.622.052.863,40.267.804.371,numeric__27.622.052.863,numeric__40.267.804.371
"Công cụ, dụng cụ","Công cụ, dụng cụ","Công cụ, dụng cụ",1.810.592.726,1.276.996.343,1810592726.0,1276996343.0
Chi phí trả trước khác,Chi phí trả trước khác,Chi phí trả trước khác,4.840.544.058,5.351.046.827,4840544058.0,5351046827.0
,,,34.273.189.647,46.895.847.541,34273189647.0,46895847541.0
