row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,"Phần mềm, bản quyền VND",Tổng cộng VND,numeric__Quyền sử dụng đất VND,"numeric__Phần mềm, bản quyền VND",numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Tại ngày 1 tháng 1 năm 2016,Nguyên giá > Tại ngày 1 tháng 1 năm 2016,Tại ngày 1 tháng 1 năm 2016,25.400.891.068,2.705.536.413,28.106.427.481,25400891068.0,2705536413.0,28106427481.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,1.666.646.237,1.666.646.237,,1666646237.0,1666646237.0
Tại ngày 31 tháng 12 năm 2016,Nguyên giá > Tại ngày 31 tháng 12 năm 2016,Tại ngày 31 tháng 12 năm 2016,25.400.891.068,4.372.182.650,29.773.073.718,25400891068.0,4372182650.0,29773073718.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,
Tại ngày 1 tháng 1 năm 2016,Khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2016,Tại ngày 1 tháng 1 năm 2016,-,(431.953.915),(431.953.915),,-431953915.0,-431953915.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,-,(758.150.972),(758.150.972),,-758150972.0,-758150972.0
Tại ngày 31 tháng 12 năm 2016,Khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2016,Tại ngày 31 tháng 12 năm 2016,-,(1.190.104.887),(1.190.104.887),,-1190104887.0,-1190104887.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Tại ngày 1 tháng 1 năm 2016,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2016,Tại ngày 1 tháng 1 năm 2016,25.400.891.068,2.273.582.498,27.674.473.566,25400891068.0,2273582498.0,27674473566.0
Tại ngày 31 tháng 12 năm 2016,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2016,Tại ngày 31 tháng 12 năm 2016,25.400.891.068,3.182.077.763,28.582.968.831,25400891068.0,3182077763.0,28582968831.0
