row_label_raw,row_label_full,col_0,Số đầu năm,Chi phí phát sinh trong năm,Kết chuyên vào TSCD trong năm,Số cuối năm,numeric__Số đầu năm,numeric__Chi phí phát sinh trong năm,numeric__Kết chuyên vào TSCD trong năm,numeric__Số cuối năm
Mua sắm tài sản cố định,Mua sắm tài sản cố định,Mua sắm tài sản cố định,-,322.400.000,-,322.400.000,,322400000.0,,322400000.0
Xây dựng cơ bản dở dang,Xây dựng cơ bản dở dang,Xây dựng cơ bản dở dang,4.556.367.939,31.921.002.095,(7.363.948.749),29.113.421.285,4556367939.0,31921002095.0,-7363948749.0,29113421285.0
- Cải tạo Quốc lộ 13,- Cải tạo Quốc lộ 13,- Cải tạo Quốc lộ 13,4.556.367.939,12.809.373.195,(7.363.948.749),10.001.792.385,4556367939.0,12809373195.0,-7363948749.0,10001792385.0
- Trạm thu phí Vĩnh Phú Suối Giữa,- Trạm thu phí Vĩnh Phú Suối Giữa,- Trạm thu phí Vĩnh Phú Suối Giữa,-,19.111.628.900,-,19.111.628.900,,19111628900.0,,19111628900.0
Cộng,Cộng,Cộng,4.556.367.939,32.243.402.095,(7.363.948.749),29.435.821.285,4556367939.0,32243402095.0,-7363948749.0,29435821285.0
