row_label_raw,row_label_full,col_0,Sô cuối năm,Sô dau nam,numeric__Sô cuối năm,numeric__Sô dau nam
Phải trả các bên liên quan,Phải trả các bên liên quan,Phải trả các bên liên quan,49.687.363.304,49.572.584.004,49687363304.0,49572584004.0
Tổng Công ty Đầu tư và Phát triển Công nghiệp – CTCP,Tổng Công ty Đầu tư và Phát triển Công nghiệp – CTCP,Tổng Công ty Đầu tư và Phát triển Công nghiệp – CTCP,49.687.363.304,49.572.584.004,49687363304.0,49572584004.0
- Phải trả tiền thu hộ căn hộ Sunrise,- Phải trả tiền thu hộ căn hộ Sunrise,- Phải trả tiền thu hộ căn hộ Sunrise,43.141.831.316,43.027.052.016,43141831316.0,43027052016.0
- Phải trả tiền thu hộ thuê văn phòng Becamex Tower,- Phải trả tiền thu hộ thuê văn phòng Becamex Tower,- Phải trả tiền thu hộ thuê văn phòng Becamex Tower,2.646.826.798,2.646.826.798,2646826798.0,2646826798.0
- Phải trả tiền thu hộ căn hộ New Horizon,- Phải trả tiền thu hộ căn hộ New Horizon,- Phải trả tiền thu hộ căn hộ New Horizon,1.948.734.160,1.948.734.160,1948734160.0,1948734160.0
- Phải trả tiền thu hộ Ban Quản lý Chung cư Sunrise,- Phải trả tiền thu hộ Ban Quản lý Chung cư Sunrise,- Phải trả tiền thu hộ Ban Quản lý Chung cư Sunrise,1.949.971.030,1.949.971.030,1949971030.0,1949971030.0
Phải trả các các tổ chức và cả nhân khác,Phải trả các các tổ chức và cả nhân khác,Phải trả các các tổ chức và cả nhân khác,58.014.762.408,217.077.950.167,58014762408.0,217077950167.0
"Kinh phí công đoàn, Bảo hiểm xã hội","Kinh phí công đoàn, Bảo hiểm xã hội","Kinh phí công đoàn, Bảo hiểm xã hội",1.332.015.867,1.245.534.312,1332015867.0,1245534312.0
"Nhận ký quỹ, ký cược ngắn hạn","Nhận ký quỹ, ký cược ngắn hạn","Nhận ký quỹ, ký cược ngắn hạn",30.534.652.818,150.973.476.185,30534652818.0,150973476185.0
Cổ tức phải trả,Cổ tức phải trả,Cổ tức phải trả,905.461.745,917.749.845,905461745.0,917749845.0
Tiền bảo dưỡng chung cư IJC Aroma,Tiền bảo dưỡng chung cư IJC Aroma,Tiền bảo dưỡng chung cư IJC Aroma,8.457.563.291,8.324.822.289,8457563291.0,8324822289.0
