row_label_raw,row_label_full,col_0,So cuối nam,So dad nam,numeric__So cuối nam,numeric__So dad nam
"Công cụ, dụng cụ","Công cụ, dụng cụ","Công cụ, dụng cụ",1.997.279.732,1.823.480.791,1997279732.0,1823480791.0
"Chi phí duy tu, sửa chữa Quốc lộ 13","Chi phí duy tu, sửa chữa Quốc lộ 13","Chi phí duy tu, sửa chữa Quốc lộ 13",3.242.530.604,6.511.951.091,3242530604.0,6511951091.0
Thiết bị thu phí tự động,Thiết bị thu phí tự động,Thiết bị thu phí tự động,94.583.254,554.160.208,94583254.0,554160208.0
Chi phí sửa chữa,Chi phí sửa chữa,Chi phí sửa chữa,102.795.375,37.266.661,102795375.0,37266661.0
Cộng,Cộng,Cộng,5.437.188.965,8.926.858.751,5437188965.0,8926858751.0
