row_label_raw,row_label_full,col_0,Số tiền dự kiến,numeric__Số tiền dự kiến
Dự án Khu biệt thự Sunflower,Dự án Khu biệt thự Sunflower,Dự án Khu biệt thự Sunflower,570.000.000.000,570000000000.0
Dự án chung cư Aroma,Dự án chung cư Aroma,Dự án chung cư Aroma,230.000.000.000,230000000000.0
Bổ sung vốn kinh doanh,Bổ sung vốn kinh doanh,Bổ sung vốn kinh doanh,Phần thăng dư vốn từ đợt phát hành,
