row_label_raw,row_label_full,CHỈ TIÊU,CHỈ TIÊU_1,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__CHỈ TIÊU_1,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
C -,C -,C -,NỘ PHẢI TRẢ,300,,3.464.857.797.559,4.571.521.960.302,,300.0,,3464857797559.0,4571521960302.0
I.,I.,I.,Nợ ngắn hạn,310,,1.939.958.357.223,3.184.300.269.848,,310.0,,1939958357223.0,3184300269848.0
1.,1.,1.,Phải trả người bán ngắn hạn,311,V.16a,815.836.758.808,877.679.739.837,,311.0,,815836758808.0,877679739837.0
2.,2.,2.,Người mua trả tiền trước ngắn hạn,312,V.17,18.373.665.055,9.537.796.667,,312.0,,18373665055.0,9537796667.0
3.,3.,3.,Thuế và các khoản phải nộp Nhà nước,313,V.18,22.970.819.362,79.464.836.825,,313.0,,22970819362.0,79464836825.0
4.,4.,4.,Phải trả người lao động,314,V.19,6.185.515.974,7.638.094.059,,314.0,,6185515974.0,7638094059.0
5.,5.,5.,Chi phí phải trả ngắn hạn,315,V.20,414.002.473.589,455.084.202.959,,315.0,,414002473589.0,455084202959.0
6.,6.,6.,Phải trả nội bộ ngắn hạn,316,,-,-,,316.0,,,
7.,7.,7.,Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,317,,-,-,,317.0,,,
8.,8.,8.,Doanh thu chưa thực hiện ngắn hạn,318,,-,938.724.040.823,,318.0,,,938724040823.0
9.,9.,9.,Phải trả ngắn hạn khác,319,V.21a,107.702.125.712,266.650.534.171,,319.0,,107702125712.0,266650534171.0
10.,10.,10.,Vay và nợ thuê tài chính ngắn hạn,320,V.22a,521.590.559.614,518.156.636.195,,320.0,,521590559614.0,518156636195.0
11.,11.,11.,Dự phòng phải trả ngắn hạn,321,,-,-,,321.0,,,
12.,12.,12.,"Quỹ khen thưởng, phúc lợi",322,V.23,33.296.439.109,31.364.388.312,,322.0,,33296439109.0,31364388312.0
13.,13.,13.,Quỹ bình ổn giá,323,,-,-,,323.0,,,
14.,14.,14.,Giao dịch mua bán lại trái phiếu Chính phủ,324,,-,-,,324.0,,,
II.,II.,II.,Nợ dài hạn,330,,1.524.899.440.336,1.387.221.690.454,,330.0,,1524899440336.0,1387221690454.0
1.,1.,1.,Phải trả người bán dài hạn,331,V.16b,186.151.594.000,207.174.848.000,,331.0,,186151594000.0,207174848000.0
2.,2.,2.,Người mua trả tiền trước dài hạn,332,,-,-,,332.0,,,
3.,3.,3.,Chi phí phải trả dài hạn,333,,-,-,,333.0,,,
4.,4.,4.,Phải trả nội bộ về vốn kinh doanh,334,,-,-,,334.0,,,
5.,5.,5.,Phải trả nội bộ dài hạn,335,,-,-,,335.0,,,
6.,6.,6.,Doanh thu chưa thực hiện dài hạn,336,V.24,710.956.678.414,743.626.517.648,,336.0,,710956678414.0,743626517648.0
7.,7.,7.,Phải trả dài hạn khác,337,V.21b,26.213.667.922,13.230.324.806,,337.0,,26213667922.0,13230324806.0
8.,8.,8.,Vay và nợ thuê tài chính dài hạn,338,V.22b,601.577.500.000,423.190.000.000,,338.0,,601577500000.0,423190000000.0
9.,9.,9.,Trái phiếu chuyển đổi,339,,-,-,,339.0,,,
10.,10.,10.,Cổ phiếu ưu đãi,340,,-,-,,340.0,,,
11.,11.,11.,Thuế thu nhập hoãn lại phải trả,341,,-,-,,341.0,,,
12.,12.,12.,Dự phòng phải trả dài hạn,342,,-,-,,342.0,,,
13.,13.,13.,Quỹ phát triển khoa học và công nghệ,343,,-,-,,343.0,,,
