row_label_raw,row_label_full,col_0,Lĩnh vực bán vế câu dưỡng,Lĩnh vực kinh doanh bất động sản,doanh bất động sản đầu tư,Lĩnh vực xây dựng,Hợp đồng hợp tác kinh doanh,Các lĩnh vực khác,Cộng,numeric__Lĩnh vực bán vế câu dưỡng,numeric__Lĩnh vực kinh doanh bất động sản,numeric__doanh bất động sản đầu tư,numeric__Lĩnh vực xây dựng,numeric__Hợp đồng hợp tác kinh doanh,numeric__Các lĩnh vực khác,numeric__Cộng
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,,
Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Năm nay > Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,180.949.200.283,2.096.237.922.599,24.099.882.056,86.256.630.300,30.411.950.673,183.767.828.697,2.601.723.414.608,180949200283.0,2096237922599.0,24099882056.0,86256630300.0,30411950673.0,183767828697.0,2601723414608.0
Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận,,,,,,,,,,,,,,
Tổng doanh thu thuần về bán hàng và cung cấp dịch vụ,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Tổng doanh thu thuần về bán hàng và cung cấp dịch vụ,Tổng doanh thu thuần về bán hàng và cung cấp dịch vụ,180.949.200.283,2.096.237.922.599,24.099.882.056,86.256.630.300,30.411.950.673,183.767.828.697,2.601.723.414.608,180949200283.0,2096237922599.0,24099882056.0,86256630300.0,30411950673.0,183767828697.0,2601723414608.0
Kết quả kinh doanh theo bộ phận,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,96.338.984.044,658.250.936.265,5.898.632.096,235.799.926,10.203.776.309,1.706.674.952,772.634.803.592,96338984044.0,658250936265.0,5898632096.0,235799926.0,10203776309.0,1706674952.0,772634803592.0
Các chi phí không phân bổ theo bộ phận,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,,,,,,,772.634.803.592,,,,,,,772634803592.0
Lợi nhuận từ hoạt động kinh doanh,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,,,,,,,7.041.960.845,,,,,,,7041960845.0
Doanh thu hoạt động tài chính,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,,,(24.064.567),,,,,,,-24064567.0
Chi phí tài chính,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Chi phí tài chính,Chi phí tài chính,,,,,,,18.595.360.585,,,,,,,18595360585.0
Thu nhập khác,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Thu nhập khác,Thu nhập khác,,,,,,,(15.430.035.573),,,,,,,-15430035573.0
Chi phí khác,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Chi phí khác,Chi phí khác,,,,,,,(157.477.370.248),,,,,,,-157477370248.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,,,,,,,(4.240.413.660),,,,,,,-4240413660.0
Chi phí thuế thu nhập doanh nghiệp hoãn lại,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,,,,,,,621.100.240.974,,,,,,,621100240974.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,,,,,,,,,,,,
Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Lợi nhuận sau thuế thu nhập doanh nghiệp > Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,45.199.842.049,,,,,2.552.566.638,47.752.408.687,45199842049.0,,,,,2552566638.0,47752408687.0
Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,Lợi nhuận sau thuế thu nhập doanh nghiệp > Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,36.262.856.487,326.350.493,8.446.599.511,,,6.510.584.262,51.546.390.753,36262856487.0,326350493.0,8446599511.0,,,6510584262.0,51546390753.0
