row_label_raw,row_label_full,Số đầu năm,Năm nay > 4.240.413.660,Năm trước > -,numeric__Năm nay > 4.240.413.660,numeric__Năm trước > -
Ghi nhận vào kết quả kinh doanh,Ghi nhận vào kết quả kinh doanh,Ghi nhận vào kết quả kinh doanh,(4.240.413.660),4.240.413.660,-4240413660.0,4240413660.0
Số cuối năm,Số cuối năm,Số cuối năm,-,4.240.413.660,,4240413660.0
