row_label_raw,row_label_full,col_0,Chi phí nghiên cứuvà triển khai,Phần mềmmáy tính,Cộng,numeric__Chi phí nghiên cứuvà triển khai,numeric__Phần mềmmáy tính,numeric__Cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,412.500.000,13.968.817.359,14.381.317.359,412500000.0,13968817359.0,14381317359.0
Dầu tư xây dựng cơ bản hoànthành,Nguyên giá > Dầu tư xây dựng cơ bản hoànthành,Dầu tư xây dựng cơ bản hoànthành,-,3.466.665.320,3.466.665.320,,3466665320.0,3466665320.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,412.500.000,17.435.482.679,17.847.982.679,412500000.0,17435482679.0,17847982679.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,
Đã khấu hao hết nhưng vấn cònsử dụng,Trong đó: > Đã khấu hao hết nhưng vấn cònsử dụng,Đã khấu hao hết nhưng vấn cònsử dụng,-,3.104.257.521,3.104.257.521,,3104257521.0,3104257521.0
Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,,,
Số đầu năm,Giá trị hao mòn > Số đầu năm,Số đầu năm,268.125.000,6.049.841.636,6.317.966.636,268125000.0,6049841636.0,6317966636.0
Khấu hao trong năm,Giá trị hao mòn > Khấu hao trong năm,Khấu hao trong năm,41.250.000,1.184.730.177,1.225.980.177,41250000.0,1184730177.0,1225980177.0
Số cuối năm,Giá trị hao mòn > Số cuối năm,Số cuối năm,309.375.000,7.234.571.813,7.543.946.813,309375000.0,7234571813.0,7543946813.0
