row_label_raw,row_label_full,col_0,Số cuối nam,Số đầu năm,numeric__Số cuối nam,numeric__Số đầu năm
Phải trả các bên liên quan,Phải trả các bên liên quan,Phải trả các bên liên quan,245.717.655.777,348.643.396.244,245717655777.0,348643396244.0
Tổng Công ty Đầu tư và Phát triển Công nghiệp - CTCP,Tổng Công ty Đầu tư và Phát triển Công nghiệp - CTCP,Tổng Công ty Đầu tư và Phát triển Công nghiệp - CTCP,245.042.468.240,345.077.979.476,245042468240.0,345077979476.0
- Trích trước phi chuyển nhượng quyền sử dụng đất phố thương mại IJC2,- Trích trước phi chuyển nhượng quyền sử dụng đất phố thương mại IJC2,- Trích trước phi chuyển nhượng quyền sử dụng đất phố thương mại IJC2,5.996.890.660,5.495.302.155,5996890660.0,5495302155.0
- Trích trước phi chuyển nhượng quyền sử dụng đất khu đô thị IJC,- Trích trước phi chuyển nhượng quyền sử dụng đất khu đô thị IJC,- Trích trước phi chuyển nhượng quyền sử dụng đất khu đô thị IJC,39.045.577.580,64.911.224.679,39045577580.0,64911224679.0
- Trích trước phi chuyển nhượng quyền sử dụng đất dự án Sunflower,- Trích trước phi chuyển nhượng quyền sử dụng đất dự án Sunflower,- Trích trước phi chuyển nhượng quyền sử dụng đất dự án Sunflower,-,5.119.841.280,,5119841280.0
- Lãi trả chậm cổ tức,- Lãi trả chậm cổ tức,- Lãi trả chậm cổ tức,200.000.000.000,257.336.457.362,200000000000.0,257336457362.0
- Trích trước chi phí khác,- Trích trước chi phí khác,- Trích trước chi phí khác,-,12.215.154.000,,12215154000.0
Công ty Liên doanh TNHH Khu công nghiệp Việt Nam – Singapore,Công ty Liên doanh TNHH Khu công nghiệp Việt Nam – Singapore,Công ty Liên doanh TNHH Khu công nghiệp Việt Nam – Singapore,675.187.537,3.565.416.768,675187537.0,3565416768.0
"- Trích trước phi chuyển nhượng quyền sử dụng đất áp 1, áp 5 Vĩnh Tân","- Trích trước phi chuyển nhượng quyền sử dụng đất áp 1, áp 5 Vĩnh Tân","- Trích trước phi chuyển nhượng quyền sử dụng đất áp 1, áp 5 Vĩnh Tân",675.187.537,675.187.537,675187537.0,675187537.0
- Trích trước phi chuyển nhượng quyền sử dụng đất áp 4 Suối Tre,- Trích trước phi chuyển nhượng quyền sử dụng đất áp 4 Suối Tre,- Trích trước phi chuyển nhượng quyền sử dụng đất áp 4 Suối Tre,-,2.890.229.231,,2890229231.0
Công ty Cổ phần Công nghệ & Truyền Thông Việt Nam – Cước điện thoại,Công ty Cổ phần Công nghệ & Truyền Thông Việt Nam – Cước điện thoại,Công ty Cổ phần Công nghệ & Truyền Thông Việt Nam – Cước điện thoại,-,2.758.366,,2758366.0
Phải trả các tổ chức và cá nhân khác,Phải trả các tổ chức và cá nhân khác,Phải trả các tổ chức và cá nhân khác,168.284.817.812,106.440.806.715,168284817812.0,106440806715.0
Trích trước giá vốn đầu tư cơ sở hạ tầng Khu tái định cư Hòa Lợi,Trích trước giá vốn đầu tư cơ sở hạ tầng Khu tái định cư Hòa Lợi,Trích trước giá vốn đầu tư cơ sở hạ tầng Khu tái định cư Hòa Lợi,2.029.828.091,2.029.828.091,2029828091.0,2029828091.0
Trích trước giá vốn đầu tư cơ sở hạ tầng Khu dân cư Hòa Lợi,Trích trước giá vốn đầu tư cơ sở hạ tầng Khu dân cư Hòa Lợi,Trích trước giá vốn đầu tư cơ sở hạ tầng Khu dân cư Hòa Lợi,21.359.184.450,-,21359184450.0,
Trích trước giá vốn đầu tư cơ sở hạ tầng Khu đô thị IJC,Trích trước giá vốn đầu tư cơ sở hạ tầng Khu đô thị IJC,Trích trước giá vốn đầu tư cơ sở hạ tầng Khu đô thị IJC,138.383.726.628,92.634.791.978,138383726628.0,92634791978.0
Trích trước giá vốn xây dựng nhà,Trích trước giá vốn xây dựng nhà,Trích trước giá vốn xây dựng nhà,-,3.923.978.574,,3923978574.0
Chi phí lãi vay,Chi phí lãi vay,Chi phí lãi vay,2.420.517.527,4.933.738.613,2420517527.0,4933738613.0
Các chi phí phải trả ngắn hạn khác,Các chi phí phải trả ngắn hạn khác,Các chi phí phải trả ngắn hạn khác,4.091.561.116,2.918.469.459,4091561116.0,2918469459.0
Cộng,Cộng,Cộng,414.002.473.589,455.084.202.959,414002473589.0,455084202959.0
