row_label_raw,row_label_full,col_0,Chức danh,Tiền lương,Thường,Thủ lao,Cộng thu nhập,numeric__Chức danh,numeric__Tiền lương,numeric__Thường,numeric__Thủ lao,numeric__Cộng thu nhập
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,
Ông Nguyễn Văn Hùng,Năm nay > Ông Nguyễn Văn Hùng,Ông Nguyễn Văn Hùng,Chủ tịch,-,-,350.800.000,350.800.000,,,,350800000.0,350800000.0
Ông Quảng Văn Việt Cương,Năm nay > Ông Quảng Văn Việt Cương,Ông Quảng Văn Việt Cương,Phó Chủ tịch,-,-,263.100.000,263.100.000,,,,263100000.0,263100000.0
Ông Nguyễn Hoàn Vũ,Năm nay > Ông Nguyễn Hoàn Vũ,Ông Nguyễn Hoàn Vũ,Thành viên,-,-,175.400.000,175.400.000,,,,175400000.0,175400000.0
Ông Trần Thiện Thế,Năm nay > Ông Trần Thiện Thế,Ông Trần Thiện Thế,Thành viên,-,-,175.400.000,175.400.000,,,,175400000.0,175400000.0
Ông Nguyễn Văn Hiền Phúc,Năm nay > Ông Nguyễn Văn Hiền Phúc,Ông Nguyễn Văn Hiền Phúc,Thành viên,-,-,175.400.000,175.400.000,,,,175400000.0,175400000.0
Ông Lê Anh Tuấn,Năm nay > Ông Lê Anh Tuấn,Ông Lê Anh Tuấn,Thành viên,-,-,175.400.000,175.400.000,,,,175400000.0,175400000.0
Ông Đỗ Quang Ngôn,Năm nay > Ông Đỗ Quang Ngôn,Ông Đỗ Quang Ngôn,Tổng Giám đốc,935.000.000,735.000.000,-,1.670.000.000,,935000000.0,735000000.0,,1670000000.0
Ông Trịnh Thanh Hùng,Năm nay > Ông Trịnh Thanh Hùng,Ông Trịnh Thanh Hùng,Phó Tổng Giám đốc,740.000.000,510.000.000,-,1.250.000.000,,740000000.0,510000000.0,,1250000000.0
Ông Trương Đức Hùng,Năm nay > Ông Trương Đức Hùng,Ông Trương Đức Hùng,Phó Tổng Giám đốc,465.000.000,510.000.000,-,975.000.000,,465000000.0,510000000.0,,975000000.0
Bà Võ Thị Huyền Trang,Năm nay > Bà Võ Thị Huyền Trang,Bà Võ Thị Huyền Trang,Phó Tổng Giám đốc,740.000.000,510.000.000,175.400.000,1.425.400.000,,740000000.0,510000000.0,175400000.0,1425400000.0
Ông Trần Ngọc Hiển,Năm nay > Ông Trần Ngọc Hiển,Ông Trần Ngọc Hiển,Phó Tổng Giám đốc,605.000.000,155.000.000,-,760.000.000,,605000000.0,155000000.0,,760000000.0
Bà Bái Thị Thủy,Năm nay > Bà Bái Thị Thủy,Bà Bái Thị Thủy,Kế toán trưởng,605.000.000,105.000.000,-,710.000.000,,605000000.0,105000000.0,,710000000.0
Cộng,Năm nay > Cộng,Cộng,,4.090.000.000,2.525.000.000,1.490.900.000,8.105.900.000,,4090000000.0,2525000000.0,1490900000.0,8105900000.0
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,
Ông Nguyễn Văn Hùng,Năm trước > Ông Nguyễn Văn Hùng,Ông Nguyễn Văn Hùng,Chủ tịch,-,-,227.000.000,227.000.000,,,,227000000.0,227000000.0
Ông Quảng Văn Việt Cương,Năm trước > Ông Quảng Văn Việt Cương,Ông Quảng Văn Việt Cương,Phó Chủ tịch,-,-,176.000.000,176.000.000,,,,176000000.0,176000000.0
Ông Nguyễn Hoàn Vũ,Năm trước > Ông Nguyễn Hoàn Vũ,Ông Nguyễn Hoàn Vũ,Thành viên,-,-,122.000.000,122.000.000,,,,122000000.0,122000000.0
Ông Trần Thiện Thế,Năm trước > Ông Trần Thiện Thế,Ông Trần Thiện Thế,Thành viên,-,-,122.000.000,122.000.000,,,,122000000.0,122000000.0
Ông Nguyễn Văn Hiền Phúc,Năm trước > Ông Nguyễn Văn Hiền Phúc,Ông Nguyễn Văn Hiền Phúc,Thành viên,-,-,122.000.000,122.000.000,,,,122000000.0,122000000.0
