row_label_raw,row_label_full,Bên liên quan,Nội dung nghiệp vụ,Năm nay,Năm trước,numeric__Nội dung nghiệp vụ,numeric__Năm nay,numeric__Năm trước
,,,,VND,VND,,,
Trả gốc vay (Thuyết minh số 22),Trả gốc vay (Thuyết minh số 22),Trả gốc vay (Thuyết minh số 22),,37.311.000.000,-,,37311000000.0,
Công ty Cổ phần Sunshine Homes,Công ty Cổ phần Sunshine Homes,Công ty Cổ phần Sunshine Homes,Trả gốc vay,20.000.000.000,-,,20000000000.0,
Công ty Cổ phần Tập đoàn Sunshine International Property Technology,Công ty Cổ phần Tập đoàn Sunshine International Property Technology,Công ty Cổ phần Tập đoàn Sunshine International Property Technology,Trả gốc vay,15.000.000.000,-,,15000000000.0,
Công ty TNHH Đầu tư và Kinh doanh BDS Đại Phát Lộc,Công ty TNHH Đầu tư và Kinh doanh BDS Đại Phát Lộc,Công ty TNHH Đầu tư và Kinh doanh BDS Đại Phát Lộc,Trả gốc vay,2.311.000.000,-,,2311000000.0,
Chi phí tài chính (Thuyết minh số 30),Chi phí tài chính (Thuyết minh số 30),Chi phí tài chính (Thuyết minh số 30),,10.009.282.192,2.251.365.000,,10009282192.0,2251365000.0
Công ty Cổ phần Sao Ánh Dương,Công ty Cổ phần Sao Ánh Dương,Công ty Cổ phần Sao Ánh Dương,Chi phí từ Hợp đồng hợp tác đầu tư,9.277.775.342,2.222.597.877,,9277775342.0,2222597877.0
Công ty Cổ phần Tập đoàn Sunshine International Property Technology,Công ty Cổ phần Tập đoàn Sunshine International Property Technology,Công ty Cổ phần Tập đoàn Sunshine International Property Technology,Chi phí lãi vay,731.506.850,28.767.123,,731506850.0,28767123.0
Đặt cọc mua cổ phần (Thuyết minh số 9),Đặt cọc mua cổ phần (Thuyết minh số 9),Đặt cọc mua cổ phần (Thuyết minh số 9),,-,450.000.000.000,,,450000000000.0
Công ty Cổ phần Tập đoàn Sunshine,Công ty Cổ phần Tập đoàn Sunshine,Công ty Cổ phần Tập đoàn Sunshine,Đặt cọc mua cổ phần,-,450.000.000.000,,,450000000000.0
Nhận chuyển nhượng cổ phần (Thuyết minh số 5),Nhận chuyển nhượng cổ phần (Thuyết minh số 5),Nhận chuyển nhượng cổ phần (Thuyết minh số 5),,267.000.000.000,2.178.000.000.000,,267000000000.0,2178000000000.0
Công ty Cổ phần Tập đoàn Sunshine,Công ty Cổ phần Tập đoàn Sunshine,Công ty Cổ phần Tập đoàn Sunshine,Nhận chuyển nhượng cổ phần,267.000.000.000,2.178.000.000.000,,267000000000.0,2178000000000.0
