row_label_raw,row_label_full,STT,Đối tượng nhận đặt cọc,Cố phần của Công ty,Dự án sở hữu,Địa điểm triển khai,Tổng diện tích đất (m2),Tỷ lệ sở hữu (%),Số lượng cổ phần nhận chuyển nhượng (cổ phần),Giá chuyển nhượng (VND),Số tiền đặt cọc (VND),numeric__Đối tượng nhận đặt cọc,numeric__Cố phần của Công ty,numeric__Dự án sở hữu,numeric__Địa điểm triển khai,numeric__Tổng diện tích đất (m2),numeric__Tỷ lệ sở hữu (%),numeric__Số lượng cổ phần nhận chuyển nhượng (cổ phần),numeric__Giá chuyển nhượng (VND),numeric__Số tiền đặt cọc (VND)
1.,1.,1.,Ông Đỗ Văn Trung,Công ty Cổ phần Quản lý Tài sản AMG,Sunshine Diamond River,"Quận 7, Thành phố Hồ Chí Minh",112.585,"26,07",2.085.455,458.800.000.000,458.800.000.000,,,,,112585.0,26.07,2085455.0,458800000000.0,458800000000.0
2.,2.,2.,Công ty Cổ phần Tập đoàn Sunshine - bên liên quan của Công ty,Công ty Cổ phần Sunshine Tây Hồ Villas,Sunshine Wonder Villas,"Quận Tây Hồ, Thành phố Hà Nội",110.542,"45,00",4.500.000,450.000.000.000,450.000.000.000,,,,,110542.0,45.0,4500000.0,450000000000.0,450000000000.0
3.,3.,3.,Công ty TNHH Đầu tư và Xây dựng Hạ tầng miền Bắc,Công ty Cổ phần Đầu tư Xây dựng Xuân La,Khu chức năng đồ thị Tây Tựu,"Quận Bắc Từ Liêm, Thành phố Hà Nội",6.709,"97,00",75.660.000,756.600.000.000,20.000.000.000,,,,,6709.0,97.0,75660000.0,756600000000.0,20000000000.0
