row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc",Tài sản khác,Tổng,"numeric__Nhà cửa,vật kiến trúc",numeric__Tài sản khác,numeric__Tổng
,,,VND,VND,VND,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,93.590.868.087,1.515.053.637,95.105.921.724,93590868087.0,1515053637.0,95105921724.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,-,318.431.818,318.431.818,,318431818.0,318431818.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,93.590.868.087,1.833.485.455,95.424.353.542,93590868087.0,1833485455.0,95424353542.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,6.638.443.874,328.830.429,6.967.274.303,6638443874.0,328830429.0,6967274303.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,30.764.185.996,394.530.153,31.158.716.149,30764185996.0,394530153.0,31158716149.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,37.402.629.870,723.360.582,38.125.990.452,37402629870.0,723360582.0,38125990452.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,86.952.424.213,1.186.223.208,88.138.647.421,86952424213.0,1186223208.0,88138647421.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,56.188.238.217,1.110.124.873,57.298.363.090,56188238217.0,1110124873.0,57298363090.0
