row_label_raw,row_label_full,col_0,Số đầu năm,Số phải nộp trong năm,Số đã thực nộp/bù trừ trong năm,Số cuối năm,numeric__Số đầu năm,numeric__Số phải nộp trong năm,numeric__Số đã thực nộp/bù trừ trong năm,numeric__Số cuối năm
,,,VND,VND,VND,VND,,,,
a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,,,,
Thuế thu nhập doanh nghiệp tạm nộp,a. Các khoản phải thu > Thuế thu nhập doanh nghiệp tạm nộp,Thuế thu nhập doanh nghiệp tạm nộp,2.168.413.254,3.189.300.950,1.947.272.727,926.385.031,2168413254.0,3189300950.0,1947272727.0,926385031.0
Thuế thu nhập doanh nghiệp tạm nộp,a. Các khoản phải thu > Thuế thu nhập doanh nghiệp tạm nộp,Thuế thu nhập doanh nghiệp tạm nộp,2.168.413.254,3.189.300.950,1.947.272.727,926.385.031,2168413254.0,3189300950.0,1947272727.0,926385031.0
b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,,,,
Thuế giá trị gia tăng đầu ra,b. Các khoản phải trả > Thuế giá trị gia tăng đầu ra,Thuế giá trị gia tăng đầu ra,26.182.003.943,30.965.008.639,55.964.933.497,1.182.079.085,26182003943.0,30965008639.0,55964933497.0,1182079085.0
Thuế thu nhập doanh nghiệp,b. Các khoản phải trả > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,74.223.054.169,38.647.966.741,73.639.466.109,39.231.554.801,74223054169.0,38647966741.0,73639466109.0,39231554801.0
Thuế thu nhập cá nhân,b. Các khoản phải trả > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,377.838.324,2.298.750.564,2.636.740.635,39.848.253,377838324.0,2298750564.0,2636740635.0,39848253.0
Các loại thuế khác,b. Các khoản phải trả > Các loại thuế khác,Các loại thuế khác,15.342.315.679,4.004.912.404,19.347.228.083,-,15342315679.0,4004912404.0,19347228083.0,
,,,116.125.212.115,75.916.638.348,151.588.368.324,40.453.482.139,116125212115.0,75916638348.0,151588368324.0,40453482139.0
