row_label_raw,row_label_full,STT,Dự án,Diện tích đất Dự án,Địa điểm thực hiện Dự án,Tỉnh trạng,Số cuối năm,numeric__Dự án,numeric__Diện tích đất Dự án,numeric__Địa điểm thực hiện Dự án,numeric__Tỉnh trạng,numeric__Số cuối năm
,,,,,,,VND,,,,,
1.,1.,1.,Dự án Sunshine Center,6.695 m2,"Quận Nam Từ Liêm, Thành phố Hà Nội",Đã mở bán,126.666.420.775,,,,,126666420775.0
(iii),(iii),(iii),Thể hiện các khoản phải thu từ các cá nhân liên quan hợp đồng chuyển nhượng quyền và nghĩa vụ của hợp đồng góp vốn đầu tư.,Thể hiện các khoản phải thu từ các cá nhân liên quan hợp đồng chuyển nhượng quyền và nghĩa vụ của hợp đồng góp vốn đầu tư.,Thể hiện các khoản phải thu từ các cá nhân liên quan hợp đồng chuyển nhượng quyền và nghĩa vụ của hợp đồng góp vốn đầu tư.,Thể hiện các khoản phải thu từ các cá nhân liên quan hợp đồng chuyển nhượng quyền và nghĩa vụ của hợp đồng góp vốn đầu tư.,Thể hiện các khoản phải thu từ các cá nhân liên quan hợp đồng chuyển nhượng quyền và nghĩa vụ của hợp đồng góp vốn đầu tư.,,,,,
