row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND > Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm
Phải thu từ chuyển nhượng bất động sản,Phải thu từ chuyển nhượng bất động sản,Phải thu từ chuyển nhượng bất động sản,5.701.974.860.514,3.614.086.042.849,5701974860514.0,3614086042849.0
Phải thu từ chuyển nhượng khoản đầu tư,Phải thu từ chuyển nhượng khoản đầu tư,Phải thu từ chuyển nhượng khoản đầu tư,319.000.000.000,1.118.410.842.439,319000000000.0,1118410842439.0
"Phải thu từ cung cấp dịch vụ khách sạn, du lịch, vui chơi giải trí và các dịch vụ liên quan","Phải thu từ cung cấp dịch vụ khách sạn, du lịch, vui chơi giải trí và các dịch vụ liên quan","Phải thu từ cung cấp dịch vụ khách sạn, du lịch, vui chơi giải trí và các dịch vụ liên quan",268.595.141.715,158.360.787.526,268595141715.0,158360787526.0
Phải thu từ cho thuê bất động sản đầu tư và cung cấp dịch vụ liên quan,Phải thu từ cho thuê bất động sản đầu tư và cung cấp dịch vụ liên quan,Phải thu từ cho thuê bất động sản đầu tư và cung cấp dịch vụ liên quan,267.756.536.563,344.946.214.307,267756536563.0,344946214307.0
Phải thu từ cung cấp dịch vụ bệnh viện và các dịch vụ liên quan,Phải thu từ cung cấp dịch vụ bệnh viện và các dịch vụ liên quan,Phải thu từ cung cấp dịch vụ bệnh viện và các dịch vụ liên quan,238.760.786.057,208.024.680.022,238760786057.0,208024680022.0
Phải thu khác,Phải thu khác,Phải thu khác,797.922.640.073,300.631.883.775,797922640073.0,300631883775.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,7.594.009.964.922,5.744.460.450.918,7594009964922.0,5744460450918.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu ngắn hạn từ các bên liên quan(Thuyết minh số 37),Trong đó: > Phải thu ngắn hạn từ các bên liên quan(Thuyết minh số 37),Phải thu ngắn hạn từ các bên liên quan(Thuyết minh số 37),256.302.973.549,135.043.603.890,256302973549.0,135043603890.0
Dự phòng phải thu khó đòi,Trong đó: > Dự phòng phải thu khó đòi,Dự phòng phải thu khó đòi,(124.820.527.359),(67.008.044.384),-124820527359.0,-67008044384.0
Chi tiết các khoản phải thu ngắn hạn từ khách hàng chiếm trên 10% tổng phải thu:,Chi tiết các khoản phải thu ngắn hạn từ khách hàng chiếm trên 10% tổng phải thu:,Chi tiết các khoản phải thu ngắn hạn từ khách hàng chiếm trên 10% tổng phải thu:,Chi tiết các khoản phải thu ngắn hạn từ khách hàng chiếm trên 10% tổng phải thu:,Chi tiết các khoản phải thu ngắn hạn từ khách hàng chiếm trên 10% tổng phải thu:,,
Phải thu từ chuyển nhượng khoản đầu tư từ một đối tác doanh nghiệp khác,Chi tiết các khoản phải thu ngắn hạn từ khách hàng chiếm trên 10% tổng phải thu: > Phải thu từ chuyển nhượng khoản đầu tư từ một đối tác doanh nghiệp khác,Phải thu từ chuyển nhượng khoản đầu tư từ một đối tác doanh nghiệp khác,-,981.716.150.000,,981716150000.0
