row_label_raw,row_label_full,Bên liên quan > Công ty Cổ phầnTập đoàn Đầu tưViệt Nam,Môi quan hệ > Cùng chủ sở hữu,Nội dung nghiệp vụ > Phải thu từ bán hàng và cung cấp dịch vụ khác > Phải trả phí văn phòng và ăn trưa nhân viên,Đơn vị tính: VND > Năm nay > 38.343.027.684 > (75.423.815.830),Đơn vị tính: VND > Năm trước > - > (68.616.761.389),numeric__Môi quan hệ > Cùng chủ sở hữu,numeric__Nội dung nghiệp vụ > Phải thu từ bán hàng và cung cấp dịch vụ khác > Phải trả phí văn phòng và ăn trưa nhân viên,numeric__Đơn vị tính: VND > Năm nay > 38.343.027.684 > (75.423.815.830),numeric__Đơn vị tính: VND > Năm trước > - > (68.616.761.389)
Quỹ Thiện Tâm,Quỹ Thiện Tâm,Quỹ Thiện Tâm,Cùng chủ sở hữu,Chi phí từ thiện phát sinh,-,(1.026.142.915.754),,,,-1026142915754.0
Quỹ Thiện Tâm,Quỹ Thiện Tâm,Quỹ Thiện Tâm,Cùng chủ sở hữu,Chuyển tiền cho mục đích từ thiện,1.494.612.000.000,1.497.025.000.000,,,1494612000000.0,1497025000000.0
Quỹ Thiện Tâm,Quỹ Thiện Tâm,Quỹ Thiện Tâm,Cùng chủ sở hữu,Thu hồi tiên,(360.612.000.000),-,,,-360612000000.0,
Quỹ Thiện Tâm,Quỹ Thiện Tâm,Quỹ Thiện Tâm,Cùng chủ sở hữu,Phải thu dịch vụ khám chữa bệnh,505.394.413.100,360.290.551.174,,,505394413100.0,360290551174.0
Quỹ Thiện Tâm,Quỹ Thiện Tâm,Quỹ Thiện Tâm,Cùng chủ sở hữu,Thu tiền dịch vụ khám chữa bệnh,(538.244.494.055),(242.714.280.455),,,-538244494055.0,-242714280455.0
Công ty Du lịch PhúQuốc,Công ty Du lịch PhúQuốc,Công ty Du lịch PhúQuốc,Công ty liên kết,Trả tiền theo hợp đồng hợp tác kinh doanh,-,700.000.000.000,,,,700000000000.0
Công ty Du lịch PhúQuốc,Công ty Du lịch PhúQuốc,Công ty Du lịch PhúQuốc,Công ty liên kết,Thu hồi tiên theo hợp đồng hợp tác kinh doanh,700.000.000.000,-,,,700000000000.0,
Công ty Du lịch PhúQuốc,Công ty Du lịch PhúQuốc,Công ty Du lịch PhúQuốc,Công ty liên kết,Phải trả thuế giá trị gia tăng được cần trừ,-,(575.773.062.640),,,,-575773062640.0
Công ty Du lịch PhúQuốc,Công ty Du lịch PhúQuốc,Công ty Du lịch PhúQuốc,Công ty liên kết,Trả tiền thuế giá trị gia tăng được cần trừ thu hộ,299.916.673.750,275.856.388.890,,,299916673750.0,275856388890.0
Công ty Du lịch PhúQuốc,Công ty Du lịch PhúQuốc,Công ty Du lịch PhúQuốc,Công ty liên kết,Phải trả cổ tức,-,(125.000.000.000),,,,-125000000000.0
Công ty Du lịch PhúQuốc,Công ty Du lịch PhúQuốc,Công ty Du lịch PhúQuốc,Công ty liên kết,Thanh toán cổ tức,-,125.000.000.000,,,,125000000000.0
Công ty Du lịch PhúQuốc,Công ty Du lịch PhúQuốc,Công ty Du lịch PhúQuốc,Công ty liên kết,Phải thu dịch vụ quản lý tổng thầu và cung cấp vật liệu xây dựng,-,105.138.169.727,,,,105138169727.0
Công ty Du lịch PhúQuốc,Công ty Du lịch PhúQuốc,Công ty Du lịch PhúQuốc,Công ty liên kết,Thu tiền dịch vụ quản lý tổng thầu và cung cấp vật liệu xây dựng,-,(105.138.169.727),,,,-105138169727.0
Công ty Du lịch PhúQuốc,Công ty Du lịch PhúQuốc,Công ty Du lịch PhúQuốc,Công ty liên kết,Phải thu từ bán hàng và cung cấp dịch vụ,120.714.740.692,-,,,120714740692.0,
Công ty Du lịch PhúQuốc,Công ty Du lịch PhúQuốc,Công ty Du lịch PhúQuốc,Công ty liên kết,Lãi từ cung cấp dịch vụ tổng thầu xây dựng,86.695.020.906,-,,,86695020906.0,
Công ty Du lịch PhúQuốc,Công ty Du lịch PhúQuốc,Công ty Du lịch PhúQuốc,Công ty liên kết,Thu nhập từ thanh lý tài sản cho công ty liên kết,201.032.297.313,-,,,201032297313.0,
Công ty Du lịch PhúQuốc,Công ty Du lịch PhúQuốc,Công ty Du lịch PhúQuốc,Công ty liên kết,Phải trả mua tài sản,(441.431.645.869),-,,,-441431645869.0,
Cá nhân khác,Cá nhân khác,Cá nhân khác,Các thành viên quản lý chủchốt,Phải thu chuyển nhượng cổ phần công ty con,85.671.000.000,-,,,85671000000.0,
Công ty Cổ phần Du lịch Hôn Một,Công ty Cổ phần Du lịch Hôn Một,Công ty Cổ phần Du lịch Hôn Một,Người đại diện theo pháp luật của Công ty là thành viên quản lý chú chốt cùacông ty con,Thu nhập từ bán công ty con,2.041.190.609.989,-,,,2041190609989.0,
