row_label_raw,row_label_full,col_0,Đơn vị tính: VNDGiá trị hợp lý được xác định tạm thời tại ngày mua,numeric__Đơn vị tính: VNDGiá trị hợp lý được xác định tạm thời tại ngày mua
Tài sản,Tài sản,Tài sản,Tài sản,
Tiền và các khoản tương đương tiền,Tài sản > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,332.621.436.880,332621436880.0
Phải thu ngắn hạn của khách hàng,Tài sản > Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,101.493.665.988,101493665988.0
Phải thu ngắn hạn khác,Tài sản > Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,25.723.486.490,25723486490.0
Hàng tồn kho,Tài sản > Hàng tồn kho,Hàng tồn kho,625.864.799.885,625864799885.0
Tài sản cố định hữu hình,Tài sản > Tài sản cố định hữu hình,Tài sản cố định hữu hình,69.382.264.330,69382264330.0
,,,1.155.085.653.573,1155085653573.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,
Thuế và các khoản phải nộp Nhà nước,Nợ phải trả > Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,103.433.635.500,103433635500.0
Chi phí phải trả ngắn hạn,Nợ phải trả > Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,112.170.039.118,112170039118.0
Dự phòng phải trả dài hạn,Nợ phải trả > Dự phòng phải trả dài hạn,Dự phòng phải trả dài hạn,70.160.727.795,70160727795.0
Các khoản phải trả khác,Nợ phải trả > Các khoản phải trả khác,Các khoản phải trả khác,85.349.644.066,85349644066.0
,,,371.114.046.479,371114046479.0
Tổng tài sản thuần,Nợ phải trả > Tổng tài sản thuần,Tổng tài sản thuần,783.971.607.094,783971607094.0
Lợi ích cổ đông không kiểm soát,Nợ phải trả > Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,78.696.170.348,78696170348.0
Lợi thế thương mại từ hợp nhất kinh doanh,Nợ phải trả > Lợi thế thương mại từ hợp nhất kinh doanh,Lợi thế thương mại từ hợp nhất kinh doanh,56.764.010.334,56764010334.0
Tổng giá phí hợp nhất kinh doanh,Nợ phải trả > Tổng giá phí hợp nhất kinh doanh,Tổng giá phí hợp nhất kinh doanh,919.431.787.776,919431787776.0
Thông tin lưu chuyển tiền tệ từ việc mua công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con,
Tiền thu về từ công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con > Tiền thu về từ công ty con,Tiền thu về từ công ty con,332.621.436.880,332621436880.0
Tiền chi để mua công ty con tính đến ngày 31 tháng 12 năm 2018,Thông tin lưu chuyển tiền tệ từ việc mua công ty con > Tiền chi để mua công ty con tính đến ngày 31 tháng 12 năm 2018,Tiền chi để mua công ty con tính đến ngày 31 tháng 12 năm 2018,(919.431.787.776),-919431787776.0
Lưu chuyển tiền thuần sử dụng vào nghiệp vụ mua,Thông tin lưu chuyển tiền tệ từ việc mua công ty con > Lưu chuyển tiền thuần sử dụng vào nghiệp vụ mua,Lưu chuyển tiền thuần sử dụng vào nghiệp vụ mua,(586.810.350.896),-586810350896.0
