row_label_raw,row_label_full,col_0,Số đầu năm (*),Đầu tư tăng thêm trong năm,"Phân chia lãi/(lỗ) từ các công ty liên kết, liên doanh",Đơn vị tính: VND Số cuối năm (*),numeric__Số đầu năm (*),numeric__Đầu tư tăng thêm trong năm,"numeric__Phân chia lãi/(lỗ) từ các công ty liên kết, liên doanh",numeric__Đơn vị tính: VND Số cuối năm (*)
Công ty Du lịch Phú Quốc,Công ty Du lịch Phú Quốc,Công ty Du lịch Phú Quốc,2.387.075.724.429,-,(467.767.470.024),1.919.308.254.405,2387075724429.0,,-467767470024.0,1919308254405.0
Công ty Việt Thắng Công ty Giống vật nuôi Hà Nội,Công ty Việt Thắng Công ty Giống vật nuôi Hà Nội,Công ty Việt Thắng Công ty Giống vật nuôi Hà Nội,-,501.680.000.000,41.503.732.613,543.183.732.613,,501680000000.0,41503732613.0,543183732613.0
Công ty Vinfast-An Phát,Công ty Vinfast-An Phát,Công ty Vinfast-An Phát,47.788.263.901,-,1.047.648.111,48.835.912.012,47788263901.0,,1047648111.0,48835912012.0
Công ty In sách Việt Nam,Công ty In sách Việt Nam,Công ty In sách Việt Nam,-,30.000.000.000,-,30.000.000.000,,30000000000.0,,30000000000.0
Công ty In sách Việt Nam,Công ty In sách Việt Nam,Công ty In sách Việt Nam,4.760.612.465,-,297.242.790,5.057.855.255,4760612465.0,,297242790.0,5057855255.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,2.439.624.600.795,531.680.000.000,(424.918.846.510),2.546.385.754.285,2439624600795.0,531680000000.0,-424918846510.0,2546385754285.0
