row_label_raw,row_label_full,Giá trị (USD) > Giá trị trái phiếu hoán đổi,Số đầu năm > - > Giá trị trái phiếu hoán đổi,Thay đổi trong năm > Phát hành thêm > 450.000.000 > Giá trị trái phiếu hoán đổi,Thay đổi trong năm > Đã hoán đổi thành cổ phiếu > - > 10.060.202.000.000,Thay đổi trong năm > Đã đáo hạn không được hoán đổi thành cổ phiếu > - > Đơn vị tính: VND > Năm nay,Số cuối năm > 450.000.000 > Đơn vị tính: VND > Năm trước > -,numeric__Số đầu năm > - > Giá trị trái phiếu hoán đổi,numeric__Thay đổi trong năm > Phát hành thêm > 450.000.000 > Giá trị trái phiếu hoán đổi,numeric__Thay đổi trong năm > Đã hoán đổi thành cổ phiếu > - > 10.060.202.000.000,numeric__Thay đổi trong năm > Đã đáo hạn không được hoán đổi thành cổ phiếu > - > Đơn vị tính: VND > Năm nay,numeric__Số cuối năm > 450.000.000 > Đơn vị tính: VND > Năm trước > -
Cơ cấu vốn chủ sở hữu,Cơ cấu vốn chủ sở hữu,Cơ cấu vốn chủ sở hữu,Cơ cấu vốn chủ sở hữu,Cơ cấu vốn chủ sở hữu,-,,-,,,,,
Cơ cấu nợ gốc ghi nhận ban đầu,Cơ cấu vốn chủ sở hữu > Cơ cấu nợ gốc ghi nhận ban đầu,Cơ cấu nợ gốc ghi nhận ban đầu,Cơ cấu nợ gốc ghi nhận ban đầu,Cơ cấu nợ gốc ghi nhận ban đầu,10.060.202.000.000,,-,,,10060202000000.0,,
Cộng: Giá trị phân bổ lũy kế phần giá trị chiết khấu,Cộng: Giá trị phân bổ lũy kế phần giá trị chiết khấu,Cộng: Giá trị phân bổ lũy kế phần giá trị chiết khấu,Cộng: Giá trị phân bổ lũy kế phần giá trị chiết khấu,Cộng: Giá trị phân bổ lũy kế phần giá trị chiết khấu,,,-,,,,,
Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,-,,-,,,,,
Số phân bổ tăng trong năm,Số đầu năm > Số phân bổ tăng trong năm,Số phân bổ tăng trong năm,Số phân bổ tăng trong năm,Số phân bổ tăng trong năm,26.112.522.906,,-,,,26112522906.0,,
Số cuối năm,Số đầu năm > Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,26.112.522.906,,-,,,26112522906.0,,
Cộng: Lỗ chênh lệch tỷ giá đánh giá lại số dư cuối kỳ,Số đầu năm > Cộng: Lỗ chênh lệch tỷ giá đánh giá lại số dư cuối kỳ,Cộng: Lỗ chênh lệch tỷ giá đánh giá lại số dư cuối kỳ,Cộng: Lỗ chênh lệch tỷ giá đánh giá lại số dư cuối kỳ,Cộng: Lỗ chênh lệch tỷ giá đánh giá lại số dư cuối kỳ,119.350.000.000,,-,,,119350000000.0,,
Cơ cấu nợ gốc tại ngày cuối kỳ,Số đầu năm > Cơ cấu nợ gốc tại ngày cuối kỳ,Cơ cấu nợ gốc tại ngày cuối kỳ,Cơ cấu nợ gốc tại ngày cuối kỳ,Cơ cấu nợ gốc tại ngày cuối kỳ,10.205.664.522.906,,-,,,10205664522906.0,,
