row_label_raw,row_label_full,col_0,Năm nay,Đơn vị tính: VND,numeric__Năm nay,numeric__Đơn vị tính: VND
Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,13.853.637.650.408,9.114.281.478.576,13853637650408.0,9114281478576.0
Thuế tính theo thuế suất của công ty Điều chỉnh lãi/lỗ phát sinh trên báo cáo hợp nhất từ các giao dịch chuyển nhượng vốn Điều chỉnh thu nhập/chi phí trên báo cáo hợp nhất phát sinh từ giao dịch mua nhóm tài sản và hợp nhất kinh doanh,Thuế tính theo thuế suất của công ty Điều chỉnh lãi/lỗ phát sinh trên báo cáo hợp nhất từ các giao dịch chuyển nhượng vốn Điều chỉnh thu nhập/chi phí trên báo cáo hợp nhất phát sinh từ giao dịch mua nhóm tài sản và hợp nhất kinh doanh,Thuế tính theo thuế suất của công ty Điều chỉnh lãi/lỗ phát sinh trên báo cáo hợp nhất từ các giao dịch chuyển nhượng vốn Điều chỉnh thu nhập/chi phí trên báo cáo hợp nhất phát sinh từ giao dịch mua nhóm tài sản và hợp nhất kinh doanh,2.770.727.530.082,1.822.856.295.715,2770727530082.0,1822856295715.0
Thuế tính theo thuế suất của công ty Điều chỉnh lãi/lỗ phát sinh trên báo cáo hợp nhất từ các giao dịch chuyển nhượng vốn Điều chỉnh thu nhập/chi phí trên báo cáo hợp nhất phát sinh từ giao dịch mua nhóm tài sản và hợp nhất kinh doanh,Thuế tính theo thuế suất của công ty Điều chỉnh lãi/lỗ phát sinh trên báo cáo hợp nhất từ các giao dịch chuyển nhượng vốn Điều chỉnh thu nhập/chi phí trên báo cáo hợp nhất phát sinh từ giao dịch mua nhóm tài sản và hợp nhất kinh doanh,Thuế tính theo thuế suất của công ty Điều chỉnh lãi/lỗ phát sinh trên báo cáo hợp nhất từ các giao dịch chuyển nhượng vốn Điều chỉnh thu nhập/chi phí trên báo cáo hợp nhất phát sinh từ giao dịch mua nhóm tài sản và hợp nhất kinh doanh,2.529.887.493.968,(26.094.768.983),2529887493968.0,-26094768983.0
Thuế tính theo thuế suất của công ty Điều chỉnh lãi/lỗ phát sinh trên báo cáo hợp nhất từ các giao dịch chuyển nhượng vốn Điều chỉnh thu nhập/chi phí trên báo cáo hợp nhất phát sinh từ giao dịch mua nhóm tài sản và hợp nhất kinh doanh,Thuế tính theo thuế suất của công ty Điều chỉnh lãi/lỗ phát sinh trên báo cáo hợp nhất từ các giao dịch chuyển nhượng vốn Điều chỉnh thu nhập/chi phí trên báo cáo hợp nhất phát sinh từ giao dịch mua nhóm tài sản và hợp nhất kinh doanh,Thuế tính theo thuế suất của công ty Điều chỉnh lãi/lỗ phát sinh trên báo cáo hợp nhất từ các giao dịch chuyển nhượng vốn Điều chỉnh thu nhập/chi phí trên báo cáo hợp nhất phát sinh từ giao dịch mua nhóm tài sản và hợp nhất kinh doanh,1.850.885.982.608,47.546.879.625,1850885982608.0,47546879625.0
Lỗ của các công ty con,Lỗ của các công ty con,Lỗ của các công ty con,989.609.438.301,715.750.676.139,989609438301.0,715750676139.0
Lỗ từ các hoạt động kinh doanh không được bù trừ,Lỗ từ các hoạt động kinh doanh không được bù trừ,Lỗ từ các hoạt động kinh doanh không được bù trừ,323.541.081.995,531.260.408.808,323541081995.0,531260408808.0
Lợi thế thương mại phân bổ trên báo cáo tài chính hợp nhất,Lợi thế thương mại phân bổ trên báo cáo tài chính hợp nhất,Lợi thế thương mại phân bổ trên báo cáo tài chính hợp nhất,179.002.723.228,180.212.541.902,179002723228.0,180212541902.0
Chi phí từ thiện,Chi phí từ thiện,Chi phí từ thiện,40.228.240.551,226.062.067.181,40228240551.0,226062067181.0
Lỗ nằm trước chuyển sang,Lỗ nằm trước chuyển sang,Lỗ nằm trước chuyển sang,(1.306.555.266.845),(91.839.202.827),-1306555266845.0,-91839202827.0
Các khoản khác,Các khoản khác,Các khoản khác,285.428.955.917,53.584.789.790,285428955917.0,53584789790.0
Chi phí thuế TNDN,Chi phí thuế TNDN,Chi phí thuế TNDN,7.662.756.179.805,3.459.339.687.350,7662756179805.0,3459339687350.0
