row_label_raw,row_label_full,Bên liên quan > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),Mối quan hộ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),Số cuối năm VND > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),Số đầu năm VND > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),numeric__Mối quan hộ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),numeric__Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),numeric__Số cuối năm VND > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),numeric__Số đầu năm VND > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1)
Quỹ Thiện Tâm,Quỹ Thiện Tâm,Quỹ Thiện Tâm,Cùng chủ sở hữu,Chi phí khám chữa bệnh phải thu,87.686.775.683,120.536.856.638,,,87686775683.0,120536856638.0
Công ty Du lịch Phú Quốc,Công ty Du lịch Phú Quốc,Công ty Du lịch Phú Quốc,Công ty liên kết,Phải thu cung cấp dịch vụ và vật liệu xây dựng,117.311.074.369,-,,,117311074369.0,
Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Công ty cùng chủ sở hữu và thành viên quản lý chủ chốt,Phải thu khác,51.305.123.497,14.506.747.252,,,51305123497.0,14506747252.0
,,,,,256.302.973.549,135.043.603.890,,,256302973549.0,135043603890.0
Phải thu ngắn hạn khác (Thuyết minh số 9),Phải thu ngắn hạn khác (Thuyết minh số 9),Phải thu ngắn hạn khác (Thuyết minh số 9),Phải thu ngắn hạn khác (Thuyết minh số 9),Phải thu ngắn hạn khác (Thuyết minh số 9),Phải thu ngắn hạn khác (Thuyết minh số 9),Phải thu ngắn hạn khác (Thuyết minh số 9),,,,
Công ty Du lịch Phú Quốc,Phải thu ngắn hạn khác (Thuyết minh số 9) > Công ty Du lịch Phú Quốc,Công ty Du lịch Phú Quốc,Công ty liên kết,Phải thu lợi nhuận chia sẻ từ hợp đồng hợp tác kinh doanh,249.111.825.436,-,,,249111825436.0,
Quỹ Thiện Tâm,Phải thu ngắn hạn khác (Thuyết minh số 9) > Quỹ Thiện Tâm,Quỹ Thiện Tâm,Cùng chủ sở hữu,Phải thu từ chi hộ,1.134.000.000.000,-,,,1134000000000.0,
,,,,,1.383.111.825.436,-,,,1383111825436.0,
Phải trả người bán ngắn hạn (Thuyết minh số 21.1),Phải trả người bán ngắn hạn (Thuyết minh số 21.1),Phải trả người bán ngắn hạn (Thuyết minh số 21.1),Phải trả người bán ngắn hạn (Thuyết minh số 21.1),Phải trả người bán ngắn hạn (Thuyết minh số 21.1),Phải trả người bán ngắn hạn (Thuyết minh số 21.1),Phải trả người bán ngắn hạn (Thuyết minh số 21.1),,,,
Công ty Cổ phần Tập đoàn Đầu tư Việt Nam,Phải trả người bán ngắn hạn (Thuyết minh số 21.1) > Công ty Cổ phần Tập đoàn Đầu tư Việt Nam,Công ty Cổ phần Tập đoàn Đầu tư Việt Nam,Cùng chủ sở hữu,Phải trả mua hàng hóa dịch vụ,2.115.033.863,4.543.547.368,,,2115033863.0,4543547368.0
Công ty Du lịch Phú Quốc,Phải trả người bán ngắn hạn (Thuyết minh số 21.1) > Công ty Du lịch Phú Quốc,Công ty Du lịch Phú Quốc,Công ty liên kết,Phải trả mua tài sản,441.431.645.869,-,,,441431645869.0,
,,,,,443.546.679.732,4.543.547.368,,,443546679732.0,4543547368.0
Doanh thu chưa thực hiện (Thuyết minh số 24),Doanh thu chưa thực hiện (Thuyết minh số 24),Doanh thu chưa thực hiện (Thuyết minh số 24),Doanh thu chưa thực hiện (Thuyết minh số 24),Doanh thu chưa thực hiện (Thuyết minh số 24),Doanh thu chưa thực hiện (Thuyết minh số 24),Doanh thu chưa thực hiện (Thuyết minh số 24),,,,
Cá nhân khác,Doanh thu chưa thực hiện (Thuyết minh số 24) > Cá nhân khác,Cá nhân khác,Thành viên quản lý chủ chốt,Doanh thu chưa thực hiện,-,70.705.898.141,,,,70705898141.0
Công ty Du lịch Phú Quốc,Doanh thu chưa thực hiện (Thuyết minh số 24) > Công ty Du lịch Phú Quốc,Công ty Du lịch Phú Quốc,Công ty liên kết,Doanh thu chưa thực hiện từ thanh lý tài sản và cung cấp dịch vụ,774.490.032.182,-,,,774490032182.0,
,,,,,774.490.032.182,70.705.898.141,,,774490032182.0,70705898141.0
Các khoản phải trả ngắn hạn khác (Thuyết minh số 25.1),Các khoản phải trả ngắn hạn khác (Thuyết minh số 25.1),Các khoản phải trả ngắn hạn khác (Thuyết minh số 25.1),Các khoản phải trả ngắn hạn khác (Thuyết minh số 25.1),Các khoản phải trả ngắn hạn khác (Thuyết minh số 25.1),Các khoản phải trả ngắn hạn khác (Thuyết minh số 25.1),Các khoản phải trả ngắn hạn khác (Thuyết minh số 25.1),,,,
Công ty Du lịch Phú Quốc,Các khoản phải trả ngắn hạn khác (Thuyết minh số 25.1) > Công ty Du lịch Phú Quốc,Công ty Du lịch Phú Quốc,Công ty liên kết,Phải trả liên quan đến hợp đồng hợp tác kinh doanh,-,299.916.673.750,,,,299916673750.0
,,,,,-,299.916.673.750,,,,299916673750.0
