row_label_raw,row_label_full,col_0,Số đầu năm,Số phát sinh trong năm,Số đã nộp/cấn trừ trong năm,Đơn vị tính: VND,numeric__Số đầu năm,numeric__Số phát sinh trong năm,numeric__Số đã nộp/cấn trừ trong năm,numeric__Đơn vị tính: VND
Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,
Thuế giá trị gia táng,Phải nộp > Thuế giá trị gia táng,Thuế giá trị gia táng,305.328.753.632,2.486.984.438.573,(2.260.235.616.092),532.077.576.113,305328753632.0,2486984438573.0,-2260235616092.0,532077576113.0
Thuế thu nhập doanh nghiệp,Phải nộp > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,1.315.112.162.355,7.273.131.376.307,(5.760.402.076.308),2.827.841.462.354,1315112162355.0,7273131376307.0,-5760402076308.0,2827841462354.0
Thuế thu nhập cá nhân,Phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,91.049.569.323,1.093.162.223.936,(1.002.608.950.779),181.602.842.480,91049569323.0,1093162223936.0,-1002608950779.0,181602842480.0
"Tiền sử dụng đất,thuế đất, chi phí thuế đất phải nộp và các nghĩa vụ theo hợp đồng xây dựng –chuyển giao","Phải nộp > Tiền sử dụng đất,thuế đất, chi phí thuế đất phải nộp và các nghĩa vụ theo hợp đồng xây dựng –chuyển giao","Tiền sử dụng đất,thuế đất, chi phí thuế đất phải nộp và các nghĩa vụ theo hợp đồng xây dựng –chuyển giao",3.141.781.701.993,15.299.599.071.203,(6.712.369.883.072),11.729.010.890.124,3141781701993.0,15299599071203.0,-6712369883072.0,11729010890124.0
Thuế và các khoản phải nộp Nhà nước khác,Phải nộp > Thuế và các khoản phải nộp Nhà nước khác,Thuế và các khoản phải nộp Nhà nước khác,79.833.049.358,1.728.642.034.497,(1.558.300.910.434),250.174.173.421,79833049358.0,1728642034497.0,-1558300910434.0,250174173421.0
TỔNG CỘNG,Phải nộp > TỔNG CỘNG,TỔNG CỘNG,4.933.105.236.661,27.881.519.144.516,(17.293.917.436.685),15.520.706.944.492,4933105236661.0,27881519144516.0,-17293917436685.0,15520706944492.0
,,,Số đầu năm,Số phải thu trong năm,Số đã thu/cấn trừ trong năm,Đơn vị tính: VND,,,,
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,
Thuế thu nhập doanh nghiệp,Phải thu > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,201.854.854.143,277.051.814.867,(169.154.553.375),309.752.115.635,201854854143.0,277051814867.0,-169154553375.0,309752115635.0
Thuế và các khoản phải thu Nhà nước khác,Phải thu > Thuế và các khoản phải thu Nhà nước khác,Thuế và các khoản phải thu Nhà nước khác,11.823.526.656,2.643.080.645,(11.364.308.952),3.102.208.349,11823526656.0,2643080645.0,-11364308952.0,3102208349.0
TỔNG CỘNG,Phải thu > TỔNG CỘNG,TỔNG CỘNG,213.678.380.799,279.694.895.512,(180.518.952.327),312.854.323.984,213678380799.0,279694895512.0,-180518952327.0,312854323984.0
