row_label_raw,row_label_full,Số đầu năm,Đơn vị tính: VND > Năm nay > 37.492.138.281.596,Đơn vị tính: VND > Năm trước > 34.229.427.585.378,numeric__Đơn vị tính: VND > Năm nay > 37.492.138.281.596,numeric__Đơn vị tính: VND > Năm trước > 34.229.427.585.378
Tăng do mua công ty con,Tăng do mua công ty con,Tăng do mua công ty con,8.638.300.351.212,636.968.138.194,8638300351212.0,636968138194.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,49.469.804.345.494,21.966.134.251.071,49469804345494.0,21966134251071.0
Chuyển sang tài sản cố định hữu hình(Thuyết minh số 14),Chuyển sang tài sản cố định hữu hình(Thuyết minh số 14),Chuyển sang tài sản cố định hữu hình(Thuyết minh số 14),(19.580.138.618.362),(10.198.487.899.914),-19580138618362.0,-10198487899914.0
Chuyển sang bất động sản đầu tư(Thuyết minh số 16),Chuyển sang bất động sản đầu tư(Thuyết minh số 16),Chuyển sang bất động sản đầu tư(Thuyết minh số 16),(6.483.882.752.891),(1.963.876.819.595),-6483882752891.0,-1963876819595.0
Chuyển sang hàng tồn kho,Chuyển sang hàng tồn kho,Chuyển sang hàng tồn kho,(9.729.966.233.330),(6.996.334.671.688),-9729966233330.0,-6996334671688.0
Giảm do bán công ty con,Giảm do bán công ty con,Giảm do bán công ty con,(1.277.132.597.578),(181.692.301.850),-1277132597578.0,-181692301850.0
Số cuối năm,Số cuối năm,Số cuối năm,58.529.122.776.141,37.492.138.281.596,58529122776141.0,37492138281596.0
