row_label_raw,row_label_full,col_0,Năm nay,Đơn vị tính: VNDNăm trước,numeric__Năm nay,numeric__Đơn vị tính: VNDNăm trước
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,,
- Chi phí dịch vụ mua ngoài,Chi phí bán hàng > - Chi phí dịch vụ mua ngoài,- Chi phí dịch vụ mua ngoài,6.208.931.712.809,5.344.099.598.901,6208931712809.0,5344099598901.0
- Chi phí nhân viên bán hàng,Chi phí bán hàng > - Chi phí nhân viên bán hàng,- Chi phí nhân viên bán hàng,2.656.343.063.620,1.760.005.800.800,2656343063620.0,1760005800800.0
- Chi phí khấu hao tài sản cố định,Chi phí bán hàng > - Chi phí khấu hao tài sản cố định,- Chi phí khấu hao tài sản cố định,773.205.057.696,632.102.514.317,773205057696.0,632102514317.0
- Chi phí bán hàng khác,Chi phí bán hàng > - Chi phí bán hàng khác,- Chi phí bán hàng khác,473.808.880.919,414.248.078.609,473808880919.0,414248078609.0
,,,10.112.288.715.044,8.150.455.992.627,10112288715044.0,8150455992627.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,
- Chi phí nhân viên quản lý,Chi phí quản lý doanh nghiệp > - Chi phí nhân viên quản lý,- Chi phí nhân viên quản lý,2.325.633.993.934,1.658.786.632.069,2325633993934.0,1658786632069.0
- Chi phí dịch vụ mua ngoài,Chi phí quản lý doanh nghiệp > - Chi phí dịch vụ mua ngoài,- Chi phí dịch vụ mua ngoài,1.959.497.022.200,1.780.362.595.934,1959497022200.0,1780362595934.0
- Chi phí khấu hao tài sản cố định và hao mòn lợi thế thương mại,Chi phí quản lý doanh nghiệp > - Chi phí khấu hao tài sản cố định và hao mòn lợi thế thương mại,- Chi phí khấu hao tài sản cố định và hao mòn lợi thế thương mại,1.399.114.289.302,1.200.962.194.563,1399114289302.0,1200962194563.0
- Chi phí hỗ trợ và từ thiện,Chi phí quản lý doanh nghiệp > - Chi phí hỗ trợ và từ thiện,- Chi phí hỗ trợ và từ thiện,400.848.315.705,1.151.439.977.424,400848315705.0,1151439977424.0
- Chi phí quản lý doanh nghiệp khác,Chi phí quản lý doanh nghiệp > - Chi phí quản lý doanh nghiệp khác,- Chi phí quản lý doanh nghiệp khác,1.282.745.711.409,1.060.896.361.965,1282745711409.0,1060896361965.0
,,,7.367.839.332.550,6.852.447.761.955,7367839332550.0,6852447761955.0
TỔNG CỘNG,Chi phí quản lý doanh nghiệp > TỔNG CỘNG,TỔNG CỘNG,17.480.128.047.594,15.002.903.754.582,17480128047594.0,15002903754582.0
