row_label_raw,row_label_full,col_0,Đơn vị tính: VNDGiá trị hợp lý được xác định tại ngày mua,numeric__Đơn vị tính: VNDGiá trị hợp lý được xác định tại ngày mua
Tài sản,Tài sản,Tài sản,Tài sản,
Tiền và các khoản tương đương tiền,Tài sản > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,4.882.087.575,4882087575.0
Phải thu ngắn hạn của khách hàng,Tài sản > Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,9.844.688.538,9844688538.0
Phải thu ngắn hạn khác,Tài sản > Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,13.898.171.057,13898171057.0
Hàng tồn kho,Tài sản > Hàng tồn kho,Hàng tồn kho,66.616.593.985,66616593985.0
Tài sản ngắn hạn khác,Tài sản > Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,17.558.148.513,17558148513.0
Tài sản cố định hữu hình,Tài sản > Tài sản cố định hữu hình,Tài sản cố định hữu hình,127.950.832.411,127950832411.0
Tài sản cố định vô hình,Tài sản > Tài sản cố định vô hình,Tài sản cố định vô hình,483.884.876.762,483884876762.0
Tài sản dài hạn khác,Tài sản > Tài sản dài hạn khác,Tài sản dài hạn khác,40.711.739.822,40711739822.0
,,,765.347.138.663,765347138663.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,
Phải trả người bán ngắn hạn,Nợ phải trả > Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,253.191.833.165,253191833165.0
Phải trả ngắn hạn khác,Nợ phải trả > Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,291.785.568.785,291785568785.0
Vay dài hạn,Nợ phải trả > Vay dài hạn,Vay dài hạn,202.188.000.000,202188000000.0
,,,747.165.401.950,747165401950.0
Tổng tài sản thuần,Nợ phải trả > Tổng tài sản thuần,Tổng tài sản thuần,18.181.736.713,18181736713.0
Lợi ích cố đông không kiểm soát,Nợ phải trả > Lợi ích cố đông không kiểm soát,Lợi ích cố đông không kiểm soát,492.828.138.528,492828138528.0
Lợi thế thương mại từ hợp nhất kinh doanh (Thuyết minh số 20),Nợ phải trả > Lợi thế thương mại từ hợp nhất kinh doanh (Thuyết minh số 20),Lợi thế thương mại từ hợp nhất kinh doanh (Thuyết minh số 20),901.050.001.237,901050001237.0
Tổng giá phí hợp nhất kinh doanh,Nợ phải trả > Tổng giá phí hợp nhất kinh doanh,Tổng giá phí hợp nhất kinh doanh,1.412.059.876.478,1412059876478.0
Thông tin lưu chuyển tiền tệ từ việc mua công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con,
Tiền thu về từ công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con > Tiền thu về từ công ty con,Tiền thu về từ công ty con,4.882.087.575,4882087575.0
Tiền chi để mua công ty con tính đến ngày 31 tháng 12 năm 2018,Thông tin lưu chuyển tiền tệ từ việc mua công ty con > Tiền chi để mua công ty con tính đến ngày 31 tháng 12 năm 2018,Tiền chi để mua công ty con tính đến ngày 31 tháng 12 năm 2018,(1.261.932.000.000),-1261932000000.0
Lưu chuyển tiền thuần sử dụng vào nghiệp vụ mua,Thông tin lưu chuyển tiền tệ từ việc mua công ty con > Lưu chuyển tiền thuần sử dụng vào nghiệp vụ mua,Lưu chuyển tiền thuần sử dụng vào nghiệp vụ mua,(1.257.049.912.425),-1257049912425.0
