row_label_raw,row_label_full,col_0,col_1,Số cuối năm,Số đầu năm,numeric__col_1,numeric__Số cuối năm,numeric__Số đầu năm
Ngoại tệ các loại:,Ngoại tệ các loại:,Ngoại tệ các loại:,Ngoại tệ các loại:,Ngoại tệ các loại:,Ngoại tệ các loại:,,,
-,Ngoại tệ các loại: > -,-,Đô la Mỹ,81.442.888,7.590.475,,81442888.0,7590475.0
-,Ngoại tệ các loại: > -,-,Đô la Australia,4.050,2.425,,4050.0,2425.0
-,Ngoại tệ các loại: > -,-,Đô la Singapore,100,56,,100.0,56.0
-,Ngoại tệ các loại: > -,-,Đô la Hồng Kông,1.000,50,,1000.0,50.0
-,Ngoại tệ các loại: > -,-,Euro,6,23.175,,6.0,23175.0
-,Ngoại tệ các loại: > -,-,Won Hàn Quốc,67.000,230.000,,67000.0,230000.0
-,Ngoại tệ các loại: > -,-,Yên Nhật,414.000,57.000,,414000.0,57000.0
-,Ngoại tệ các loại: > -,-,Baht Thái,8.920,7.820,,8920.0,7820.0
-,Ngoại tệ các loại: > -,-,Bảng Anh,440,-,,440.0,
