row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND > Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm
Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,,
Chi phí bán hàng liên quan đến các căn hộchưa bàn giao,Ngắn hạn: > Chi phí bán hàng liên quan đến các căn hộchưa bàn giao,Chi phí bán hàng liên quan đến các căn hộchưa bàn giao,1.372.076.442.949,2.752.756.498.957,1372076442949.0,2752756498957.0
Trả trước lợi nhuận cam kết theo chươngtrình quản lý biệt thụ và căn hộ khách sạn,Ngắn hạn: > Trả trước lợi nhuận cam kết theo chươngtrình quản lý biệt thụ và căn hộ khách sạn,Trả trước lợi nhuận cam kết theo chươngtrình quản lý biệt thụ và căn hộ khách sạn,267.617.684.252,1.103.598.553.390,267617684252.0,1103598553390.0
Chi phí thuế thu nhập doanh nghiệp tạm nộp,Ngắn hạn: > Chi phí thuế thu nhập doanh nghiệp tạm nộp,Chi phí thuế thu nhập doanh nghiệp tạm nộp,268.431.117.782,558.615.647.813,268431117782.0,558615647813.0
"Chi phí công cụ, dụng cụ","Ngắn hạn: > Chi phí công cụ, dụng cụ","Chi phí công cụ, dụng cụ",219.921.540.480,182.978.501.038,219921540480.0,182978501038.0
Chi phí trả trước ngắn hạn khác,Ngắn hạn: > Chi phí trả trước ngắn hạn khác,Chi phí trả trước ngắn hạn khác,356.681.679.781,160.794.920.957,356681679781.0,160794920957.0
TỔNG CỘNG,Ngắn hạn: > TỔNG CỘNG,TỔNG CỘNG,2.484.728.465.244,4.758.744.122.155,2484728465244.0,4758744122155.0
Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,,
Chi phí thuê đất trả trước,Dài hạn: > Chi phí thuê đất trả trước,Chi phí thuê đất trả trước,1.888.739.553.338,1.252.345.408.910,1888739553338.0,1252345408910.0
"Chi phí công cụ, dụng cụ","Dài hạn: > Chi phí công cụ, dụng cụ","Chi phí công cụ, dụng cụ",1.729.119.328.388,1.185.836.974.586,1729119328388.0,1185836974586.0
Trả trước lợi nhuận cam kết theo chươngtrình quản lý biệt thụ,Dài hạn: > Trả trước lợi nhuận cam kết theo chươngtrình quản lý biệt thụ,Trả trước lợi nhuận cam kết theo chươngtrình quản lý biệt thụ,665.518.501.693,-,665518501693.0,
Chi phí trước hoạt động,Dài hạn: > Chi phí trước hoạt động,Chi phí trước hoạt động,514.618.116.534,391.898.594.170,514618116534.0,391898594170.0
Lợi thế quyền thuê đất,Dài hạn: > Lợi thế quyền thuê đất,Lợi thế quyền thuê đất,446.963.701.601,-,446963701601.0,
Chi phí trả trước dài hạn khác,Dài hạn: > Chi phí trả trước dài hạn khác,Chi phí trả trước dài hạn khác,325.389.478.384,231.869.099.246,325389478384.0,231869099246.0
TỔNG CỘNG,Dài hạn: > TỔNG CỘNG,TỔNG CỘNG,5.570.348.679.938,3.061.950.076.912,5570348679938.0,3061950076912.0
