row_label_raw,row_label_full,col_0,Bàng cān đối kế toán hợp nhất,Bàng cān đối kế toán hợp nhất_1,Đơn vị tính: VND,Đơn vị tính: VND_1,numeric__Bàng cān đối kế toán hợp nhất,numeric__Bàng cān đối kế toán hợp nhất_1,numeric__Đơn vị tính: VND,numeric__Đơn vị tính: VND_1
,,,Bàng cān đối kế toán hợp nhất,Bàng cān đối kế toán hợp nhất,Báo cáo kết quả hoạt động kinh doanh hợp nhất,Báo cáo kết quả hoạt động kinh doanh hợp nhất,,,,
,,,Số cuối năm,Số đầu năm,Năm nay,Năm trước,,,,
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,,,,
Chênh lệch tạm thời từ lợi nhuận chưa thực hiện của các giao dịch nội bộ trong Tập đoàn,Tài sản thuế thu nhập hoãn lại > Chênh lệch tạm thời từ lợi nhuận chưa thực hiện của các giao dịch nội bộ trong Tập đoàn,Chênh lệch tạm thời từ lợi nhuận chưa thực hiện của các giao dịch nội bộ trong Tập đoàn,158.011.007.654,215.536.458.856,(57.525.451.199),21.513.568.471,158011007654.0,215536458856.0,-57525451199.0,21513568471.0
Chênh lệch từ chi phí bán hàng chưa được khấu trừ trong năm,Tài sản thuế thu nhập hoãn lại > Chênh lệch từ chi phí bán hàng chưa được khấu trừ trong năm,Chênh lệch từ chi phí bán hàng chưa được khấu trừ trong năm,71.262.194.919,38.401.679.447,36.114.680.633,(28.184.765.346),71262194919.0,38401679447.0,36114680633.0,-28184765346.0
Chênh lệch tạm thời từ tài sản của công ty con,Tài sản thuế thu nhập hoãn lại > Chênh lệch tạm thời từ tài sản của công ty con,Chênh lệch tạm thời từ tài sản của công ty con,277.467.613.887,31.956.609.277,262.451.461.856,1.082.380.041,277467613887.0,31956609277.0,262451461856.0,1082380041.0
Chênh lệch khác,Tài sản thuế thu nhập hoãn lại > Chênh lệch khác,Chênh lệch khác,107.486.658.016,52.084.771.927,46.046.650.473,14.963.537.405,107486658016.0,52084771927.0,46046650473.0,14963537405.0
Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,,,,
Chênh lệch từ việc đánh giá lại giá trị hợp lý khi mua công ty con,Thuế thu nhập hoãn lại phải trả > Chênh lệch từ việc đánh giá lại giá trị hợp lý khi mua công ty con,Chênh lệch từ việc đánh giá lại giá trị hợp lý khi mua công ty con,(801.335.531.358),(120.988.646.357),(680.346.885.000),268.647.820.313,-801335531358.0,-120988646357.0,-680346885000.0,268647820313.0
Các khoản khác,Thuế thu nhập hoãn lại phải trả > Các khoản khác,Các khoản khác,(23.324.178.962),(21.791.229.687),3.633.234.196,(5.980.668.755),-23324178962.0,-21791229687.0,3633234196.0,-5980668755.0
(Thuế thu nhập hoãn lại phải trả)/tài sản thuế thu nhập hoãn lại thuần,Thuế thu nhập hoãn lại phải trả > (Thuế thu nhập hoãn lại phải trả)/tài sản thuế thu nhập hoãn lại thuần,(Thuế thu nhập hoãn lại phải trả)/tài sản thuế thu nhập hoãn lại thuần,(210.432.235.844),195.199.643.463,,,-210432235844.0,195199643463.0,,
(Chi phí)/thu nhập thuế thu nhập hoãn lại tính vào kết quả kinh doanh hợp nhất,Thuế thu nhập hoãn lại phải trả > (Chi phí)/thu nhập thuế thu nhập hoãn lại tính vào kết quả kinh doanh hợp nhất,(Chi phí)/thu nhập thuế thu nhập hoãn lại tính vào kết quả kinh doanh hợp nhất,,,(389.626.309.041),272.041.872.129,,,-389626309041.0,272041872129.0
Trình: bảy trên báo cáo tài chính hợp nhất:,Trình: bảy trên báo cáo tài chính hợp nhất:,Trình: bảy trên báo cáo tài chính hợp nhất:,Trình: bảy trên báo cáo tài chính hợp nhất:,Trình: bảy trên báo cáo tài chính hợp nhất:,Trình: bảy trên báo cáo tài chính hợp nhất:,Trình: bảy trên báo cáo tài chính hợp nhất:,,,,
Tài sản thuế thu nhập hoãn lại,Trình: bảy trên báo cáo tài chính hợp nhất: > Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,614.227.474.476,337.979.519.507,,,614227474476.0,337979519507.0,,
Thuế thu nhập hoãn lại phải trả,Trình: bảy trên báo cáo tài chính hợp nhất: > Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,(824.659.710.320),(142.779.876.044),,,-824659710320.0,-142779876044.0,,
(Thuế thu nhập hoãn lại phải trả)/tài sản thuế thu nhập hoãn lại thuần,Trình: bảy trên báo cáo tài chính hợp nhất: > (Thuế thu nhập hoãn lại phải trả)/tài sản thuế thu nhập hoãn lại thuần,(Thuế thu nhập hoãn lại phải trả)/tài sản thuế thu nhập hoãn lại thuần,(210.432.235.844),195.199.643.463,,,-210432235844.0,195199643463.0,,
