row_label_raw,row_label_full,Các giao dịch không bằng tiền ảnh hưởng trọng yếu đến báo cáo lưu chuyển tiền tệ trong tương lai:Vay chuyển đổi và trái phiếu chuyển đổi được chuyển thành vốn chủ sở hữu (Thuyết minh số 29.1) > Chi trả cổ tức bằng cổ phiếu(Thuyết minh số 29.1),Đơn vị tính: VND > Năm nay > - > 5.539.132.760.000,Đơn vị tính: VND > Năm trước > 451.256.814.009 > -,numeric__Đơn vị tính: VND > Năm nay > - > 5.539.132.760.000,numeric__Đơn vị tính: VND > Năm trước > 451.256.814.009 > -
Mua doanh nghiệp thông qua việc phát hành cổ phiếu,Mua doanh nghiệp thông qua việc phát hành cổ phiếu,Mua doanh nghiệp thông qua việc phát hành cổ phiếu,1.648.224.082.810,-,1648224082810.0,
Cần trừ công nợ giữa hoạt động đầu tư và hoạt động tài chính,Cần trừ công nợ giữa hoạt động đầu tư và hoạt động tài chính,Cần trừ công nợ giữa hoạt động đầu tư và hoạt động tài chính,-,1.124.000.000.000,,1124000000000.0
Số tiền đi vay thực thu trong năm:Tiền thu từ đi vay theo khế ước thông thường,Số tiền đi vay thực thu trong năm:Tiền thu từ đi vay theo khế ước thông thường,Số tiền đi vay thực thu trong năm:Tiền thu từ đi vay theo khế ước thông thường,66.379.476.864.660,14.631.953.450.347,66379476864660.0,14631953450347.0
Tiền thu từ phát hành trái phiếu thường,Tiền thu từ phát hành trái phiếu thường,Tiền thu từ phát hành trái phiếu thường,20.324.421.444.781,16.072.927.627.127,20324421444781.0,16072927627127.0
Tiền thu từ phát hành trái phiếu chuyển đổi,Tiền thu từ phát hành trái phiếu chuyển đổi,Tiền thu từ phát hành trái phiếu chuyển đổi,10.060.202.000.000,-,10060202000000.0,
Số tiền đã thực trả gốc vay trong nămTiền trả nợ gốc vay theo khế ước thông thường,Số tiền đã thực trả gốc vay trong nămTiền trả nợ gốc vay theo khế ước thông thường,Số tiền đã thực trả gốc vay trong nămTiền trả nợ gốc vay theo khế ước thông thường,(38.517.115.721.129),(8.182.448.989.518),-38517115721129.0,-8182448989518.0
Tiền trả nợ gốc trái phiếu thường,Tiền trả nợ gốc trái phiếu thường,Tiền trả nợ gốc trái phiếu thường,(4.207.584.440.749),(12.950.000.000.000),-4207584440749.0,-12950000000000.0
