row_label_raw,row_label_full,col_0,Đơn vị tính: VND > Năm nay,Đơn vị tính: VND > Năm trước,numeric__Đơn vị tính: VND > Năm nay,numeric__Đơn vị tính: VND > Năm trước
Lợi nhuận thuần sau thuế phân bổ cho cổ đông sở hữu cổ phiếu phổ thông,Lợi nhuận thuần sau thuế phân bổ cho cổ đông sở hữu cổ phiếu phổ thông,Lợi nhuận thuần sau thuế phân bổ cho cổ đông sở hữu cổ phiếu phổ thông,3.776.727.785.918,4.462.411.670.513,3776727785918.0,4462411670513.0
Lợi tức của cổ phiếu ưu đãi có quyền chuyển đổi,Lợi tức của cổ phiếu ưu đãi có quyền chuyển đổi,Lợi tức của cổ phiếu ưu đãi có quyền chuyển đổi,-,-,,
Lợi nhuận thuần sau thuế phân bổ cho cổ đông sở hữu cổ phiếu phổ thông sau khi đã điều chỉnh cho các yếu tố suy giảm,Lợi tức của cổ phiếu ưu đãi có quyền chuyển đổi > Lợi nhuận thuần sau thuế phân bổ cho cổ đông sở hữu cổ phiếu phổ thông sau khi đã điều chỉnh cho các yếu tố suy giảm,Lợi nhuận thuần sau thuế phân bổ cho cổ đông sở hữu cổ phiếu phổ thông sau khi đã điều chỉnh cho các yếu tố suy giảm,3.776.727.785.918,4.462.411.670.513,3776727785918.0,4462411670513.0
,,,Năm nay,Đơn vị tính: cổ phiếu Năm trước (Trình bày lại),,
Bình quân gia quyền của số cổ phiếu phổ thông (không bao gồm cổ phiếu quỹ) để tính lãi cơ bản trên cổ phiếu,Lợi tức của cổ phiếu ưu đãi có quyền chuyển đổi > Bình quân gia quyền của số cổ phiếu phổ thông (không bao gồm cổ phiếu quỹ) để tính lãi cơ bản trên cổ phiếu,Bình quân gia quyền của số cổ phiếu phổ thông (không bao gồm cổ phiếu quỹ) để tính lãi cơ bản trên cổ phiếu,2.972.745.653,2.972.745.653,2972745653.0,2972745653.0
Ảnh hưởng suy giảm do: Cổ phiếu ưu đãi có quyền chuyển đổi,Lợi tức của cổ phiếu ưu đãi có quyền chuyển đổi > Ảnh hưởng suy giảm do: Cổ phiếu ưu đãi có quyền chuyển đổi,Ảnh hưởng suy giảm do: Cổ phiếu ưu đãi có quyền chuyển đổi,31.750.516,-,31750516.0,
Bình quân gia quyền của số cổ phiếu phổ thông (không bao gồm cổ phiếu quỹ) đã điều chỉnh cho các yếu tố suy giảm,Lợi tức của cổ phiếu ưu đãi có quyền chuyển đổi > Bình quân gia quyền của số cổ phiếu phổ thông (không bao gồm cổ phiếu quỹ) đã điều chỉnh cho các yếu tố suy giảm,Bình quân gia quyền của số cổ phiếu phổ thông (không bao gồm cổ phiếu quỹ) đã điều chỉnh cho các yếu tố suy giảm,3.004.496.169,2.972.745.653,3004496169.0,2972745653.0
,,,Năm nay,Năm trước (Trình bày lại),,
Lãi cơ bản trên cổ phiếu,Lợi tức của cổ phiếu ưu đãi có quyền chuyển đổi > Lãi cơ bản trên cổ phiếu,Lãi cơ bản trên cổ phiếu,1.270,1.501,1270.0,1501.0
Lãi suy giảm trên cổ phiếu,Lợi tức của cổ phiếu ưu đãi có quyền chuyển đổi > Lãi suy giảm trên cổ phiếu,Lãi suy giảm trên cổ phiếu,1.257,1.501,1257.0,1501.0
