row_label_raw,row_label_full,col_0,Đơn vị tính: VNDGiá trị hợp lý được xác định tại ngày mua,numeric__Đơn vị tính: VNDGiá trị hợp lý được xác định tại ngày mua
Tài sản,Tài sản,Tài sản,,
Tiền và các khoản tương đương tiền,Tài sản > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,4.570.055.777,4570055777.0
Phải thu về cho vay ngắn hạn,Tài sản > Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,455.000.000.000,455000000000.0
Tài sản ngắn hạn khác,Tài sản > Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,1.005.774.543,1005774543.0
,,,460.575.830.320,460575830320.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,
Nợ phải trả khác,Nợ phải trả > Nợ phải trả khác,Nợ phải trả khác,583.377.639,583377639.0
Tổng tài sản thuần,Nợ phải trả > Tổng tài sản thuần,Tổng tài sản thuần,459.992.452.681,459992452681.0
Lợi ích cổ đông không kiểm soát,Nợ phải trả > Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,(16.612.452.681),-16612452681.0
Tổng giá phí hợp nhất kinh doanh,Nợ phải trả > Tổng giá phí hợp nhất kinh doanh,Tổng giá phí hợp nhất kinh doanh,443.380.000.000,443380000000.0
Thông tin lưu chuyển tiền tệ từ việc mua công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con,,
Tiền thu về từ công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con > Tiền thu về từ công ty con,Tiền thu về từ công ty con,4.570.055.777,4570055777.0
Tiền chi để mua công ty con tính đến ngày 31 tháng 12 năm 2018,Thông tin lưu chuyển tiền tệ từ việc mua công ty con > Tiền chi để mua công ty con tính đến ngày 31 tháng 12 năm 2018,Tiền chi để mua công ty con tính đến ngày 31 tháng 12 năm 2018,(443.380.000.000),-443380000000.0
Lưu chuyển tiền thuần sử dụng vào nghiệp vụ mua,Thông tin lưu chuyển tiền tệ từ việc mua công ty con > Lưu chuyển tiền thuần sử dụng vào nghiệp vụ mua,Lưu chuyển tiền thuần sử dụng vào nghiệp vụ mua,(438.809.944.223),-438809944223.0
