row_label_raw,row_label_full,col_0,Ngày 31 tháng 12 năm 2018,Ngày 31 tháng 12 năm 2018_1,Ngày 31 tháng 12 năm 2018_2,Ngày 31 tháng 12 năm 2017,Ngày 31 tháng 12 năm 2017_1,Ngày 31 tháng 12 năm 2017_2,numeric__Ngày 31 tháng 12 năm 2018,numeric__Ngày 31 tháng 12 năm 2018_1,numeric__Ngày 31 tháng 12 năm 2018_2,numeric__Ngày 31 tháng 12 năm 2017,numeric__Ngày 31 tháng 12 năm 2017_1,numeric__Ngày 31 tháng 12 năm 2017_2
,,,Tổng số,Cổ phiếu thường,Cổ phiếu ưu đãi,Tổng số,Cổ phiếu thường,Cổ phiếu ưu đãi,,,,,,
Vốn góp từ cổ đông,Vốn góp từ cổ đông,Vốn góp từ cổ đông,32.756.212.300.000,31.916.212.300.000,840.000.000.000,26.377.079.540.000,26.377.079.540.000,-,32756212300000.0,31916212300000.0,840000000000.0,26377079540000.0,26377079540000.0,
Thăng dư vốn cổ phần,Thăng dư vốn cổ phần,Thăng dư vốn cổ phần,11.442.900.804.192,3.165.919.430.199,8.276.981.373.993,2.651.165.167.904,2.651.165.167.904,-,11442900804192.0,3165919430199.0,8276981373993.0,2651165167904.0,2651165167904.0,
Cổ phếu quỹ,Cổ phếu quỹ,Cổ phếu quỹ,(2.974.924.074.484),(2.974.924.074.484),-,(2.974.924.074.484),(2.974.924.074.484),-,-2974924074484.0,-2974924074484.0,,-2974924074484.0,-2974924074484.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,41.224.189.029.708,32.107.207.655.715,9.116.981.373.993,26.053.320.633.420,26.053.320.633.420,-,41224189029708.0,32107207655715.0,9116981373993.0,26053320633420.0,26053320633420.0,
