row_label_raw,row_label_full,col_0,Kinh doanh chuyênn rhượng bất động sản,Kinh doanh cho thuêbất động sản đầu tvavà các dịch vụ liênquan,"Kinh doanh dịchvụ khách sạn du lịch,vui chơi giải trí và cácdịch vụ liên quan",Hoạt động y tế và cácdịch vụ liên quan,Hoạt động giáo dụcvà các dịch vụ liênquan,Kinh doanh bán lẻ,Hoạt động sản xuấtvà các dịch vụ liênquan,Hoạt động kinhdoanh khác,Điều chính vàloại trừ,Tổng cộng,numeric__Kinh doanh chuyênn rhượng bất động sản,numeric__Kinh doanh cho thuêbất động sản đầu tvavà các dịch vụ liênquan,"numeric__Kinh doanh dịchvụ khách sạn du lịch,vui chơi giải trí và cácdịch vụ liên quan",numeric__Hoạt động y tế và cácdịch vụ liên quan,numeric__Hoạt động giáo dụcvà các dịch vụ liênquan,numeric__Kinh doanh bán lẻ,numeric__Hoạt động sản xuấtvà các dịch vụ liênquan,numeric__Hoạt động kinhdoanh khác,numeric__Điều chính vàloại trừ,numeric__Tổng cộng
Doanh thu thuđanDoanh thu thuđancho bên thứ baDoanh thu thuđangiera các bộ phận,Doanh thu thuđanDoanh thu thuđancho bên thứ baDoanh thu thuđangiera các bộ phận,Doanh thu thuđanDoanh thu thuđancho bên thứ baDoanh thu thuđangiera các bộ phận,83.271.632.293.427,5.558.630.886.792,7.366.495.606.924,2.630.636.981.520,1.449.884.662.668,19.325.679.951.857,556.462.126.179,1.734.977.911.737,-,121.894.400.421.104,83271632293427.0,5558630886792.0,7366495606924.0,2630636981520.0,1449884662668.0,19325679951857.0,556462126179.0,1734977911737.0,,121894400421104.0
Doanh thu thuđanDoanh thu thuđancho bên thứ baDoanh thu thuđangiera các bộ phận,Doanh thu thuđanDoanh thu thuđancho bên thứ baDoanh thu thuđangiera các bộ phận,Doanh thu thuđanDoanh thu thuđancho bên thứ baDoanh thu thuđangiera các bộ phận,-,1.749.773.860.659,94.630.745.456,73.855.240.787,-,1.931.529.780.037,22.640.143.322,6.089.478.152.359,(9.961.907.922.620),-,,1749773860659.0,94630745456.0,73855240787.0,,1931529780037.0,22640143322.0,6089478152359.0,-9961907922620.0,
Tổng doanh thu thuđan,Tổng doanh thu thuđan,Tổng doanh thu thuđan,83.271.632.293.427,7.308.404.747.451,7.461.126.352.380,2.704.492.222.307,1.449.884.662.668,21.257.209.731.894,579.102.269.501,7.824.456.064.096,(9.961.907.922.620),121.894.400.421.104,83271632293427.0,7308404747451.0,7461126352380.0,2704492222307.0,1449884662668.0,21257209731894.0,579102269501.0,7824456064096.0,-9961907922620.0,121894400421104.0
Kết quả hoạt độngkinh doanhKhẩu hao và hao mònPhần được chia từlãi/(lỗ)của công tyliên kết,Kết quả hoạt độngkinh doanhKhẩu hao và hao mònPhần được chia từlãi/(lỗ)của công tyliên kết,Kết quả hoạt độngkinh doanhKhẩu hao và hao mònPhần được chia từlãi/(lỗ)của công tyliên kết,933.645.655.572,1.058.728.740.739,1.561.117.826.823,512.070.952.262,98.407.690.850,749.543.249.992,52.333.828.311,140.960.855.106,-,5.106.808.799.655,933645655572.0,1058728740739.0,1561117826823.0,512070952262.0,98407690850.0,749543249992.0,52333828311.0,140960855106.0,,5106808799655.0
Kết quả hoạt độngkinh doanhKhẩu hao và hao mònPhần được chia từlãi/(lỗ)của công tyliên kết,Kết quả hoạt độngkinh doanhKhẩu hao và hao mònPhần được chia từlãi/(lỗ)của công tyliên kết,Kết quả hoạt độngkinh doanhKhẩu hao và hao mònPhần được chia từlãi/(lỗ)của công tyliên kết,-,-,(467.767.470.024),-,-,1.047.648.111,-,41.800.975.403,-,(424.918.846.510),,,-467767470024.0,,,1047648111.0,,41800975403.0,,-424918846510.0
Thu nhập/(lỗ) trướcthuế theo bộ phận,Thu nhập/(lỗ) trướcthuế theo bộ phận,Thu nhập/(lỗ) trướcthuế theo bộ phận,19.765.648.055.523,3.084.115.666.880,(3.780.726.022.654),(1.283.900.265.948),(151.376.274.400),(5.120.526.875.788),(1.056.606.529.798),189.508.275.9*1,(861.913.669.038),10.784.214.360.688,19765648055523.0,3084115666880.0,-3780726022654.0,-1283900265948.0,-151376274400.0,-5120526875788.0,-1056606529798.0,,-861913669038.0,10784214360688.0
Thu nhập/(chi phí)không phân bổ,Thu nhập/(chi phí)không phân bổ,Thu nhập/(chi phí)không phân bổ,,,,,,,,,,3.069.423.289.720,,,,,,,,,,3069423289720.0
"Tài sảnĐầu tư vào công tyliên kết, liên doanhChi phí mua sắmTSCĐ và xây dựngcơ bản tăng trongnăm","Tài sảnĐầu tư vào công tyliên kết, liên doanhChi phí mua sắmTSCĐ và xây dựngcơ bản tăng trongnăm","Tài sảnĐầu tư vào công tyliên kết, liên doanhChi phí mua sắmTSCĐ và xây dựngcơ bản tăng trongnăm",-,-,1.919.308.254.405,-,-,48.835.912.012,30.000.000.000,548.241.587.868,-,2.546.385.754.285,,,1919308254405.0,,,48835912012.0,30000000000.0,548241587868.0,,2546385754285.0
"Tài sảnĐầu tư vào công tyliên kết, liên doanhChi phí mua sắmTSCĐ và xây dựngcơ bản tăng trongnăm","Tài sảnĐầu tư vào công tyliên kết, liên doanhChi phí mua sắmTSCĐ và xây dựngcơ bản tăng trongnăm","Tài sảnĐầu tư vào công tyliên kết, liên doanhChi phí mua sắmTSCĐ và xây dựngcơ bản tăng trongnăm",1.073.534.883.831,5.569.838.532.817,11.199.233.016.231,1.774.892.920.989,1.078.936.792.363,751.593.420.343,30.539.631.150.221,561.802.842.596,-,52.549.463.559.391,1073534883831.0,5569838532817.0,11199233016231.0,1774892920989.0,1078936792363.0,751593420343.0,30539631150221.0,561802842596.0,,52549463559391.0
Tài sản theo bộphận,Tài sản theo bộphận,Tài sản theo bộphận,106.444.269.097.304,37.872.671.930.066,37.554.969.301.175,8.120.491.267.696,3.958.521.769.243,16.134.595.959.564,46.656.892.851.722,5.598.693.752.562,-,262.341.105.929.332,106444269097304.0,37872671930066.0,37554969301175.0,8120491267696.0,3958521769243.0,16134595959564.0,46656892851722.0,5598693752562.0,,262341105929332.0
