row_label_raw,row_label_full,col_0,Thuyết minh,Số đầu năm > Giá trị (đồng thời là số có khả năng trả nợ),Số phát sinh trong năm > Tăng,Số phát sinh trong năm > Giảm,Đơn vị tính: VND > Số cuối nămGiá trị (đồng thời là số có khả năng trả nợ),numeric__Thuyết minh,numeric__Số đầu năm > Giá trị (đồng thời là số có khả năng trả nợ),numeric__Số phát sinh trong năm > Tăng,numeric__Số phát sinh trong năm > Giảm,numeric__Đơn vị tính: VND > Số cuối nămGiá trị (đồng thời là số có khả năng trả nợ)
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,,
Vay dài hạn ngân hàng đến hạn trả,Vay ngắn hạn > Vay dài hạn ngân hàng đến hạn trả,Vay dài hạn ngân hàng đến hạn trả,26.3,3.356.492.983.279,1.303.816.811.041,(3.352.817.983.280),1.307.491.811.040,263.0,3356492983279.0,1303816811041.0,-3352817983280.0,1307491811040.0
Trái phiếu dài hạn đến hạn trả,Vay ngắn hạn > Trái phiếu dài hạn đến hạn trả,Trái phiếu dài hạn đến hạn trả,26.4,7.309.825.539.545,8.524.085.821.227,(7.325.000.000.000),8.508.911.360.772,264.0,7309825539545.0,8524085821227.0,-7325000000000.0,8508911360772.0
Vay ngắn hạn ngân hàng,Vay ngắn hạn > Vay ngắn hạn ngân hàng,Vay ngắn hạn ngân hàng,26.1,2.385.649.534.546,18.152.453.110.580,(13.198.542.677.201),7.339.559.967.925,261.0,2385649534546.0,18152453110580.0,-13198542677201.0,7339559967925.0
Vay ngắn hạn khác,Vay ngắn hạn > Vay ngắn hạn khác,Vay ngắn hạn khác,26.2,5.089.000.000.000,32.581.434.000.000,(35.710.434.000.000),1.960.000.000.000,262.0,5089000000000.0,32581434000000.0,-35710434000000.0,1960000000000.0
TỔNG CỘNG,Vay ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,,18.140.968.057.370,60.561.789.742.848,(59.586.794.660.481),19.115.963.139.737,,18140968057370.0,60561789742848.0,-59586794660481.0,19115963139737.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,,
Vay dài hạn ngân hàng,Vay dài hạn > Vay dài hạn ngân hàng,Vay dài hạn ngân hàng,26.3,7.914.843.549.165,15.797.452.683.877,(121.155.812.963),23.591.140.420.079,263.0,7914843549165.0,15797452683877.0,-121155812963.0,23591140420079.0
Trái phiếu dài hạn,Vay dài hạn > Trái phiếu dài hạn,Trái phiếu dài hạn,26.4,23.304.682.347.879,16.349.889.594.995,(4.675.000.000.000),34.979.571.942.874,264.0,23304682347879.0,16349889594995.0,-4675000000000.0,34979571942874.0
Vay dài hạn khác,Vay dài hạn > Vay dài hạn khác,Vay dài hạn khác,26.5,-,3.472.838.094.000,(272.838.094.000),3.200.000.000.000,265.0,,3472838094000.0,-272838094000.0,3200000000000.0
TỔNG CỘNG,Vay dài hạn > TỔNG CỘNG,TỔNG CỘNG,,31.219.525.897.044,35.620.180.372.872,(5.068.993.906.963),61.770.712.362.953,,31219525897044.0,35620180372872.0,-5068993906963.0,61770712362953.0
