row_label_raw,row_label_full,col_0,Quyền sử dụng đất,"Nhà cửa, vật kiến trúc","Máy móc, thiết bị",Đơn vị tính: VND,numeric__Quyền sử dụng đất,"numeric__Nhà cửa, vật kiến trúc","numeric__Máy móc, thiết bị",numeric__Đơn vị tính: VND
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Số dư đầu năm,Nguyên giá: > Số dư đầu năm,Số dư đầu năm,6.602.336.027.251,11.228.636.073.190,3.011.379.093.342,20.842.351.193.783,6602336027251.0,11228636073190.0,3011379093342.0,20842351193783.0
Xây dựng cơ bản hoàn thành (Thuyết minh số 18),Nguyên giá: > Xây dựng cơ bản hoàn thành (Thuyết minh số 18),Xây dựng cơ bản hoàn thành (Thuyết minh số 18),379.382.998.203,5.343.260.256.097,761.239.498.591,6.483.882.752.891,379382998203.0,5343260256097.0,761239498591.0,6483882752891.0
Tăng do mua công ty con,Nguyên giá: > Tăng do mua công ty con,Tăng do mua công ty con,1.824.861.845.459,691.172.294.880,93.828.004.810,2.609.862.145.149,1824861845459.0,691172294880.0,93828004810.0,2609862145149.0
Phân loại từ tài sản cố định hữu hình (Thuyết minh số 14),Nguyên giá: > Phân loại từ tài sản cố định hữu hình (Thuyết minh số 14),Phân loại từ tài sản cố định hữu hình (Thuyết minh số 14),517.884.558.040,1.891.526.525.510,295.226.620.412,2.704.637.703.962,517884558040.0,1891526525510.0,295226620412.0,2704637703962.0
Thanh lý nhượng bán,Nguyên giá: > Thanh lý nhượng bán,Thanh lý nhượng bán,(870.142.244.857),(300.695.276.020),-,(1.170.837.520.877),-870142244857.0,-300695276020.0,,-1170837520877.0
Giảm do bản công ty con,Nguyên giá: > Giảm do bản công ty con,Giảm do bản công ty con,(90.805.559.551),(172.534.935.753),-,(263.340.495.304),-90805559551.0,-172534935753.0,,-263340495304.0
Phân loại sang tài sản cố định hữu hình (Thuyết minh số 14),Nguyên giá: > Phân loại sang tài sản cố định hữu hình (Thuyết minh số 14),Phân loại sang tài sản cố định hữu hình (Thuyết minh số 14),(94.603.991.882),(589.059.290.276),(218.653.139.442),(902.316.421.600),-94603991882.0,-589059290276.0,-218653139442.0,-902316421600.0
Phân loại sang hàng tồn kho,Nguyên giá: > Phân loại sang hàng tồn kho,Phân loại sang hàng tồn kho,(8.473.482.917),(84.004.777.755),(37.793.835.153),(130.272.095.825),-8473482917.0,-84004777755.0,-37793835153.0,-130272095825.0
Phân loại lại,Nguyên giá: > Phân loại lại,Phân loại lại,(2.728.080.193.446),2.148.858.123.286,579.222.070.160,-,-2728080193446.0,2148858123286.0,579222070160.0,
Số dư cuối năm,Nguyên giá: > Số dư cuối năm,Số dư cuối năm,5.532.359.956.300,20.157.158.993.159,4.484.448.312.720,30.173.967.262.179,5532359956300.0,20157158993159.0,4484448312720.0,30173967262179.0
Giá trị hao mòn:,Giá trị hao mòn:,Giá trị hao mòn:,Giá trị hao mòn:,Giá trị hao mòn:,Giá trị hao mòn:,Giá trị hao mòn:,,,,
Số dư đầu năm,Giá trị hao mòn: > Số dư đầu năm,Số dư đầu năm,404.205.213.325,1.199.512.041.864,1.040.213.029.694,2.643.930.284.883,404205213325.0,1199512041864.0,1040213029694.0,2643930284883.0
Khẩu hao trong năm,Giá trị hao mòn: > Khẩu hao trong năm,Khẩu hao trong năm,86.221.126.638,556.385.655.168,289.093.338.486,931.700.120.292,86221126638.0,556385655168.0,289093338486.0,931700120292.0
Phân loại từ tài sản cố định hữu hình (Thuyết minh số 14),Giá trị hao mòn: > Phân loại từ tài sản cố định hữu hình (Thuyết minh số 14),Phân loại từ tài sản cố định hữu hình (Thuyết minh số 14),6.064.887.323,87.006.444.769,56.240.632.582,149.311.964.674,6064887323.0,87006444769.0,56240632582.0,149311964674.0
Thanh lý nhượng bán,Giá trị hao mòn: > Thanh lý nhượng bán,Thanh lý nhượng bán,-,(17.778.739.811),-,(17.778.739.811),,-17778739811.0,,-17778739811.0
Giảm do bản công ty con,Giá trị hao mòn: > Giảm do bản công ty con,Giảm do bản công ty con,-,(11.264.044.631),-,(11.264.044.631),,-11264044631.0,,-11264044631.0
