row_label_raw,row_label_full,col_0,Website thương mai,Website thương mai_1,Website thương mai_2,Website thương mai_3,Đơn vị tính: VND,numeric__Website thương mai,numeric__Website thương mai_1,numeric__Website thương mai_2,numeric__Website thương mai_3,numeric__Đơn vị tính: VND
,,,Quyền sử dụng đất,điện tử,Phần mềm máy tính,Tài sản khác,Tổng cộng,,,,,
Nguyên giả:,Nguyên giả:,Nguyên giả:,Nguyên giả:,Nguyên giả:,Nguyên giả:,Nguyên giả:,Nguyên giả:,,,,,
Số dư đầu năm,Nguyên giả: > Số dư đầu năm,Số dư đầu năm,229.843.356.036,277.064.910.815,623.371.931.527,91.984.163.544,1.222.264.361.922,229843356036.0,277064910815.0,623371931527.0,91984163544.0,1222264361922.0
Mua mới,Nguyên giả: > Mua mới,Mua mới,-,-,275.660.636.536,9.008.830.464,284.669.467.000,,,275660636536.0,9008830464.0,284669467000.0
Thay đổi khác,Nguyên giả: > Thay đổi khác,Thay đổi khác,2.784.551.121,-,(35.759.858.022),5.249.696.816,(27.725.610.085),2784551121.0,,-35759858022.0,5249696816.0,-27725610085.0
Số dư cuối năm,Nguyên giả: > Số dư cuối năm,Số dư cuối năm,232.627.907.157,277.064.910.815,863.272.710.041,106.242.690.824,1.479.208.218.837,232627907157.0,277064910815.0,863272710041.0,106242690824.0,1479208218837.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,
Đã khấu hao hết,Trong đó: > Đã khấu hao hết,Đã khấu hao hết,-,219.027.034.678,148.222.596.843,54.810.347.708,422.059.979.229,,219027034678.0,148222596843.0,54810347708.0,422059979229.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế: > Số dư đầu năm,Số dư đầu năm,42.613.030.175,244.246.527.292,196.092.192.801,62.901.951.491,545.853.701.759,42613030175.0,244246527292.0,196092192801.0,62901951491.0,545853701759.0
Hao mòn trong năm,Giá trị hao mòn lũy kế: > Hao mòn trong năm,Hao mòn trong năm,4.347.186.370,2.053.736.216,112.802.713.573,12.716.162.168,131.919.798.327,4347186370.0,2053736216.0,112802713573.0,12716162168.0,131919798327.0
Giảm khác,Giá trị hao mòn lũy kế: > Giảm khác,Giảm khác,-,-,(9.049.286.259),(9.388.580.883),(18.437.867.142),,,-9049286259.0,-9388580883.0,-18437867142.0
Số dư cuối năm,Giá trị hao mòn lũy kế: > Số dư cuối năm,Số dư cuối năm,46.960.216.545,246.300.263.508,299.845.620.115,66.229.532.776,659.335.632.944,46960216545.0,246300263508.0,299845620115.0,66229532776.0,659335632944.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,
Số dư đầu năm,Giá trị còn lại: > Số dư đầu năm,Số dư đầu năm,187.230.325.861,32.818.383.523,427.279.738.726,29.082.212.053,676.410.660.163,187230325861.0,32818383523.0,427279738726.0,29082212053.0,676410660163.0
Số dư cuối năm,Giá trị còn lại: > Số dư cuối năm,Số dư cuối năm,185.667.690.612,30.764.647.307,563.427.089.926,40.013.158.048,819.872.585.893,185667690612.0,30764647307.0,563427089926.0,40013158048.0,819872585893.0
