row_label_raw,row_label_full,col_0,Đơn vị tính: VNDGiá trị hợp lý được xác định tại ngày mua,numeric__Đơn vị tính: VNDGiá trị hợp lý được xác định tại ngày mua
Tài sản,Tài sản,Tài sản,Tài sản,
Tiền và các khoản tương đương tiền,Tài sản > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,15.213.438.027,15213438027.0
Các khoản phải thu ngắn hạn,Tài sản > Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,146.123.836.037,146123836037.0
Hàng tồn kho,Tài sản > Hàng tồn kho,Hàng tồn kho,221.076.398.242,221076398242.0
Tài sản ngắn hạn khác,Tài sản > Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,22.166.601.699,22166601699.0
Phải thu dài hạn khác,Tài sản > Phải thu dài hạn khác,Phải thu dài hạn khác,35.372.990.528,35372990528.0
Tái sản cố định hữu hình và tài sản cố định vô hình,Tài sản > Tái sản cố định hữu hình và tài sản cố định vô hình,Tái sản cố định hữu hình và tài sản cố định vô hình,97.169.140.269,97169140269.0
Chỉ phí trả trước dài hạn,Tài sản > Chỉ phí trả trước dài hạn,Chỉ phí trả trước dài hạn,69.394.694.620,69394694620.0
,,,606.517.099.422,606517099422.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,
Vay ngắn hạn,Nợ phải trả > Vay ngắn hạn,Vay ngắn hạn,455.234.000.000,455234000000.0
Phải trả người bán ngắn hạn,Nợ phải trả > Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,103.060.306.662,103060306662.0
Phải trả ngắn hạn khác,Nợ phải trả > Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,45.904.457.438,45904457438.0
,,,604.198.764.100,604198764100.0
Tổng tài sản thuần,Nợ phải trả > Tổng tài sản thuần,Tổng tài sản thuần,2.318.335.322,2318335322.0
Lợi ích cổ đông không kiểm soát,Nợ phải trả > Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,12.974.181.817,12974181817.0
Lợi thế thương mại từ hợp nhất kinh doanh,Nợ phải trả > Lợi thế thương mại từ hợp nhất kinh doanh,Lợi thế thương mại từ hợp nhất kinh doanh,23.687.847.892,23687847892.0
Tổng giá phí hợp nhất kinh doanh,Nợ phải trả > Tổng giá phí hợp nhất kinh doanh,Tổng giá phí hợp nhất kinh doanh,38.980.365.031,38980365031.0
Thông tin lưu chuyển tiền tệ từ việc mua công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con,
Tiền thu về từ công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con > Tiền thu về từ công ty con,Tiền thu về từ công ty con,15.213.438.027,15213438027.0
Tiền chi để mua công ty con tính đến ngày 31 tháng 12 năm 2018,Thông tin lưu chuyển tiền tệ từ việc mua công ty con > Tiền chi để mua công ty con tính đến ngày 31 tháng 12 năm 2018,Tiền chi để mua công ty con tính đến ngày 31 tháng 12 năm 2018,(38.980.365.031),-38980365031.0
Lưu chuyển tiền thuần sử dụng vào nghiệp vụ mua,Thông tin lưu chuyển tiền tệ từ việc mua công ty con > Lưu chuyển tiền thuần sử dụng vào nghiệp vụ mua,Lưu chuyển tiền thuần sử dụng vào nghiệp vụ mua,(23.766.927.004),-23766927004.0
