row_label_raw,row_label_full,Năm nay > Số dư đầu năm,Vốn cổ phần đã phát hành > 26.377.079.540.000,Thặng dư vốn cổ phần > 2.651.165.167.904,Vốn khác của chủ sở hữu > -,Cổ phiếu quỹ > (2.974.924.074.484),Quỹ khác thuộc vốn chủ sở hữu > 37.845.114.930,Lợi nhuận sau thuế chưa phân phối > 5.583.084.564.118,Lợi ích của cổ đông không kiểm soát > 20.882.759.865.187,Đơn vị tính: VND Tổng cộng > 52.557.010.177.655,numeric__Vốn cổ phần đã phát hành > 26.377.079.540.000,numeric__Thặng dư vốn cổ phần > 2.651.165.167.904,numeric__Vốn khác của chủ sở hữu > -,numeric__Cổ phiếu quỹ > (2.974.924.074.484),numeric__Quỹ khác thuộc vốn chủ sở hữu > 37.845.114.930,numeric__Lợi nhuận sau thuế chưa phân phối > 5.583.084.564.118,numeric__Lợi ích của cổ đông không kiểm soát > 20.882.759.865.187,numeric__Đơn vị tính: VND Tổng cộng > 52.557.010.177.655
- Phát hành cổ phiếu ưu đãi (i),- Phát hành cổ phiếu ưu đãi (i),- Phát hành cổ phiếu ưu đãi (i),840.000.000.000,8.276.981.373.993,-,-,-,-,-,9.116.981.373.993,840000000000.0,8276981373993.0,,,,,,9116981373993.0
- Lợi nhuận thuần trong năm,- Lợi nhuận thuần trong năm,- Lợi nhuận thuần trong năm,-,-,-,,,3.776.727.785.918,2.414.153.684.685,6.190.881.470.603,,,,,,3776727785918.0,2414153684685.0,6190881470603.0
- Trích quỹ khác,- Trích quỹ khác,- Trích quỹ khác,,-,-,-,5.000.000.000,(5.000.000.000),-,-,,,,,5000000000.0,-5000000000.0,,
- Chia cổ tức bằng cổ phiếu (ii),- Chia cổ tức bằng cổ phiếu (ii),- Chia cổ tức bằng cổ phiếu (ii),5.539.132.760.000,,7.235.205.990.828,,-,(12.774.338.750.828),-,-,5539132760000.0,,7235205990828.0,,,-12774338750828.0,,
- Mua công ty con mới,- Mua công ty con mới,- Mua công ty con mới,-,-,-,-,-,-,3.547.691.806.799,3.547.691.806.799,,,,,,,3547691806799.0,3547691806799.0
- Chuyển nhượng công ty con,- Chuyển nhượng công ty con,- Chuyển nhượng công ty con,-,-,-,-,-,-,(240.503.474.574),(240.503.474.574),,,,,,,-240503474574.0,-240503474574.0
- Mua thêm một phần lợi ích trong các công ty con hiện hữu,- Mua thêm một phần lợi ích trong các công ty con hiện hữu,- Mua thêm một phần lợi ích trong các công ty con hiện hữu,-,-,-,-,-,97.752.897.878,(1.594.244.048.735),(1.496.491.150.857),,,,,,97752897878.0,-1594244048735.0,-1496491150857.0
- Chuyển nhượng một phần lợi ích trong các công ty con hiện hữu không mắt kiểm soát,- Chuyển nhượng một phần lợi ích trong các công ty con hiện hữu không mắt kiểm soát,- Chuyển nhượng một phần lợi ích trong các công ty con hiện hữu không mắt kiểm soát,-,514.754.262.295,-,-,-,8.417.769.984.137,5.842.163.714.631,14.774.687.961.063,,514754262295.0,,,,8417769984137.0,5842163714631.0,14774687961063.0
- Gốp vốn từ cổ đông không kiểm soát (iii),- Gốp vốn từ cổ đông không kiểm soát (iii),- Gốp vốn từ cổ đông không kiểm soát (iii),-,-,-,-,-,-,15.786.278.690.000,15.786.278.690.000,,,,,,,15786278690000.0,15786278690000.0
- Cổ tức chia cho cổ đông không kiểm soát bči công ty con (iv),- Cổ tức chia cho cổ đông không kiểm soát bči công ty con (iv),- Cổ tức chia cho cổ đông không kiểm soát bči công ty con (iv),-,-,-,-,-,-,(1.222.822.175.333),(1.222.822.175.333),,,,,,,-1222822175333.0,-1222822175333.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,32.756.212.300.000,11.442.900.804.192,7.235.205.990.828,(2.974.924.074.484),42.845.114.930,5.095.996.481.223,45.415.478.062.660,99.013.714.679.349,32756212300000.0,11442900804192.0,7235205990828.0,-2974924074484.0,42845114930.0,5095996481223.0,45415478062660.0,99013714679349.0
