row_label_raw,row_label_full,col_0,Năm nay,Đơn vị tính: VNDNăm trước,numeric__Năm nay,numeric__Đơn vị tính: VNDNăm trước
Tổng doanh thu,Tổng doanh thu,Tổng doanh thu,121.971.750.626.283,89.392.047.933.230,121971750626283.0,89392047933230.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu chuyển nhượng bất động sản,Trong đó: > Doanh thu chuyển nhượng bất động sản,Doanh thu chuyển nhượng bất động sản,83.271.632.293.427,62.481.688.023.505,83271632293427.0,62481688023505.0
Doanh thu bán hàng tại siêu thị và các chuỗi bán lẻ,Trong đó: > Doanh thu bán hàng tại siêu thị và các chuỗi bán lẻ,Doanh thu bán hàng tại siêu thị và các chuỗi bán lẻ,19.333.128.791.654,13.084.575.890.097,19333128791654.0,13084575890097.0
"Doanh thu cung cấp dịch vụ khách sạn, du lịch, vui chơi giải trí và các dịch vụ liên quan","Trong đó: > Doanh thu cung cấp dịch vụ khách sạn, du lịch, vui chơi giải trí và các dịch vụ liên quan","Doanh thu cung cấp dịch vụ khách sạn, du lịch, vui chơi giải trí và các dịch vụ liên quan",7.409.513.690.154,5.465.505.193.438,7409513690154.0,5465505193438.0
Doanh thu cho thuê bất động sản đầu tư và cung cấp các dịch vụ liên quan,Trong đó: > Doanh thu cho thuê bất động sản đầu tư và cung cấp các dịch vụ liên quan,Doanh thu cho thuê bất động sản đầu tư và cung cấp các dịch vụ liên quan,5.558.630.886.792,4.409.827.940.217,5558630886792.0,4409827940217.0
Doanh thu cung cấp dịch vụ bệnh viện và các dịch vụ liên quan,Trong đó: > Doanh thu cung cấp dịch vụ bệnh viện và các dịch vụ liên quan,Doanh thu cung cấp dịch vụ bệnh viện và các dịch vụ liên quan,2.630.636.981.520,1.852.289.531.525,2630636981520.0,1852289531525.0
Doanh thu cung cấp dịch vụ giáo dục và các dịch vụ liên quan,Trong đó: > Doanh thu cung cấp dịch vụ giáo dục và các dịch vụ liên quan,Doanh thu cung cấp dịch vụ giáo dục và các dịch vụ liên quan,1.449.884.662.668,1.012.609.580.119,1449884662668.0,1012609580119.0
Doanh thu từ hoạt động sản xuất,Trong đó: > Doanh thu từ hoạt động sản xuất,Doanh thu từ hoạt động sản xuất,567.184.824.250,-,567184824250.0,
Doanh thu khác,Trong đó: > Doanh thu khác,Doanh thu khác,1.751.138.495.818,1.085.551.774.329,1751138495818.0,1085551774329.0
Các khoản giảm trừ doanh thu,Trong đó: > Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,(77.350.205.179),(41.999.335.317),-77350205179.0,-41999335317.0
Doanh thu thuần,Trong đó: > Doanh thu thuần,Doanh thu thuần,121.894.400.421.104,89.350.048.597.913,121894400421104.0,89350048597913.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu chuyển nhượng bất động sản,Trong đó: > Doanh thu chuyển nhượng bất động sản,Doanh thu chuyển nhượng bất động sản,83.271.632.293.427,62.481.688.023.505,83271632293427.0,62481688023505.0
Doanh thu bán hàng tại siêu thị và các chuỗi bán lẻ,Trong đó: > Doanh thu bán hàng tại siêu thị và các chuỗi bán lẻ,Doanh thu bán hàng tại siêu thị và các chuỗi bán lẻ,19.325.679.951.857,13.052.677.844.258,19325679951857.0,13052677844258.0
"Doanh thu cung cấp dịch vụ khách sạn, du lịch, vui chơi giải trí và các dịch vụ liên quan","Trong đó: > Doanh thu cung cấp dịch vụ khách sạn, du lịch, vui chơi giải trí và các dịch vụ liên quan","Doanh thu cung cấp dịch vụ khách sạn, du lịch, vui chơi giải trí và các dịch vụ liên quan",7.366.495.606.924,5.455.403.903.960,7366495606924.0,5455403903960.0
Doanh thu cho thuê bất động sản đầu tư và cung cấp các dịch vụ liên quan,Trong đó: > Doanh thu cho thuê bất động sản đầu tư và cung cấp các dịch vụ liên quan,Doanh thu cho thuê bất động sản đầu tư và cung cấp các dịch vụ liên quan,5.558.630.886.792,4.409.827.940.217,5558630886792.0,4409827940217.0
Doanh thu cung cấp dịch vụ bệnh viện và các dịch vụ liên quan,Trong đó: > Doanh thu cung cấp dịch vụ bệnh viện và các dịch vụ liên quan,Doanh thu cung cấp dịch vụ bệnh viện và các dịch vụ liên quan,2.630.636.981.520,1.852.289.531.525,2630636981520.0,1852289531525.0
Doanh thu cung cấp dịch vụ giáo dục và các dịch vụ liên quan,Trong đó: > Doanh thu cung cấp dịch vụ giáo dục và các dịch vụ liên quan,Doanh thu cung cấp dịch vụ giáo dục và các dịch vụ liên quan,1.449.884.662.668,1.012.609.580.119,1449884662668.0,1012609580119.0
Doanh thu từ hoạt động sản xuất,Trong đó: > Doanh thu từ hoạt động sản xuất,Doanh thu từ hoạt động sản xuất,556.462.126.179,-,556462126179.0,
Doanh thu khác,Trong đó: > Doanh thu khác,Doanh thu khác,1.734.977.911.737,1.085.551.774.329,1734977911737.0,1085551774329.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu đối với bên khác,Trong đó: > Doanh thu đối với bên khác,Doanh thu đối với bên khác,121.064.867.363.199,88.797.537.496.929,121064867363199.0,88797537496929.0
Doanh thu đối với bên liên quan(Thuyết minh số 37),Trong đó: > Doanh thu đối với bên liên quan(Thuyết minh số 37),Doanh thu đối với bên liên quan(Thuyết minh số 37),829.533.057.905,552.511.100.984,829533057905.0,552511100984.0
