row_label_raw,row_label_full,col_0,Kinh doanh chuyểnnhuống bất động sản,Kinh doanh cho thuêbất động sản đầu tưvà các dịch vụ liênquan,"Kinh doanh dịchvu khách sạn du lịch,vui chơi giải trí và cácdịch vụ liên quan",Hoạt động y tế vàcác dịch vụ liên quan,Hoạt động giáo dụcvà các dịch vụ liênquan,Kinh doanh dịch vubán lẻ,Hoạt động sản xuấtvà các dịch vụ liênquan,Hoạt động kinhdoanh khác,Điều chính vàloại tờ,Tổng cộng,numeric__Kinh doanh chuyểnnhuống bất động sản,numeric__Kinh doanh cho thuêbất động sản đầu tưvà các dịch vụ liênquan,"numeric__Kinh doanh dịchvu khách sạn du lịch,vui chơi giải trí và cácdịch vụ liên quan",numeric__Hoạt động y tế vàcác dịch vụ liên quan,numeric__Hoạt động giáo dụcvà các dịch vụ liênquan,numeric__Kinh doanh dịch vubán lẻ,numeric__Hoạt động sản xuấtvà các dịch vụ liênquan,numeric__Hoạt động kinhdoanh khác,numeric__Điều chính vàloại tờ,numeric__Tổng cộng
Doanh thu thuầnDoanh thu thuầncho bềntư baDoanh thu thuầngiữa các bộ phận,Doanh thu thuầnDoanh thu thuầncho bềntư baDoanh thu thuầngiữa các bộ phận,Doanh thu thuầnDoanh thu thuầncho bềntư baDoanh thu thuầngiữa các bộ phận,62.481.688.023.505548.764.247.918,4.409.827.940.2*71.474.537.360.971,5.455.403.903.9601.054.724.896.494,1.852.289.531.52531.659.327.222,1.012.609.580.119-,13.052.677.844.258-,-1.359.624.437.507,-8.172.751.670.233,1.085.551.774.329(12.642.061.940.345),89.350.048.597.913-,6.248168802350555e+25,,5.455403903960106e+25,1.8522895315253168e+23,,,-1359624437507.0,-8172751670233.0,,
Tổng doanh thu thuần,Tổng doanh thu thuần,Tổng doanh thu thuần,63.030.452.271.423,5.884.365.301.168,6.510.128.800.454,1.883.946.858.747,1.012.609.580.119,14.412.302.281.765,-,9.258.303.444.562,(12.642.061.940.345),89.350.048.597.913,63030452271423.0,5884365301168.0,6510128800454.0,1883946858747.0,1012609580119.0,14412302281765.0,,9258303444562.0,-12642061940345.0,89350048597913.0
Kết quả hoạt độngkinh doanhKhấu hao và hao mònPhần được chia từlãi/(lỗ)của công tyliên kết,Kết quả hoạt độngkinh doanhKhấu hao và hao mònPhần được chia từlãi/(lỗ)của công tyliên kết,Kết quả hoạt độngkinh doanhKhấu hao và hao mònPhần được chia từlãi/(lỗ)của công tyliên kết,757.697.321.420-,927.956.243.923-,943.853.653.447(9.037.187.612),390.765.326.657-,40.922.158.020-,816.842.728.653-,60.026.528-,107.335.808.891-,-53.303.956.033,3.985.433.267.539-44.400.927.597,,,,,,,,,-53303956033.0,
Thu nhập/(lỗ) trướcthuế theo bộ phận,Thu nhập/(lỗ) trướcthuế theo bộ phận,Thu nhập/(lỗ) trướcthuế theo bộ phận,17.360.186.831.131,2.554.188.726.544,(2.377.301.109.883),(741.969.569.616),69.207.829.362,(3.797.684.195.783),(111.558.768.895),542.687.223.235,(1.633.418.245.887),11.864.338.720.208(2.750.057.241.632),17360186831131.0,2554188726544.0,-2377301109883.0,-741969569616.0,69207829362.0,-3797684195783.0,-111558768895.0,542687223235.0,-1633418245887.0,
Thu nhập(chi phí)không phân bổ,Thu nhập(chi phí)không phân bổ,Thu nhập(chi phí)không phân bổ,,,,,,,,,,,,,,,,,,,,
Tài sảnĐầu tư vào công tyliên kế:Chi phí mua sắmTSCĐ và xây dựngcor bản tảng trongnăm,Thu nhập(chi phí)không phân bổ > Tài sảnĐầu tư vào công tyliên kế:Chi phí mua sắmTSCĐ và xây dựngcor bản tảng trongnăm,Tài sảnĐầu tư vào công tyliên kế:Chi phí mua sắmTSCĐ và xây dựngcor bản tảng trongnăm,-,-,2.387.075.724.427,-,-,47.788.263.901,-,4.760.612.467,-,2.439.624.600.795,,,2387075724427.0,,,47788263901.0,,4760612467.0,,2439624600795.0
Tài sảnĐầu tư vào công tyliên kế:Chi phí mua sắmTSCĐ và xây dựngcor bản tảng trongnăm,Thu nhập(chi phí)không phân bổ > Tài sảnĐầu tư vào công tyliên kế:Chi phí mua sắmTSCĐ và xây dựngcor bản tảng trongnăm,Tài sảnĐầu tư vào công tyliên kế:Chi phí mua sắmTSCĐ và xây dựngcor bản tảng trongnăm,3.476.763.918.001,787.855.737.487,7.345.785.735.189,2.368.686.105.376,1.650.700.502.711,404.446.859.528,685.023.176.672,1.260.294.697.698,-,17.979.558.732.662,3476763918001.0,787855737487.0,7345785735189.0,2368686105376.0,1650700502711.0,404446859528.0,685023176672.0,1260294697698.0,,17979558732662.0
Tổng tài sản theobộ phận,Thu nhập(chi phí)không phân bổ > Tổng tài sản theobộ phận,Tổng tài sản theobộ phận,106.130.151.659.516,32.629.148.834.227,27.005.847.457.774,7.529.049.834.746,2.114.086.629.622,11.331.605.250.245,2.176.570.887.671,4.819.569.831.027,-,193.736.030.384.828,106130151659516.0,32629148834227.0,27005847457774.0,7529049834746.0,2114086629622.0,11331605250245.0,2176570887671.0,4819569831027.0,,193736030384828.0
Tài sản không phânbố,Thu nhập(chi phí)không phân bổ > Tài sản không phânbố,Tài sản không phânbố,,,,,,,,,,20.056.026.599.769,,,,,,,,,,20056026599769.0
Tổng nợ phải trảtheo bộ phận,Thu nhập(chi phí)không phân bổ > Tổng nợ phải trảtheo bộ phận,Tổng nợ phải trảtheo bộ phận,86.286.947.713.141,1.479.287.907.326,9.286.962.365.169,746.880.093.451,705.415.779.608,2.608.907.630.168,154.007.324.851,1.273.913.584.259,-,102.542.322.397.973,86286947713141.0,1479287907326.0,9286962365169.0,746880093451.0,705415779608.0,2608907630168.0,154007324851.0,1273913584259.0,,102542322397973.0
Tổng nợ phải trảkhông phân bổ,Thu nhập(chi phí)không phân bổ > Tổng nợ phải trảkhông phân bổ,Tổng nợ phải trảkhông phân bổ,,,,,,,,,,58.692.724.408.969,,,,,,,,,,58692724408969.0
