row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc VND,Máy móc thiết bị VND,Phương tiện vận chuyển VND,Thiết bị văn phòng VND,Tổng cộng VND,numeric__Nhà cửa và vật kiến trúc VND,numeric__Máy móc thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Thiết bị văn phòng VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,1.309.659.400,48.892.144.018,4.938.662.507,2.622.607.326,57.763.073.251,1309659400.0,48892144018.0,4938662507.0,2622607326.0,57763073251.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,1.344.871.097,1.172.184.000,-,2.517.055.097,,1344871097.0,1172184000.0,,2517055097.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(33.906.400),(379.289.908),(637.752.508),(34.283.087),(1.085.231.903),-33906400.0,-379289908.0,-637752508.0,-34283087.0,-1085231903.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,1.275.753.000,49.857.725.207,5.473.093.999,2.588.324.239,59.194.896.445,1275753000.0,49857725207.0,5473093999.0,2588324239.0,59194896445.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,1.303.725.786,39.631.704.531,2.132.235.191,2.608.815.841,45.676.481.349,1303725786.0,39631704531.0,2132235191.0,2608815841.0,45676481349.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,2.770.842,4.305.120.146,726.796.600,12.882.232,5.047.569.820,2770842.0,4305120146.0,726796600.0,12882232.0,5047569820.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,(30.743.628),(345.616.906),(637.752.508),(34.283.087),(1.048.396.129),-30743628.0,-345616906.0,-637752508.0,-34283087.0,-1048396129.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,1.275.753.000,43.591.207.771,2.221.279.283,2.587.414.986,49.675.655.040,1275753000.0,43591207771.0,2221279283.0,2587414986.0,49675655040.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,5.933.614,9.260.439.487,2.806.427.316,13.791.485,12.086.591.902,5933614.0,9260439487.0,2806427316.0,13791485.0,12086591902.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,-,6.266.517.436,3.251.814.716,909.253,9.519.241.405,,6266517436.0,3251814716.0,909253.0,9519241405.0
