row_label_raw,row_label_full,col_0,Hoạt động môi giới chứng khoáu và cho vay,Hoạt động môi giới chứng khoáu và cho vay_1,Hoạt động tự doanh chứng khoán,Hoạt động tự doanh chứng khoán_1,Hoạt động tư vấn đầu tư,Hoạt động tư vấn đầu tư_1,Các hoạt động khác,Các hoạt động khác_1,Tổng cộng,Tổng cộng_1,numeric__Hoạt động môi giới chứng khoáu và cho vay,numeric__Hoạt động môi giới chứng khoáu và cho vay_1,numeric__Hoạt động tự doanh chứng khoán,numeric__Hoạt động tự doanh chứng khoán_1,numeric__Hoạt động tư vấn đầu tư,numeric__Hoạt động tư vấn đầu tư_1,numeric__Các hoạt động khác,numeric__Các hoạt động khác_1,numeric__Tổng cộng,numeric__Tổng cộng_1
,,,2017VND,2016VND,2017VND,2016VND,2017VND,2016VND,2017VND,2016VND,2017VND,2016VND,,,,,,,,,,
Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,,,,,,,,,,
- Lãi từ các TSTC ghi nhận thông qua lãi/lỗ,Doanh thu > - Lãi từ các TSTC ghi nhận thông qua lãi/lỗ,- Lãi từ các TSTC ghi nhận thông qua lãi/lỗ,-,-,54.430.794.886,42.664.417.696,-,-,-,-,54.430.794.886,42.664.417.696,,,54430794886.0,42664417696.0,,,,,54430794886.0,42664417696.0
- Lãi từ các khoản đầu tư nắm giữ đến ngày đáo hạn,Doanh thu > - Lãi từ các khoản đầu tư nắm giữ đến ngày đáo hạn,- Lãi từ các khoản đầu tư nắm giữ đến ngày đáo hạn,-,-,404.444.444,-,-,-,23.265.068.670,10.993.252.126,23.669.513.114,10.993.252.126,,,404444444.0,,,,23265068670.0,10993252126.0,23669513114.0,10993252126.0
- Lãi từ các khoản cho vay và phải thu,Doanh thu > - Lãi từ các khoản cho vay và phải thu,- Lãi từ các khoản cho vay và phải thu,264.411.081.016,190.502.588.293,-,-,-,-,-,-,264.411.081.016,190.502.588.293,264411081016.0,190502588293.0,,,,,,,264411081016.0,190502588293.0
- Lãi từ các TSTC sẵn sàng để bán,Doanh thu > - Lãi từ các TSTC sẵn sàng để bán,- Lãi từ các TSTC sẵn sàng để bán,-,-,15.921.764.658,6.188.934.085,-,-,-,-,15.921.764.658,6.188.934.085,,,15921764658.0,6188934085.0,,,,,15921764658.0,6188934085.0
- Doanh thu môi giới chứng khoán,Doanh thu > - Doanh thu môi giới chứng khoán,- Doanh thu môi giới chứng khoán,315.620.662.600,149.051.553.582,-,-,-,-,-,-,315.620.662.600,149.051.553.582,315620662600.0,149051553582.0,,,,,,,315620662600.0,149051553582.0
"- Doanh thu bảo lãnh, đại lý phát hành chứng khoán","Doanh thu > - Doanh thu bảo lãnh, đại lý phát hành chứng khoán","- Doanh thu bảo lãnh, đại lý phát hành chứng khoán",-,-,-,-,-,1.012.193.119,-,-,-,1.012.193.119,,,,,,1012193119.0,,,,1012193119.0
- Doanh thu tư vấn đầu tư chứng khoán,Doanh thu > - Doanh thu tư vấn đầu tư chứng khoán,- Doanh thu tư vấn đầu tư chứng khoán,-,-,-,-,-,90.909.091,-,-,-,90.909.091,,,,,,90909091.0,,,,90909091.0
- Doanh thu lưu ký chứng khoán,Doanh thu > - Doanh thu lưu ký chứng khoán,- Doanh thu lưu ký chứng khoán,-,-,-,-,-,-,10.275.501.801,7.457.943.114,10.275.501.801,7.457.943.114,,,,,,,10275501801.0,7457943114.0,10275501801.0,7457943114.0
- Doanh thu tư vấn đầu tư tài chính,Doanh thu > - Doanh thu tư vấn đầu tư tài chính,- Doanh thu tư vấn đầu tư tài chính,-,-,-,-,114.282.054.090,46.328.863.636,-,-,114.282.054.090,46.328.863.636,,,,,114282054090.0,46328863636.0,,,114282054090.0,46328863636.0
