row_label_raw,row_label_full,col_0,Số dư tại ngày > 31/12/2017 Phải thu/(phải trả) VND,Số dư tại ngày > 31/12/2016 Phải thu/(phải trả) VND,numeric__Số dư tại ngày > 31/12/2017 Phải thu/(phải trả) VND,numeric__Số dư tại ngày > 31/12/2016 Phải thu/(phải trả) VND
Ngân hàng TMCP Quân đội (Ngân hàng mẹ),Ngân hàng TMCP Quân đội (Ngân hàng mẹ),Ngân hàng TMCP Quân đội (Ngân hàng mẹ),,,,
Tiền gửi thanh toán,Ngân hàng TMCP Quân đội (Ngân hàng mẹ) > Tiền gửi thanh toán,Tiền gửi thanh toán,157.917.278.981,161.043.084.316,157917278981.0,161043084316.0
Phải thu phí dịch vụ,Ngân hàng TMCP Quân đội (Ngân hàng mẹ) > Phải thu phí dịch vụ,Phải thu phí dịch vụ,32.170.609,532.144.972,32170609.0,532144972.0
Ủy thác góp vốn đầu tư dài hạn,Ngân hàng TMCP Quân đội (Ngân hàng mẹ) > Ủy thác góp vốn đầu tư dài hạn,Ủy thác góp vốn đầu tư dài hạn,3.000.000.000,3.000.000.000,3000000000.0,3000000000.0
Ứng trước phí dịch vụ,Ngân hàng TMCP Quân đội (Ngân hàng mẹ) > Ứng trước phí dịch vụ,Ứng trước phí dịch vụ,177.500.000,-,177500000.0,
Phải trả tiền thuê văn phòng và phải trả khác,Ngân hàng TMCP Quân đội (Ngân hàng mẹ) > Phải trả tiền thuê văn phòng và phải trả khác,Phải trả tiền thuê văn phòng và phải trả khác,(209.000.000),(605.000.000),-209000000.0,-605000000.0
Công ty TNHH Bảo hiểm nhân thọ MB Ageas (Công ty con của Ngân hàng mẹ),Công ty TNHH Bảo hiểm nhân thọ MB Ageas (Công ty con của Ngân hàng mẹ),Công ty TNHH Bảo hiểm nhân thọ MB Ageas (Công ty con của Ngân hàng mẹ),,,,
Đặt cọc thuê văn phòng,Công ty TNHH Bảo hiểm nhân thọ MB Ageas (Công ty con của Ngân hàng mẹ) > Đặt cọc thuê văn phòng,Đặt cọc thuê văn phòng,1.111.228.170,-,1111228170.0,
Công ty Cổ phần Quản lý Quỹ Đầu tư MB (Công ty con của Ngân hàng mẹ),Công ty Cổ phần Quản lý Quỹ Đầu tư MB (Công ty con của Ngân hàng mẹ),Công ty Cổ phần Quản lý Quỹ Đầu tư MB (Công ty con của Ngân hàng mẹ),,,,
Nhận tiền gửi giao dịch chứng khoán,Công ty Cổ phần Quản lý Quỹ Đầu tư MB (Công ty con của Ngân hàng mẹ) > Nhận tiền gửi giao dịch chứng khoán,Nhận tiền gửi giao dịch chứng khoán,(34.868.898),(395.525.632),-34868898.0,-395525632.0
