row_label_raw,row_label_full,col_0,31/12/2017 > Giá gốc VND,31/12/2017 > Giá trị hợp lý VND,31/12/2016 > Giá gốc VND,numeric__31/12/2017 > Giá gốc VND,numeric__31/12/2017 > Giá trị hợp lý VND,numeric__31/12/2016 > Giá gốc VND
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,,
Tiền gửi có kỳ hạn (i),Ngắn hạn > Tiền gửi có kỳ hạn (i),Tiền gửi có kỳ hạn (i),341.495.039.025,(*),60.999.039.025,341495039025.0,,60999039025.0
Trái phiếu (ii),Ngắn hạn > Trái phiếu (ii),Trái phiếu (ii),160.000.000.000,(*),-,160000000000.0,,
,,,501.495.039.025,(*),60.999.039.025,501495039025.0,,60999039025.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,,
Tiền gửi có kỳ hạn,Dài hạn > Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,-,-,101.000.000.000,,,101000000000.0
,,,-,-,101.000.000.000,,,101000000000.0
