row_label_raw,row_label_full,col_0,col_1,Mã số,Thuyết minh,2017 VND,2016 (Phân loại lại) VND,numeric__col_1,numeric__Mã số,numeric__Thuyết minh,numeric__2017 VND,numeric__2016 (Phân loại lại) VND
2.10,2.10,2.10,Chi phí nghiệp vụ lưu ký chứng khoán,30,,9.786.536.415,6.941.734.097,,30.0,,9786536415.0,6941734097.0
2.12,2.12,2.12,Chi phí các dịch vụ khác,32,33,233.688.491.150,66.852.280.228,,32.0,33.0,233688491150.0,66852280228.0
,,,Cộng chi phí hoạt động\( (40 = 21 + 24 + 26 + 27 + 28 + 29 + 30 + 32) \),40,,529.900.991.500,316.914.837.669,,40.0,,529900991500.0,316914837669.0
III,III,III,DOANH THU HOẠT ĐỘNG TÀI CHÍNH,,,,,,,,,
3.2,III > 3.2,3.2,"Doanh thu, dự thu cổ tức, lãi tiền gửi ngân hàng không kỳ hạn",42,34,2.645.789.790,2.083.690.733,,42.0,34.0,2645789790.0,2083690733.0
,,,Cộng doanh thu hoạt động tài chính\( (50 = 42) \),50,,2.645.789.790,2.083.690.733,,50.0,,2645789790.0,2083690733.0
IV,IV,IV,CHI PHÍ TÀI CHÍNH,,,,,,,,,
4.2,IV > 4.2,4.2,Chi phí lãi vay,52,35,189.845.663.055,116.206.925.002,,52.0,35.0,189845663055.0,116206925002.0
4.5,IV > 4.5,4.5,Chi phí tài chính khác,55,,106.213.077,4.097.475.145,,55.0,,106213077.0,4097475145.0
,,,Cộng chi phí tài chính \( (60 = 52 + 55) \),60,,189.951.876.132,120.304.400.147,,60.0,,189951876132.0,120304400147.0
V,IV > V,V,CHI PHÍ BÁN HÀNG,61,36,7.176.467.562,1.791.642.913,,61.0,36.0,7176467562.0,1791642913.0
VI,IV > VI,VI,CHI PHÍ QUẢN LÝ CÔNG TY CHỨNG KHOÁN,62,37,95.254.409.311,58.313.417.217,,62.0,37.0,95254409311.0,58313417217.0
VII,IV > VII,VII,KẾT QUẢ HOẠT ĐỘNG\( (70 = 20 + 50 - 40 - 60 - 61 - 62) \),70,,18.091.120.369,16.357.948.661,,70.0,,18091120369.0,16357948661.0
VIII,VIII,VIII,THU NHẬP KHÁC VÀ CHI PHÍ KHÁC,,,,,,,,,
8.1,VIII > 8.1,8.1,Thu nhập khác,71,,6.186.379.889,1.051.818.182,,71.0,,6186379889.0,1051818182.0
8.2,VIII > 8.2,8.2,Chi phí khác,72,,109.173.983,591.781.899,,72.0,,109173983.0,591781899.0
,,,Cộng kết quả hoạt động khác\( (80 = 71 - 72) \),80,,6.077.205.906,460.036.283,,80.0,,6077205906.0,460036283.0
IX,VIII > IX,IX,TỔNG LỢI NHUẬN KẾ TOÁN TRƯỚC THUẾ \( (90 = 70 + 80) \),90,,24.168.326.275,16.817.984.944,,90.0,,24168326275.0,16817984944.0
9.1,VIII > 9.1,9.1,Lợi nhuận đã thực hiện,91,,39.702.976.640,16.817.984.944,,91.0,,39702976640.0,16817984944.0
9.2,VIII > 9.2,9.2,Lỗ chưa thực hiện,92,,(15.534.650.365),-,,92.0,,-15534650365.0,
