row_label_raw,row_label_full,col_0,col_1,Mã số,2017 VND,2016 VND,numeric__col_1,numeric__Mã số,numeric__2017 VND,numeric__2016 VND
II,II,II,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,,,,
1,II > 1,1,"Tiền chi đề mua sắm, xây dựng tài sản cố định và các tài sản khác",61,(8.170.826.097),(11.223.744.730),,61.0,-8170826097.0,-11223744730.0
2,II > 2,2,"Tiền thu từ thanh lý, nhượng bán tài sản cố định và các tài sản khác",62,47.969.091,1.179.632,,62.0,47969091.0,1179632.0
,,,Lưu chuyển tiền thuần từ hoạt động đầu tư,70,(8.122.857.006),(11.222.565.098),,70.0,-8122857006.0,-11222565098.0
III,III,III,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,,,,
2,III > 2,2,Tiền chi mua lại cổ phiếu phát hành,72,(7.728.000),(4.785.700),,72.0,-7728000.0,-4785700.0
3,III > 3,3,Tiền vay gốc,73,1.577.369.870.840,735.465.964.046,,73.0,1577369870840.0,735465964046.0
3.2,III > 3.2,3.2,Tiền vay khác,73.2,1.577.369.870.840,735.465.964.046,,732.0,1577369870840.0,735465964046.0
4,III > 4,4,Tiền chi trả nợ gốc vay,74,(899.177.722.526),(675.668.112.360),,74.0,-899177722526.0,-675668112360.0
4.3,III > 4.3,4.3,Tiền chi trả gốc vay khác,74.3,(899.177.722.526),(675.668.112.360),,743.0,-899177722526.0,-675668112360.0
6,III > 6,6,Cổ tức đã trả cho chủ sở hữu,76,(60.319.984.000),-,,76.0,-60319984000.0,
,,,Lưu chuyển tiền thuần từ hoạt động tài chính,80,617.864.436.314,59.793.065.986,,80.0,617864436314.0,59793065986.0
IV,III > IV,IV,(Giảm)/tăng tiền thuần trong năm,90,(31.302.986.636),36.062.081.670,,90.0,-31302986636.0,36062081670.0
V,III > V,V,Tiền và các khoản tương đương tiền đầu năm,101,293.049.710.838,256.987.629.168,,101.0,293049710838.0,256987629168.0
V,III > V,V,Tiền,101.1,293.049.710.838,231.782.337.168,,1011.0,293049710838.0,231782337168.0
V,III > V,V,Các khoản tương đương tiền,101.2,-,25.205.292.000,,1012.0,,25205292000.0
VII,III > VII,VII,Tiền và các khoản tương đương tiền cuối năm (103 = 90 + 101) (Thuyết minh số 7),103,261.746.724.202,293.049.710.838,,103.0,261746724202.0,293049710838.0
VII,III > VII,VII,Tiền,103.1,261.746.724.202,293.049.710.838,,1031.0,261746724202.0,293049710838.0
VII,III > VII,VII,Các khoản tương đương tiền,103.2,-,-,,1032.0,,
