row_label_raw,row_label_full,col_0,Giá trị ghi số VND,Dòng tiền theo hợp đồng VND,Trong vòng 1 năm VND,1 – 2 năm VND,2 – 5 năm VND,numeric__Giá trị ghi số VND,numeric__Dòng tiền theo hợp đồng VND,numeric__Trong vòng 1 năm VND,numeric__1 – 2 năm VND,numeric__2 – 5 năm VND
Nợ phải trả ngắn hạn,Nợ phải trả ngắn hạn,Nợ phải trả ngắn hạn,Nợ phải trả ngắn hạn,Nợ phải trả ngắn hạn,Nợ phải trả ngắn hạn,Nợ phải trả ngắn hạn,Nợ phải trả ngắn hạn,,,,,
Vay và nợ thuê tài chính ngắn hạn,Nợ phải trả ngắn hạn > Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,679.990.000.000,694.559.444.444,694.559.444.444,-,-,679990000000.0,694559444444.0,694559444444.0,,
Phải trả hoạt động giao dịch chứng khoán,Nợ phải trả ngắn hạn > Phải trả hoạt động giao dịch chứng khoán,Phải trả hoạt động giao dịch chứng khoán,5.557.395.701,5.557.395.701,5.557.395.701,-,-,5557395701.0,5557395701.0,5557395701.0,,
Phải trả người bán ngắn hạn,Nợ phải trả ngắn hạn > Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,9.899.849.301,9.899.849.301,9.899.849.301,-,-,9899849301.0,9899849301.0,9899849301.0,,
Chi phí phải trả ngắn hạn,Nợ phải trả ngắn hạn > Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,93.088.341.540,93.088.341.540,93.088.341.540,-,-,93088341540.0,93088341540.0,93088341540.0,,
"Nhận ký quỹ, ký cược ngắn hạn","Nợ phải trả ngắn hạn > Nhận ký quỹ, ký cược ngắn hạn","Nhận ký quỹ, ký cược ngắn hạn",1.437.133.768.710,1.437.133.768.710,1.437.133.768.710,-,-,1437133768710.0,1437133768710.0,1437133768710.0,,
"Các khoản phải trả, phải nộp khác ngắn hạn","Nợ phải trả ngắn hạn > Các khoản phải trả, phải nộp khác ngắn hạn","Các khoản phải trả, phải nộp khác ngắn hạn",8.092.977.804,8.092.977.804,8.092.977.804,-,-,8092977804.0,8092977804.0,8092977804.0,,
Nợ phải trả dài hạn,Nợ phải trả dài hạn,Nợ phải trả dài hạn,Nợ phải trả dài hạn,Nợ phải trả dài hạn,Nợ phải trả dài hạn,Nợ phải trả dài hạn,Nợ phải trả dài hạn,,,,,
Trái phiếu phát hành dài hạn,Nợ phải trả dài hạn > Trái phiếu phát hành dài hạn,Trái phiếu phát hành dài hạn,727.921.824.818,907.913.750.694,70.779.329.861,196.051.309.722,641.083.111.111,727921824818.0,907913750694.0,70779329861.0,196051309722.0,641083111111.0
"Nhận ký quỹ, ký cược dài hạn","Nợ phải trả dài hạn > Nhận ký quỹ, ký cược dài hạn","Nhận ký quỹ, ký cược dài hạn",1.373.385.670,1.373.385.670,-,1.373.385.670,-,1373385670.0,1373385670.0,,1373385670.0,
,,,2.963.057.543.544,3.157.618.913.864,2.319.111.107.361,197.424.695.392,641.083.111.111,2963057543544.0,3157618913864.0,2319111107361.0,197424695392.0,641083111111.0
