row_label_raw,row_label_full,col_0,Hoạt động môi giới chứng khoán và cho vay,Hoạt động môi giới chứng khoán và cho vay_1,Hoạt động tư doanh chứng khoán,Hoạt động tư doanh chứng khoán_1,Hoạt động tư vấn đầu tư,Hoạt động tư vấn đầu tư_1,Các hoạt động khác,Các hoạt động khác_1,Tổng cộng,Tổng cộng_1,numeric__Hoạt động môi giới chứng khoán và cho vay,numeric__Hoạt động môi giới chứng khoán và cho vay_1,numeric__Hoạt động tư doanh chứng khoán,numeric__Hoạt động tư doanh chứng khoán_1,numeric__Hoạt động tư vấn đầu tư,numeric__Hoạt động tư vấn đầu tư_1,numeric__Các hoạt động khác,numeric__Các hoạt động khác_1,numeric__Tổng cộng,numeric__Tổng cộng_1
,,,2017VND,2016VND,2017VND,2016VND,2017VND,2016VND,2017VND,2016VND,2017VND,2016VND,,,,,,,,,,
- Doanh thu từ hoạt động tài chính,- Doanh thu từ hoạt động tài chính,- Doanh thu từ hoạt động tài chính,-,-,-,-,-,-,2.645.789.790,2.083.690.733,2.645.789.790,2.083.690.733,,,,,,,2645789790.0,2083690733.0,2645789790.0,2083690733.0
- Thu nhập hoạt động khác,- Thu nhập hoạt động khác,- Thu nhập hoạt động khác,-,-,-,-,-,-,39.117.702.919,57.307.901.132,39.117.702.919,57.307.901.132,,,,,,,39117702919.0,57307901132.0,39117702919.0,57307901132.0
Tổng doanh thu của bộ phận,Tổng doanh thu của bộ phận,Tổng doanh thu của bộ phận,580.031.743.616,339.554.141.875,70.757.003.988,48.853.351.781,114.282.054.090,47.431.965.846,75.304.063.180,77.842.787.105,840.374.864.874,513.682.246.607,580031743616.0,339554141875.0,70757003988.0,48853351781.0,114282054090.0,47431965846.0,75304063180.0,77842787105.0,840374864874.0,513682246607.0
Chi phí trực tiếp,Chi phí trực tiếp,Chi phí trực tiếp,245.642.876.428,152.825.238.279,6.409.643.822,68.688.796.119,33.987.324.601,20.573.038.946,243.861.146.649,74.827.764.325,529.900.991.500,316.914.837.669,245642876428.0,152825238279.0,6409643822.0,68688796119.0,33987324601.0,20573038946.0,243861146649.0,74827764325.0,529900991500.0,316914837669.0
- Lỗ các TSTC ghi nhận thông qua lãi/lỗ,- Lỗ các TSTC ghi nhận thông qua lãi/lỗ,- Lỗ các TSTC ghi nhận thông qua lãi/lỗ,-,-,134.463.311.523,71.517.514.221,-,-,-,-,134.463.311.523,71.517.514.221,,,134463311523.0,71517514221.0,,,,,134463311523.0,71517514221.0
"- Chi phí dự phòng tài sản tài chính, xử lý tổn thất các khoản phải thu khó đòi và lỗ suy giảm TSTC và chi phí đi vay của các khoản cho vay","- Chi phí dự phòng tài sản tài chính, xử lý tổn thất các khoản phải thu khó đòi và lỗ suy giảm TSTC và chi phí đi vay của các khoản cho vay","- Chi phí dự phòng tài sản tài chính, xử lý tổn thất các khoản phải thu khó đòi và lỗ suy giảm TSTC và chi phí đi vay của các khoản cho vay",-,-,(133.551.778.142),(6.031.308.873),-,-,385.194.000,1.033.750.000,(133.166.584.142),(4.997.558.873),,,-133551778142.0,-6031308873.0,,,385194000.0,1033750000.0,-133166584142.0,-4997558873.0
- Chi phí hoạt động tự doanh,- Chi phí hoạt động tự doanh,- Chi phí hoạt động tự doanh,-,-,5.498.110.441,3.202.590.771,-,-,-,-,5.498.110.441,3.202.590.771,,,5498110441.0,3202590771.0,,,,,5498110441.0,3202590771.0
- Chi phí nghiệp vụ môi giới chứng khoán,- Chi phí nghiệp vụ môi giới chứng khoán,- Chi phí nghiệp vụ môi giới chứng khoán,245.642.876.428,152.825.238.279,-,-,-,-,-,-,245.642.876.428,152.825.238.279,245642876428.0,152825238279.0,,,,,,,245642876428.0,152825238279.0
"- Chi phí nghiệp vụ bảo lãnh, đại lý phát hành chứng khoán","- Chi phí nghiệp vụ bảo lãnh, đại lý phát hành chứng khoán","- Chi phí nghiệp vụ bảo lãnh, đại lý phát hành chứng khoán",-,-,-,-,-,-,925.084,-,925.084,-,,,,,,,925084.0,,925084.0,
- Chi phí nghiệp vụ tư vấn đầu tư chứng khoán,- Chi phí nghiệp vụ tư vấn đầu tư chứng khoán,- Chi phí nghiệp vụ tư vấn đầu tư chứng khoán,-,-,-,-,33.987.324.601,20.573.038.946,-,-,33.987.324.601,20.573.038.946,,,,,33987324601.0,20573038946.0,,,33987324601.0,20573038946.0
- Chi phí nghiệp vụ lưu ký chứng khoán,- Chi phí nghiệp vụ lưu ký chứng khoán,- Chi phí nghiệp vụ lưu ký chứng khoán,-,-,-,-,-,-,9.786.536.415,6.941.734.097,9.786.536.415,6.941.734.097,,,,,,,9786536415.0,6941734097.0,9786536415.0,6941734097.0
- Chi phí các dịch vụ khác,- Chi phí các dịch vụ khác,- Chi phí các dịch vụ khác,,,,,,,233.688.491.150,66.852.280.228,233.688.491.150,66.852.280.228,,,,,,,233688491150.0,66852280228.0,233688491150.0,66852280228.0
Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,334.388.867.188,186.728.903.596,64.347.360.166,(19.835.444.338),80.294.729.489,26.858.926.900,(168.557.083.469),3.015.022.780,310.473.873.374,196.767.408.938,334388867188.0,186728903596.0,64347360166.0,-19835444338.0,80294729489.0,26858926900.0,-168557083469.0,3015022780.0,310473873374.0,196767408938.0
