row_label_raw,row_label_full,col_0,col_1,Mã số,Thuyết minh,2017 VND,2016 VND,numeric__col_1,numeric__Mã số,numeric__Thuyết minh,numeric__2017 VND,numeric__2016 VND
X,X,X,CHI PHÍ THUẾ TNDN,100,,205.400.000,164.140.000,,100.0,,205400000.0,164140000.0
10.1,10.1,10.1,Chi phí thuế TNDN hiện hành,100.1,38,-,-,,1001.0,38.0,,
10.2,10.2,10.2,Chi phí thuế TNDN hoãn lại,100.2,38,205.400.000,164.140.000,,1002.0,38.0,205400000.0,164140000.0
XI,XI,XI,LỘI NHUẬN KẾ TOÁN SAU THUẾ TNDN (200 = 90 - 100),200,,23.962.926.275,16.653.844.944,,200.0,,23962926275.0,16653844944.0
XII,XII,XII,THU NHẬP TOÀN DIỆN KHÁC,300,,-,-,,300.0,,,
XII,XII,XII,TỔNG THU NHẬP TOÀN DIỆN (400 = 200 + 300),400,,23.962.926.275,16.653.844.944,,400.0,,23962926275.0,16653844944.0
XII,XII,XII,Thu nhập toàn diện phân bổ cho chủ sở hữu,401,,23.962.926.275,16.653.844.944,,401.0,,23962926275.0,16653844944.0
XIII,XIII,XIII,THU NHẬP THUÀN TRÊN CỔ PHIỂU PHỐ THÔNG,500,,,,,500.0,,,
13.1,13.1,13.1,Lãi cơ bản trên cổ phiếu (VND/1 cổ phiếu),501,39,197,136,,501.0,39.0,197.0,136.0
