row_label_raw,row_label_full,col_0,Hoạt động môi giới chứng khoán và cho vay,Hoạt động môi giới chứng khoán và cho vay_1,Hoạt động tự doanh chứng khoán,Hoạt động tự doanh chứng khoán_1,Hoạt động tư vấn đầu tư,Hoạt động tư vấn đầu tư_1,Các hoạt động khác,Các hoạt động khác_1,Tổng cộng,Tổng cộng_1,numeric__Hoạt động môi giới chứng khoán và cho vay,numeric__Hoạt động môi giới chứng khoán và cho vay_1,numeric__Hoạt động tự doanh chứng khoán,numeric__Hoạt động tự doanh chứng khoán_1,numeric__Hoạt động tư vấn đầu tư,numeric__Hoạt động tư vấn đầu tư_1,numeric__Các hoạt động khác,numeric__Các hoạt động khác_1,numeric__Tổng cộng,numeric__Tổng cộng_1
,,,2017VND,2016VND,2017VND,2016VND,2017VND,2016VND,2017VND,2016VND,2017VND,2016VND,,,,,,,,,,
Chi phí không phân bổ,Chi phí không phân bổ,Chi phí không phân bổ,Chi phí không phân bổ,Chi phí không phân bổ,Chi phí không phân bổ,Chi phí không phân bổ,Chi phí không phân bổ,Chi phí không phân bổ,Chi phí không phân bổ,Chi phí không phân bổ,Chi phí không phân bổ,Chi phí không phân bổ,,,,,,,,,,
Chi phí tài chính,Chi phí không phân bổ > Chi phí tài chính,Chi phí tài chính,,,,,,,,,189.951.876.132,120.304.400.147,,,,,,,,,189951876132.0,120304400147.0
Chi phí bán hàng,Chi phí không phân bổ > Chi phí bán hàng,Chi phí bán hàng,,,,,,,,,7.176.467.562,1.791.642.913,,,,,,,,,7176467562.0,1791642913.0
Chi phí quản lý công ty chứng khoán,Chi phí không phân bổ > Chi phí quản lý công ty chứng khoán,Chi phí quản lý công ty chứng khoán,,,,,,,,,95.254.409.311,58.313.417.217,,,,,,,,,95254409311.0,58313417217.0
Tổng chi phí không phân bổ,Chi phí không phân bổ > Tổng chi phí không phân bổ,Tổng chi phí không phân bổ,Tổng chi phí không phân bổ,Tổng chi phí không phân bổ,Tổng chi phí không phân bổ,Tổng chi phí không phân bổ,Tổng chi phí không phân bổ,Tổng chi phí không phân bổ,Tổng chi phí không phân bổ,Tổng chi phí không phân bổ,292.382.753.005,180.409.460.277,,,,,,,,,292382753005.0,180409460277.0
Kết quả từ các hoạt động kinh doanh,Chi phí không phân bổ > Kết quả từ các hoạt động kinh doanh,Kết quả từ các hoạt động kinh doanh,Kết quả từ các hoạt động kinh doanh,Kết quả từ các hoạt động kinh doanh,Kết quả từ các hoạt động kinh doanh,Kết quả từ các hoạt động kinh doanh,Kết quả từ các hoạt động kinh doanh,Kết quả từ các hoạt động kinh doanh,Kết quả từ các hoạt động kinh doanh,Kết quả từ các hoạt động kinh doanh,18.091.120.369,16.357.948.661,,,,,,,,,18091120369.0,16357948661.0
Thu nhập khác,Chi phí không phân bổ > Thu nhập khác,Thu nhập khác,Thu nhập khác,Thu nhập khác,Thu nhập khác,Thu nhập khác,Thu nhập khác,Thu nhập khác,Thu nhập khác,Thu nhập khác,6.186.379.889,1.051.818.182,,,,,,,,,6186379889.0,1051818182.0
Chi phí khác,Chi phí không phân bổ > Chi phí khác,Chi phí khác,Chi phí khác,Chi phí khác,Chi phí khác,Chi phí khác,Chi phí khác,Chi phí khác,Chi phí khác,Chi phí khác,109.173.983,591.781.899,,,,,,,,,109173983.0,591781899.0
Lợi nhuận trước thuế,Chi phí không phân bổ > Lợi nhuận trước thuế,Lợi nhuận trước thuế,Lợi nhuận trước thuế,Lợi nhuận trước thuế,Lợi nhuận trước thuế,Lợi nhuận trước thuế,Lợi nhuận trước thuế,Lợi nhuận trước thuế,Lợi nhuận trước thuế,Lợi nhuận trước thuế,24.168.326.275,16.817.984.944,,,,,,,,,24168326275.0,16817984944.0
Chi phí thuế TNDN,Chi phí không phân bổ > Chi phí thuế TNDN,Chi phí thuế TNDN,Chi phí thuế TNDN,Chi phí thuế TNDN,Chi phí thuế TNDN,Chi phí thuế TNDN,Chi phí thuế TNDN,Chi phí thuế TNDN,Chi phí thuế TNDN,Chi phí thuế TNDN,205.400.000,164.140.000,,,,,,,,,205400000.0,164140000.0
Lợi nhuận sau thuế,Chi phí không phân bổ > Lợi nhuận sau thuế,Lợi nhuận sau thuế,Lợi nhuận sau thuế,Lợi nhuận sau thuế,Lợi nhuận sau thuế,Lợi nhuận sau thuế,Lợi nhuận sau thuế,Lợi nhuận sau thuế,Lợi nhuận sau thuế,Lợi nhuận sau thuế,23.962.926.275,16.653.844.944,,,,,,,,,23962926275.0,16653844944.0
