row_label_raw,row_label_full,col_0,Hoạt động môi giới chứng khoán và cho vay,Hoạt động môi giới chứng khoán và cho vay_1,Hoạt động tự doanh chứng khoán,Hoạt động tự doanh chứng khoán_1,Hoạt động tư vấn đầu tư,Hoạt động tư vấn đầu tư_1,Các hoạt động khác,Các hoạt động khác_1,Tổng cộng,Tổng cộng_1,numeric__Hoạt động môi giới chứng khoán và cho vay,numeric__Hoạt động môi giới chứng khoán và cho vay_1,numeric__Hoạt động tự doanh chứng khoán,numeric__Hoạt động tự doanh chứng khoán_1,numeric__Hoạt động tư vấn đầu tư,numeric__Hoạt động tư vấn đầu tư_1,numeric__Các hoạt động khác,numeric__Các hoạt động khác_1,numeric__Tổng cộng,numeric__Tổng cộng_1
,,,2017VND,2016VND,2017VND,2016VND,2017VND,2016VND,2017VND,2016VND,2017VND,2016VND,,,,,,,,,,
Nợ phải trả không phân hồVay và nợ thuê tài chính ngắn hạn,Nợ phải trả không phân hồVay và nợ thuê tài chính ngắn hạn,Nợ phải trả không phân hồVay và nợ thuê tài chính ngắn hạn,,,,,,,,,679.990.000.000,399.797.851.686,,,,,,,,,679990000000.0,399797851686.0
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,,,,,,,,,9.899.849.301,3.402.175.244,,,,,,,,,9899849301.0,3402175244.0
Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,,,,,,,,,1.786.002.000,1.554.002.000,,,,,,,,,1786002000.0,1554002000.0
Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,,,,,,,,,11.826.913.224,7.360.455.262,,,,,,,,,11826913224.0,7360455262.0
Phải trả người lao động,Phải trả người lao động,Phải trả người lao động,,,,,,,,,6.499.013.027,1.249.318.234,,,,,,,,,6499013027.0,1249318234.0
Các khoản trích nộp phúc lợi nhân viên,Các khoản trích nộp phúc lợi nhân viên,Các khoản trích nộp phúc lợi nhân viên,,,,,,,,,1.740.521.874,1.260.527.299,,,,,,,,,1740521874.0,1260527299.0
Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,,,,,,,,,93.088.341.540,34.956.726.087,,,,,,,,,93088341540.0,34956726087.0
Doanh thu chưa thực hiện ngắn hạn,Doanh thu chưa thực hiện ngắn hạn,Doanh thu chưa thực hiện ngắn hạn,,,,,,,,,339.633.825,447.022.592,,,,,,,,,339633825.0,447022592.0
"Các khoản phải trả, phải nộp khác ngắn hạn","Các khoản phải trả, phải nộp khác ngắn hạn","Các khoản phải trả, phải nộp khác ngắn hạn",,,,,,,,,8.092.977.804,16.817.949.403,,,,,,,,,8092977804.0,16817949403.0
"Quỹ khen thưởng, phúc lợi","Quỹ khen thưởng, phúc lợi","Quỹ khen thưởng, phúc lợi",,,,,,,,,1.457.872.797,861.296.056,,,,,,,,,1457872797.0,861296056.0
Trái phiếu phát hành dài hạn,Trái phiếu phát hành dài hạn,Trái phiếu phát hành dài hạn,,,,,,,,,727.921.824.818,329.290.754.255,,,,,,,,,727921824818.0,329290754255.0
Tổng nợ phải trả không phân bổ,Tổng nợ phải trả không phân bổ,Tổng nợ phải trả không phân bổ,,,,,,,,,1.542.642.950.210,796.998.078.118,,,,,,,,,1542642950210.0,796998078118.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,,,,,,,,,2.986.707.500.291,2.194.292.794.895,,,,,,,,,2986707500291.0,2194292794895.0
