row_label_raw,row_label_full,II,Các khoản đầu tư giữ đến ngày đáo hạn,31/12/2016 > Số lượng,31/12/2016 > Giá gốcVND,31/12/2016 > Giá trị ghi sốVND,31/12/2016 > Giá trị dự phòng VND,31/12/2015Giá trị dự phòng VND,Mức trích lập (hoàn nhập) trong năm VND,numeric__Các khoản đầu tư giữ đến ngày đáo hạn,numeric__31/12/2016 > Số lượng,numeric__31/12/2016 > Giá gốcVND,numeric__31/12/2016 > Giá trị ghi sốVND,numeric__31/12/2016 > Giá trị dự phòng VND,numeric__31/12/2015Giá trị dự phòng VND,numeric__Mức trích lập (hoàn nhập) trong năm VND
II,II,II,Tiền gửi có kỳ hạn,-,161.999.039.025,161.999.039.025,-,-,-,,,161999039025.0,161999039025.0,,,
III,III,III,Các khoản cho vay,-,2.019.375.587.655,2.019.375.587.655,-,-,-,,,2019375587655.0,2019375587655.0,,,
IV,IV,IV,TSTC sẵn sàng để bán,,,,,,,,,,,,,
IV,IV > IV,IV,Công ty cổ phần thời trang NEM,3.915.000,89.950.649.899,89.950.649.909,-,-,-,,3915000.0,89950649899.0,89950649909.0,,,
IV,IV > IV,IV,Công ty Cổ phần Cảng Tân Cảng Hiệp Phước,1.710.000,46.768.500.000,46.768.500.000,-,-,-,,1710000.0,46768500000.0,46768500000.0,,,
IV,IV > IV,IV,Công ty Cổ phần Máy - Thiết bị Dầu khí Tổng Công ty Công nghệ Năng lượng,1.500.000,45.450.000.000,9.300.000.000,36.150.000.000,-,36.150.000.000,,1500000.0,45450000000.0,9300000000.0,36150000000.0,,36150000000.0
IV,IV > IV,IV,Dầu khí Việt Nam,2.500.000,30.000.000.000,30.000.000.000,-,-,-,,2500000.0,30000000000.0,30000000000.0,,,
IV,IV > IV,IV,Quỹ đầu tư Japan Asia MBCapital,2.900.000,29.000.000.000,33.866.200.000,-,-,-,,2900000.0,29000000000.0,33866200000.0,,,
IV,IV > IV,IV,Công ty Cổ phần Chế biến Thủy sản Út Xi,894.705,26.214.856.500,26.214.856.500,-,-,-,,894705.0,26214856500.0,26214856500.0,,,
IV,IV > IV,IV,Công ty Cổ phần Tập đoàn Thành Nam,1.000.000,12.000.000.000,12.000.000.000,-,-,-,,1000000.0,12000000000.0,12000000000.0,,,
IV,IV > IV,IV,Công ty Cổ phần Đầu tư Tài chính Thăng Long,1.000.000,11.640.000.000,11.000.000.000,640.000.000,640.000.000,-,,1000000.0,11640000000.0,11000000000.0,640000000.0,640000000.0,
IV,IV > IV,IV,Công ty Cổ phần Công nghiệp cao su COECCO,492.000,7.380.000.000,4.920.000.000,2.460.000.000,2.460.000.000,-,,492000.0,7380000000.0,4920000000.0,2460000000.0,2460000000.0,
IV,IV > IV,IV,Công ty Cổ phần ICD Tân Cảng Long Bình,300.000,6.000.000.000,3.000.000.000,3.000.000.000,3.000.000.000,-,,300000.0,6000000000.0,3000000000.0,3000000000.0,3000000000.0,
IV,IV > IV,IV,Các tài sâu tài chính khác,597.362,9.511.553.175,7.404.540.387,2.107.012.945,2.107.012.945,-,,597362.0,9511553175.0,7404540387.0,2107012945.0,2107012945.0,
,,,,16.809.067,313.915.559.574,274.424.746.796,44.357.012.945,8.207.012.945,36.150.000.000,,16809067.0,313915559574.0,274424746796.0,44357012945.0,8207012945.0,36150000000.0
,,,,33.571.329,2.820.727.859.286,2.684.106.918.271,143.731.791.087,149.763.099.960,(6.031.308.873),,33571329.0,2820727859286.0,2684106918271.0,143731791087.0,149763099960.0,-6031308873.0
