row_label_raw,row_label_full,2017,Giá trị khoản phải thu khó đòi đầu năm VND,Giá trị khoản phải thu khó đòi cuối năm VND,Số dự phòng đầu năm VND,Trích lập/ (hoàn nhập) trong năm VND,Sử dụng dự phòng trong năm VND,Số dự phòng cuối năm VND,numeric__Giá trị khoản phải thu khó đòi đầu năm VND,numeric__Giá trị khoản phải thu khó đòi cuối năm VND,numeric__Số dự phòng đầu năm VND,numeric__Trích lập/ (hoàn nhập) trong năm VND,numeric__Sử dụng dự phòng trong năm VND,numeric__Số dự phòng cuối năm VND
Phải thu các dịch vụ CTCK cung cấp,Phải thu các dịch vụ CTCK cung cấp,Phải thu các dịch vụ CTCK cung cấp,Phải thu các dịch vụ CTCK cung cấp,Phải thu các dịch vụ CTCK cung cấp,Phải thu các dịch vụ CTCK cung cấp,Phải thu các dịch vụ CTCK cung cấp,Phải thu các dịch vụ CTCK cung cấp,Phải thu các dịch vụ CTCK cung cấp,,,,,,
Phải thu từ các thỏa thuận hỗ trợ tài chính cho nhà đầu tư,Phải thu các dịch vụ CTCK cung cấp > Phải thu từ các thỏa thuận hỗ trợ tài chính cho nhà đầu tư,Phải thu từ các thỏa thuận hỗ trợ tài chính cho nhà đầu tư,156.844.687.628,-,123.685.294.227,25.830.992.817,(149.516.287.044),-,156844687628.0,,123685294227.0,25830992817.0,-149516287044.0,
Phải thu hợp đồng ủy thác và hợp tác kinh doanh chứng khoán,Phải thu các dịch vụ CTCK cung cấp > Phải thu hợp đồng ủy thác và hợp tác kinh doanh chứng khoán,Phải thu hợp đồng ủy thác và hợp tác kinh doanh chứng khoán,341.248.519.667,331.980.076.024,52.015.094.582,183.375.687.152,-,235.390.781.734,341248519667.0,331980076024.0,52015094582.0,183375687152.0,,235390781734.0
Phải thu theo các cam kết mua và bán lại chứng khoán,Phải thu các dịch vụ CTCK cung cấp > Phải thu theo các cam kết mua và bán lại chứng khoán,Phải thu theo các cam kết mua và bán lại chứng khoán,44.233.908.358,-,44.233.908.358,(1.368.386.287),(42.865.522.071),-,44233908358.0,,44233908358.0,-1368386287.0,-42865522071.0,
Phải thu của khách hàng sử dụng dịch vụ tư vấn tài chính doanh nghiệp,Phải thu các dịch vụ CTCK cung cấp > Phải thu của khách hàng sử dụng dịch vụ tư vấn tài chính doanh nghiệp,Phải thu của khách hàng sử dụng dịch vụ tư vấn tài chính doanh nghiệp,12.407.900.000,867.000.000,1.009.250.000,(108.750.000),(180.000.000),720.500.000,12407900000.0,867000000.0,1009250000.0,-108750000.0,-180000000.0,720500000.0
Phải thu của khách hàng sử dụng dịch vụ khác,Phải thu các dịch vụ CTCK cung cấp > Phải thu của khách hàng sử dụng dịch vụ khác,Phải thu của khách hàng sử dụng dịch vụ khác,42.825.481.729,36.379.413.800,33.563.788.800,2.815.625.000,-,36.379.413.800,42825481729.0,36379413800.0,33563788800.0,2815625000.0,,36379413800.0
,,,597.560.497.382,369.226.489.824,254.507.335.967,210.545.168.682,(192.561.809.115),272.490.695.534,597560497382.0,369226489824.0,254507335967.0,210545168682.0,-192561809115.0,272490695534.0
Các khoản phải thu khác,Các khoản phải thu khác,Các khoản phải thu khác,Các khoản phải thu khác,Các khoản phải thu khác,Các khoản phải thu khác,Các khoản phải thu khác,Các khoản phải thu khác,Các khoản phải thu khác,,,,,,
Phải thu lãi các dịch vụ tài chính CTCK cung cấp,Các khoản phải thu khác > Phải thu lãi các dịch vụ tài chính CTCK cung cấp,Phải thu lãi các dịch vụ tài chính CTCK cung cấp,245.870.272.885,134.014.032.109,233.651.909.810,12.202.924.297,(111.840.802.001),134.014.032.106,245870272885.0,134014032109.0,233651909810.0,12202924297.0,-111840802001.0,134014032106.0
Phải thu khác,Các khoản phải thu khác > Phải thu khác,Phải thu khác,76.778.883.077,56.737.462.737,25.198.065.195,11.339.146.171,-,36.537.211.366,76778883077.0,56737462737.0,25198065195.0,11339146171.0,,36537211366.0
,,,322.649.155.962,190.751.494.846,258.849.975.005,23.542.070.468,(111.840.802.001),170.551.243.472,322649155962.0,190751494846.0,258849975005.0,23542070468.0,-111840802001.0,170551243472.0
Tài sản khác,Các khoản phải thu khác > Tài sản khác,Tài sản khác,-,125.146.000,-,125.146.000,-,125.146.000,,125146000.0,,125146000.0,,125146000.0
,,,920.209.653.344,560.103.130.670,513.357.310.972,234.212.385.150,(304.402.611.116),443.167.085.006,920209653344.0,560103130670.0,513357310972.0,234212385150.0,-304402611116.0,443167085006.0
