row_label_raw,row_label_full,col_0,Phần mềm máy vi tính,Phần mềm máy vi tính_1,numeric__Phần mềm máy vi tính,numeric__Phần mềm máy vi tính_1
,,,2017VND,2016VND,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,2.010.833.300,8.150.151.501,2010833300.0,8150151501.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,5.653.771.000,522.600.000,5653771000.0,522600000.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(6.661.918.201),,-6661918201.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,7.664.604.300,2.010.833.300,7664604300.0,2010833300.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,1.638.883.297,8.114.929.276,1638883297.0,8114929276.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,629.061.763,185.872.222,629061763.0,185872222.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,(6.661.918.201),,-6661918201.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,2.267.945.060,1.638.883.297,2267945060.0,1638883297.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,371.950.003,35.222.225,371950003.0,35222225.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,5.396.659.240,371.950.003,5396659240.0,371950003.0
