row_label_raw,row_label_full,col_0,Hoạt động môi giới chứng khoán và cho vay,Hoạt động môi giới chứng khoán và cho vay_1,Hoạt động tư doanh chứng khoán,Hoạt động tư doanh chứng khoán_1,Hoạt động tư vấn đầu tư,Hoạt động tư vấn đầu tư_1,Các hoạt động khác,Các hoạt động khác_1,Tổng cộng,Tổng cộng_1,numeric__Hoạt động môi giới chứng khoán và cho vay,numeric__Hoạt động môi giới chứng khoán và cho vay_1,numeric__Hoạt động tư doanh chứng khoán,numeric__Hoạt động tư doanh chứng khoán_1,numeric__Hoạt động tư vấn đầu tư,numeric__Hoạt động tư vấn đầu tư_1,numeric__Các hoạt động khác,numeric__Các hoạt động khác_1,numeric__Tổng cộng,numeric__Tổng cộng_1
,,,2017VND,2016VND,2017VND,2016VND,2017VND,2016VND,2017VND,2016VND,2017VND,2016VND,,,,,,,,,,
Tài sản của bộ phận,Tài sản của bộ phận,Tài sản của bộ phận,,,,,,,,,,,,,,,,,,,,
Tiền và các khoản tương đương tiền,Tài sản của bộ phận > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,-,-,-,-,-,-,261.746.724.202,293.049.710.838,261.746.724.202,293.049.710.838,,,,,,,261746724202.0,293049710838.0,261746724202.0,293049710838.0
Các TSTC ghi nhận thông qua lãi/lỗ,Tài sản của bộ phận > Các TSTC ghi nhận thông qua lãi/lỗ,Các TSTC ghi nhận thông qua lãi/lỗ,-,-,291.076.666.145,325.437.673.032,-,-,-,-,291.076.666.145,325.437.673.032,,,291076666145.0,325437673032.0,,,,,291076666145.0,325437673032.0
Các khoản đầu tư nắm giữ đến ngày đáo hạn,Tài sản của bộ phận > Các khoản đầu tư nắm giữ đến ngày đáo hạn,Các khoản đầu tư nắm giữ đến ngày đáo hạn,-,-,160.000.000.000,-,-,-,341.495.039.025,60.999.039.025,501.495.039.025,60.999.039.025,,,160000000000.0,,,,341495039025.0,60999039025.0,501495039025.0,60999039025.0
Các khoản cho vay,Tài sản của bộ phận > Các khoản cho vay,Các khoản cho vay,2.616.257.740.011,2.019.375.587.655,-,-,-,-,-,-,2.616.257.740.011,2.019.375.587.655,2616257740011.0,2019375587655.0,,,,,,,2616257740011.0,2019375587655.0
TSTC sẵn sàng để bán,Tài sản của bộ phận > TSTC sẵn sàng để bán,TSTC sẵn sàng để bán,-,-,225.723.559.574,313.915.559.574,-,-,-,-,225.723.559.574,313.915.559.574,,,225723559574.0,313915559574.0,,,,,225723559574.0,313915559574.0
Dự phòng suy giảm giá trị các TSTC,Tài sản của bộ phận > Dự phòng suy giảm giá trị các TSTC,Dự phòng suy giảm giá trị các TSTC,-,-,(10.180.012.945),(143.731.791.087),-,-,-,-,(10.180.012.945),(143.731.791.087),,,-10180012945.0,-143731791087.0,,,,,-10180012945.0,-143731791087.0
Các khoản phải thu Phải thu từ các dịch vụ công ty chứng khoán cung cấp,Tài sản của bộ phận > Các khoản phải thu Phải thu từ các dịch vụ công ty chứng khoán cung cấp,Các khoản phải thu Phải thu từ các dịch vụ công ty chứng khoán cung cấp,4.945.812.074,3.025.746.641,534.793.244,12.731.228.350,-,-,13.552.654.081,5.983.210.579,19.033.259.399,21.740.185.570,4945812074.0,3025746641.0,534793244.0,12731228350.0,,,13552654081.0,5983210579.0,19033259399.0,21740185570.0
Các khoản phải thu khác Dự phòng suy giảm giá trị các khoản phải thu Các khoản đầu tư nắm giữ đến ngày đáo hạn - dài hạn,Tài sản của bộ phận > Các khoản phải thu khác Dự phòng suy giảm giá trị các khoản phải thu Các khoản đầu tư nắm giữ đến ngày đáo hạn - dài hạn,Các khoản phải thu khác Dự phòng suy giảm giá trị các khoản phải thu Các khoản đầu tư nắm giữ đến ngày đáo hạn - dài hạn,-,-,-,-,-,-,378.537.563.784,597.560.497.382,378.537.563.784,597.560.497.382,,,,,,,378537563784.0,597560497382.0,378537563784.0,597560497382.0
Các khoản phải thu khác Dự phòng suy giảm giá trị các khoản phải thu Các khoản đầu tư nắm giữ đến ngày đáo hạn - dài hạn,Tài sản của bộ phận > Các khoản phải thu khác Dự phòng suy giảm giá trị các khoản phải thu Các khoản đầu tư nắm giữ đến ngày đáo hạn - dài hạn,Các khoản phải thu khác Dự phòng suy giảm giá trị các khoản phải thu Các khoản đầu tư nắm giữ đến ngày đáo hạn - dài hạn,-,-,-,-,-,-,193.888.082.341,322.649.155.962,193.888.082.341,322.649.155.962,,,,,,,193888082341.0,322649155962.0,193888082341.0,322649155962.0
Các khoản phải thu khác Dự phòng suy giảm giá trị các khoản phải thu Các khoản đầu tư nắm giữ đến ngày đáo hạn - dài hạn,Tài sản của bộ phận > Các khoản phải thu khác Dự phòng suy giảm giá trị các khoản phải thu Các khoản đầu tư nắm giữ đến ngày đáo hạn - dài hạn,Các khoản phải thu khác Dự phòng suy giảm giá trị các khoản phải thu Các khoản đầu tư nắm giữ đến ngày đáo hạn - dài hạn,-,-,-,-,-,-,(443.167.085.006),(513.357.310.972),(443.167.085.006),(513.357.310.972),,,,,,,-443167085006.0,-513357310972.0,-443167085006.0,-513357310972.0
Các khoản phải thu khác Dự phòng suy giảm giá trị các khoản phải thu Các khoản đầu tư nắm giữ đến ngày đáo hạn - dài hạn,Tài sản của bộ phận > Các khoản phải thu khác Dự phòng suy giảm giá trị các khoản phải thu Các khoản đầu tư nắm giữ đến ngày đáo hạn - dài hạn,Các khoản phải thu khác Dự phòng suy giảm giá trị các khoản phải thu Các khoản đầu tư nắm giữ đến ngày đáo hạn - dài hạn,-,-,-,101.000.000.000,-,-,-,-,-,101.000.000.000,,,,101000000000.0,,,,,,101000000000.0
Tổng tài sản của bộ phận,Tài sản của bộ phận > Tổng tài sản của bộ phận,Tổng tài sản của bộ phận,2.621.203.552.085,2.022.401.334.296,667.155.006.018,609.352.669.869,-,-,746.052.978.427,766.884.302.814,4.034.411.536.530,3.398.638.306.979,2621203552085.0,2022401334296.0,667155006018.0,609352669869.0,,,746052978427.0,766884302814.0,4034411536530.0,3398638306979.0
