row_label_raw,row_label_full,2017,Số lượng bánDon vị,Tổng giá trị bánVND,Tổng giá vốn bình quân gia quyền tính đến cuối ngày giao dịch VND,Lãi bán chứng khoán trong năm VND,numeric__Số lượng bánDon vị,numeric__Tổng giá trị bánVND,numeric__Tổng giá vốn bình quân gia quyền tính đến cuối ngày giao dịch VND,numeric__Lãi bán chứng khoán trong năm VND
Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,7.290.623,236.223.430.392,209.424.425.706,26.799.004.686,7290623.0,236223430392.0,209424425706.0,26799004686.0
Trái phiếu niêm yết,Trái phiếu niêm yết,Trái phiếu niêm yết,294.486,29.776.362.918,29.723.944.410,52.418.508,294486.0,29776362918.0,29723944410.0,52418508.0
Trái phiếu chưa niêm yết,Trái phiếu chưa niêm yết,Trái phiếu chưa niêm yết,6.951.787,967.652.623.736,959.045.223.334,8.607.400.402,6951787.0,967652623736.0,959045223334.0,8607400402.0
Chứng chỉ quỹ,Chứng chỉ quỹ,Chứng chỉ quỹ,2.900.000,31.320.000.000,29.000.000.000,2.320.000.000,2900000.0,31320000000.0,29000000000.0,2320000000.0
,,,,1.264.972.417.046,1.227.193.593.450,37.778.823.596,,1264972417046.0,1227193593450.0,37778823596.0
