row_label_raw,row_label_full,col_0,col_1,Số dư đầu năm > 1/1/2016 VND,Số dư đầu năm > 1/1/2017 VND,2016 > Tăng VND,2016 > (Giảm) VND,Số tăng/(giảm) trong năm > Tăng VND,Số tăng/(giảm) trong năm > (Giảm) VND,Số dư cuối năm > 31/12/2016 VND,Số dư cuối năm > 31/12/2017 VND,numeric__col_1,numeric__Số dư đầu năm > 1/1/2016 VND,numeric__Số dư đầu năm > 1/1/2017 VND,numeric__2016 > Tăng VND,numeric__2016 > (Giảm) VND,numeric__Số tăng/(giảm) trong năm > Tăng VND,numeric__Số tăng/(giảm) trong năm > (Giảm) VND,numeric__Số dư cuối năm > 31/12/2016 VND,numeric__Số dư cuối năm > 31/12/2017 VND
I,I,I,Biến động vốn chủ sở hữu,Biến động vốn chủ sở hữu,Biến động vốn chủ sở hữu,Biến động vốn chủ sở hữu,Biến động vốn chủ sở hữu,Biến động vốn chủ sở hữu,Biến động vốn chủ sở hữu,Biến động vốn chủ sở hữu,Biến động vốn chủ sở hữu,,,,,,,,,
1,I > 1,1,Vốn đầu tư của chủ sở hữu,1.221.242.800.000,1.221.242.800.000,-,-,-,-,1.221.242.800.000,1.221.242.800.000,,1221242800000.0,1221242800000.0,,,,,1221242800000.0,1221242800000.0
1.1,I > 1.1,1.1,Cổ phiếu phổ thông,1.221.242.800.000,1.221.242.800.000,-,-,-,-,1.221.242.800.000,1.221.242.800.000,,1221242800000.0,1221242800000.0,,,,,1221242800000.0,1221242800000.0
2,I > 2,2,Cổ phiếu quỹ,-,(4.785.700),(4.785.700),-,(7.728.000),-,(4.785.700),(12.513.700),,,-4785700.0,-4785700.0,,-7728000.0,,-4785700.0,-12513700.0
3,I > 3,3,Quỹ dự trữ bổ sung vốn điều lệ,4.163.663.493,4.996.355.740,832.692.247,-,1.198.146.314,-,4.996.355.740,6.194.502.054,,4163663493.0,4996355740.0,832692247.0,,1198146314.0,,4996355740.0,6194502054.0
4,I > 4,4,Quỹ dự phòng tài chính và rủi ro nghiệp vụ,4.153.679.393,4.986.371.640,832.692.247,-,1.198.146.314,-,4.986.371.640,6.184.517.954,,4153679393.0,4986371640.0,832692247.0,,1198146314.0,,4986371640.0,6184517954.0
7,I > 7,7,Các quỹ khác thuộc vốn chủ sở hữu,-,-,-,-,832.692.247,-,-,832.692.247,,,,,,832692247.0,,,832692247.0
8,I > 8,8,Lợi nhuận chưa phân phối,79.123.606.224,92.956.182.231,16.653.844.944,(2.821.268.937),23.962.926.275,(66.788.562.616),92.956.182.231,50.130.545.890,,79123606224.0,92956182231.0,16653844944.0,-2821268937.0,23962926275.0,-66788562616.0,92956182231.0,50130545890.0
8.1,I > 8.1,8.1,Lợi nhuận đã thực hiện,79.123.606.224,92.956.182.231,16.653.844.944,(2.821.268.937),39.497.576.640,(66.788.562.616),92.956.182.231,65.665.196.255,,79123606224.0,92956182231.0,16653844944.0,-2821268937.0,39497576640.0,-66788562616.0,92956182231.0,65665196255.0
8.2,I > 8.2,8.2,Lỗ chưa thực hiện,-,-,-,-,(15.534.650.365),-,-,(15.534.650.365),,,,,,-15534650365.0,,,-15534650365.0
,,,TỔNG CỘNG,1.308.683.749.110,1.324.176.923.911,18.314.443.738,(2.821.268.937),27.184.183.150,(66.788.562.616),1.324.176.923.911,1.284.572.544.445,,1308683749110.0,1324176923911.0,18314443738.0,-2821268937.0,27184183150.0,-66788562616.0,1324176923911.0,1284572544445.0
