row_label_raw,row_label_full,col_0,Giá trị giao dịchThu nhập/(chi phí),Giá trị giao dịchThu nhập/(chi phí)_1,numeric__Giá trị giao dịchThu nhập/(chi phí),numeric__Giá trị giao dịchThu nhập/(chi phí)_1
,,,2017VND,2016VND,,
Ngân hàng TMCP Quân đội(Ngân hàng mẹ),Ngân hàng TMCP Quân đội(Ngân hàng mẹ),Ngân hàng TMCP Quân đội(Ngân hàng mẹ),Ngân hàng TMCP Quân đội(Ngân hàng mẹ),Ngân hàng TMCP Quân đội(Ngân hàng mẹ),,
Thu lãi tiền gửi,Ngân hàng TMCP Quân đội(Ngân hàng mẹ) > Thu lãi tiền gửi,Thu lãi tiền gửi,816.908.836,369.580.255,816908836.0,369580255.0
Thu phí tư vấn và hợp tác,Ngân hàng TMCP Quân đội(Ngân hàng mẹ) > Thu phí tư vấn và hợp tác,Thu phí tư vấn và hợp tác,81.481.221.162,-,81481221162.0,
Thu phí môi giới,Ngân hàng TMCP Quân đội(Ngân hàng mẹ) > Thu phí môi giới,Thu phí môi giới,39.650.000.000,-,39650000000.0,
Thu phí quản lý cổ đông,Ngân hàng TMCP Quân đội(Ngân hàng mẹ) > Thu phí quản lý cổ đông,Thu phí quản lý cổ đông,600.000.000,300.000.000,600000000.0,300000000.0
Doanh thu cho thuê văn phòng,Ngân hàng TMCP Quân đội(Ngân hàng mẹ) > Doanh thu cho thuê văn phòng,Doanh thu cho thuê văn phòng,-,654.926.291,,654926291.0
Chi phí đại lý nhận lệnh và thuê văn phòng,Ngân hàng TMCP Quân đội(Ngân hàng mẹ) > Chi phí đại lý nhận lệnh và thuê văn phòng,Chi phí đại lý nhận lệnh và thuê văn phòng,(413.620.000),(881.400.000),-413620000.0,-881400000.0
Chi phí tư vấn,Ngân hàng TMCP Quân đội(Ngân hàng mẹ) > Chi phí tư vấn,Chi phí tư vấn,(3.636.363.636),-,-3636363636.0,
Chi phí khác,Ngân hàng TMCP Quân đội(Ngân hàng mẹ) > Chi phí khác,Chi phí khác,(119.000.000),-,-119000000.0,
Công ty Cổ phần Quản lý Quỹ đầu tư MB(Công ty con của Ngân hàng mẹ),Công ty Cổ phần Quản lý Quỹ đầu tư MB(Công ty con của Ngân hàng mẹ),Công ty Cổ phần Quản lý Quỹ đầu tư MB(Công ty con của Ngân hàng mẹ),Công ty Cổ phần Quản lý Quỹ đầu tư MB(Công ty con của Ngân hàng mẹ),Công ty Cổ phần Quản lý Quỹ đầu tư MB(Công ty con của Ngân hàng mẹ),,
Thu phí giao dịch chứng khoán,Công ty Cổ phần Quản lý Quỹ đầu tư MB(Công ty con của Ngân hàng mẹ) > Thu phí giao dịch chứng khoán,Thu phí giao dịch chứng khoán,333.317.129,355.282.240,333317129.0,355282240.0
Phí tư vấn,Công ty Cổ phần Quản lý Quỹ đầu tư MB(Công ty con của Ngân hàng mẹ) > Phí tư vấn,Phí tư vấn,(105.125.032),(167.795.713),-105125032.0,-167795713.0
Công ty Cổ phần Địa ốc MB(Công ty con của Ngân hàng mẹ),Công ty Cổ phần Địa ốc MB(Công ty con của Ngân hàng mẹ),Công ty Cổ phần Địa ốc MB(Công ty con của Ngân hàng mẹ),Công ty Cổ phần Địa ốc MB(Công ty con của Ngân hàng mẹ),Công ty Cổ phần Địa ốc MB(Công ty con của Ngân hàng mẹ),,
Chi phí thuê văn phòng,Công ty Cổ phần Địa ốc MB(Công ty con của Ngân hàng mẹ) > Chi phí thuê văn phòng,Chi phí thuê văn phòng,(169.614.000),(636.994.800),-169614000.0,-636994800.0
