row_label_raw,row_label_full,col_0,col_1,Mã số,Thuyết minh,31/12/2017 VND,31/12/2016 VND,numeric__col_1,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2017 VND,numeric__31/12/2016 VND
B,B,B,TÀI SẢN DÀI HẠN(200 = 210 + 220 + 250),200,,107.754.835.330,196.118.596.011,,200.0,,107754835330.0,196118596011.0
I,I,I,Tài sản tài chính dài hạn,210,,-,101.000.000.000,,210.0,,,101000000000.0
2,2,2,Các khoản đầu tư,212,,-,101.000.000.000,,212.0,,,101000000000.0
2.1,2.1,2.1,Các khoản đầu tư nắm giữ đếnngày đáo hạn,212.1,9(b),-,101.000.000.000,,2121.0,,,101000000000.0
II,II,II,Tài sản cố định,220,,14.915.900.645,12.458.541.905,,220.0,,14915900645.0,12458541905.0
1,1,1,Tài sản cố định hữu hình,221,18,9.519.241.405,12.086.591.902,,221.0,18.0,9519241405.0,12086591902.0
1,1,1,- Nguyên giá,222,,59.194.896.445,57.763.073.251,,222.0,,59194896445.0,57763073251.0
1,1,1,- Giá trị hao mòn lũy kế,223a,,(49.675.655.040),(45.676.481.349),,,,-49675655040.0,-45676481349.0
3,3,3,Tài sản cố định vô hình,227,19,5.396.659.240,371.950.003,,227.0,19.0,5396659240.0,371950003.0
3,3,3,- Nguyên giá,228,,7.664.604.300,2.010.833.300,,228.0,,7664604300.0,2010833300.0
3,3,3,- Giá trị hao mòn lũy kế,229a,,(2.267.945.060),(1.638.883.297),,,,-2267945060.0,-1638883297.0
V,V,V,Tài sản dài hạn khác,250,,92.838.934.685,82.660.054.106,,250.0,,92838934685.0,82660054106.0
1,1,1,"Cảm cố, thế chấp, ký quỹ, ký cượcdài hạn",251,,1.172.608.268,500.951.588,,251.0,,1172608268.0,500951588.0
2,2,2,Chi phí trả trước dài hạn,252,16(b),72.253.459.044,75.061.268.561,,252.0,,72253459044.0,75061268561.0
3,3,3,Tài sản thuế thu nhập hoãn lại,253,,1.436.000.000,1.641.400.000,,253.0,,1436000000.0,1641400000.0
4,4,4,Tiền nộp Quỹ Hỗ trợ thanh toán,254,20,7.956.433.957,5.456.433.957,,254.0,20.0,7956433957.0,5456433957.0
5,5,5,Tài sản dài hạn khác,255,21,10.020.433.416,-,,255.0,21.0,10020433416.0,
,,,TỔNG CỘNG TÀI SẢN(270 = 100 + 200),270,,4.271.280.044.736,3.518.469.718.806,,270.0,,4271280044736.0,3518469718806.0
