row_label_raw,row_label_full,col_0,col_1,31/12/2017 > Số lượng,31/12/2017 > Giá gốcVND,31/12/2017 > Giá trị thị trường/Giá trị có thể thu hồiVND,31/12/2017 > Giá trị dự phòngVND,31/12/2016Giá trị dự phòngVND,Mức trích lập/(hoàn nhập) trong nămVND,numeric__col_1,numeric__31/12/2017 > Số lượng,numeric__31/12/2017 > Giá gốcVND,numeric__31/12/2017 > Giá trị thị trường/Giá trị có thể thu hồiVND,numeric__31/12/2017 > Giá trị dự phòngVND,numeric__31/12/2016Giá trị dự phòngVND,numeric__Mức trích lập/(hoàn nhập) trong nămVND
I,I,I,TSTC ghi nhận thông qua lãi/lỗ,13.213.019,306.611.316.510,291.076.666.145,-,99.374.778.142,(99.374.778.142),,13213019.0,306611316510.0,291076666145.0,,99374778142.0,-99374778142.0
II,II,II,Các khoản đầu tư giữ đến ngày đáo hạn,,,,,,,,,,,,,
,,,Tiền gửi có kỳ hạn,,341.495.039.025,341.495.039.025,-,-,-,,,341495039025.0,341495039025.0,,,
,,,Trái phiếu chưa niêm yết,,160.000.000.000,160.000.000.000,-,-,-,,,160000000000.0,160000000000.0,,,
III,II > III,III,Các khoản cho vay,,2.616.257.740.011,2.616.257.740.011,-,-,-,,,2616257740011.0,2616257740011.0,,,
IV,IV,IV,TSTC sẵn sàng để bánChứng khoán vốn,,,,,,,,,,,,,
,,,Công ty cổ phần ICD Tân Cảng Long Bình,300.000,6.000.000.000,3.000.000.000,3.000.000.000,3.000.000.000,-,,300000.0,6000000000.0,3000000000.0,3000000000.0,3000000000.0,
,,,Công ty cổ phần công nghiệp cao su COECCO,492.000,7.380.000.000,4.920.000.000,2.460.000.000,2.460.000.000,-,,492000.0,7380000000.0,4920000000.0,2460000000.0,2460000000.0,
,,,Công ty cổ phần Đầu tư Tài chính Thăng Long,1.000.000,11.640.000.000,11.000.000.000,640.000.000,640.000.000,-,,1000000.0,11640000000.0,11000000000.0,640000000.0,640000000.0,
,,,Công ty cổ phần Nha khoa DETEC,180.000,2.880.000.000,1.800.000.000,1.080.000.000,1.080.000.000,-,,180000.0,2880000000.0,1800000000.0,1080000000.0,1080000000.0,
,,,Công ty cổ phần Tài chính Đầu Khí PVF,15,177.000,164.055,12.945,12.945,-,,15.0,177000.0,164055.0,12945.0,12945.0,
,,,Công ty cổ phần Máy - Thiết bị Dầu khí,-,-,-,-,36.150.000.000,(36.150.000.000),,,,,,36150000000.0,-36150000000.0
,,,Công ty cổ phần Nay Nam Định,-,-,-,-,1.027.000.000,(1.027.000.000),,,,,,1027000000.0,-1027000000.0
,,,Các tài sản tài chính khác,9.072.052,194.823.382.574,194.823.382.574,-,-,-,,9072052.0,194823382574.0,194823382574.0,,,
,,,Các khoản đầu tư khácCông ty Cổ phần Đầu tư Đất Việt,300.000,3.000.000.000,-,3.000.000.000,-,3.000.000.000,,300000.0,3000000000.0,,3000000000.0,,3000000000.0
,,,,24.557.086,3.650.087.655.120,3.624.372.991.810,10.180.012.945,143.731.791.087,(133.551.778.142),,24557086.0,3650087655120.0,3624372991810.0,10180012945.0,143731791087.0,-133551778142.0
