row_label_raw,row_label_full,col_0,Số lượng,31/12/2017 > Giá gốcVND(1),31/12/2017 > Giá trị hợp lýVND(2),Chênh lệch đánh giá kỳ này > Chênh lệchtăngVND(3),Chênh lệch đánh giá kỳ này > Chênh lệchgiảmVND(4),Giá trị đánh giá lại > VND(5) = (1) + (3) - (4),numeric__Số lượng,numeric__31/12/2017 > Giá gốcVND(1),numeric__31/12/2017 > Giá trị hợp lýVND(2),numeric__Chênh lệch đánh giá kỳ này > Chênh lệchtăngVND(3),numeric__Chênh lệch đánh giá kỳ này > Chênh lệchgiảmVND(4),numeric__Giá trị đánh giá lại > VND(5) = (1) + (3) - (4)
I TSTC ghi nhận thông qua lãi/lỗ,I TSTC ghi nhận thông qua lãi/lỗ,I TSTC ghi nhận thông qua lãi/lỗ,I TSTC ghi nhận thông qua lãi/lỗ,I TSTC ghi nhận thông qua lãi/lỗ,I TSTC ghi nhận thông qua lãi/lỗ,I TSTC ghi nhận thông qua lãi/lỗ,I TSTC ghi nhận thông qua lãi/lỗ,I TSTC ghi nhận thông qua lãi/lỗ,,,,,,
Cổ phiếu,Cổ phiếu,Cổ phiếu,Cổ phiếu,Cổ phiếu,Cổ phiếu,Cổ phiếu,Cổ phiếu,Cổ phiếu,,,,,,
Công ty Cổ phần Bao bì và In Nông Nghiệp,Cổ phiếu > Công ty Cổ phần Bao bì và In Nông Nghiệp,Công ty Cổ phần Bao bì và In Nông Nghiệp,105.000,6.203.380.748,7.056.000.000,852.619.252,-,7.056.000.000,105000.0,6203380748.0,7056000000.0,852619252.0,,7056000000.0
CTCP Dịch vụ Hàng Không Sân Bay Đà Nẵng,Cổ phiếu > CTCP Dịch vụ Hàng Không Sân Bay Đà Nẵng,CTCP Dịch vụ Hàng Không Sân Bay Đà Nẵng,126.160,14.188.892.700,11.329.168.000,-,2.859.724.700,11.329.168.000,126160.0,14188892700.0,11329168000.0,,2859724700.0,11329168000.0
Tổng Công ty Cổ phần Đầu tư Phát triển Xây dựng,Cổ phiếu > Tổng Công ty Cổ phần Đầu tư Phát triển Xây dựng,Tổng Công ty Cổ phần Đầu tư Phát triển Xây dựng,6.000.320,115.503.494.344,123.606.592.000,8.103.097.656,-,123.606.592.000,6000320.0,115503494344.0,123606592000.0,8103097656.0,,123606592000.0
Công ty cổ phần Đầu tư và Phát triển Cảng Đình Vũ,Cổ phiếu > Công ty cổ phần Đầu tư và Phát triển Cảng Đình Vũ,Công ty cổ phần Đầu tư và Phát triển Cảng Đình Vũ,149.180,10.209.894.308,9.532.602.000,-,677.292.308,9.532.602.000,149180.0,10209894308.0,9532602000.0,,677292308.0,9532602000.0
Công ty cổ phần Dịch vụ Ô tô Hàng Xanh,Cổ phiếu > Công ty cổ phần Dịch vụ Ô tô Hàng Xanh,Công ty cổ phần Dịch vụ Ô tô Hàng Xanh,486.163,17.982.802.869,17.817.873.950,-,164.928.919,17.817.873.950,486163.0,17982802869.0,17817873950.0,,164928919.0,17817873950.0
Cổ phiếu Công ty cổ phần Phân bón Miền Nam,Cổ phiếu > Cổ phiếu Công ty cổ phần Phân bón Miền Nam,Cổ phiếu Công ty cổ phần Phân bón Miền Nam,1.067.842,14.658.541.387,12.814.104.000,-,1.844.437.387,12.814.104.000,1067842.0,14658541387.0,12814104000.0,,1844437387.0,12814104000.0
Công ty cổ phần Đại lý Giao nhận,Công ty cổ phần Đại lý Giao nhận,Công ty cổ phần Đại lý Giao nhận,Công ty cổ phần Đại lý Giao nhận,Công ty cổ phần Đại lý Giao nhận,Công ty cổ phần Đại lý Giao nhận,Công ty cổ phần Đại lý Giao nhận,Công ty cổ phần Đại lý Giao nhận,Công ty cổ phần Đại lý Giao nhận,,,,,,
Vận tải Xếp dỡ Tân Cảng,Công ty cổ phần Đại lý Giao nhận > Vận tải Xếp dỡ Tân Cảng,Vận tải Xếp dỡ Tân Cảng,681.705,19.486.559.440,18.678.717.000,-,807.842.440,18.678.717.000,681705.0,19486559440.0,18678717000.0,,807842440.0,18678717000.0
